,Unnamed: 0,FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE,ProMovShort,ProMovLong
0,0,2011-04-14,133469603,31.5,30.1,30.72,31.0,4133587073.0,0.0,0.0
1,1,2011-04-15,5675700,30.76,30.38,30.65,30.73,173167650.0,0.0,0.0
2,2,2011-04-18,3463900,30.6,29.95,30.51,30.6,104827942.0,0.0,0.0
3,3,2011-04-19,5260800,30.6,30.16,30.56,30.49,160414184.0,0.0,0.0
4,4,2011-04-20,1741800,30.7,30.0,30.57,30.56,53166145.0,0.0,0.0
5,5,2011-04-25,1088800,30.6,30.24,30.46,30.6,33125891.0,0.0,0.0
6,6,2011-04-26,750100,30.5,30.25,30.42,30.46,22805434.0,0.0,0.0
7,7,2011-04-27,1397900,30.55,30.48,30.5,30.5,42643221.0,0.0,0.0
8,8,2011-04-28,159200,30.69,30.55,30.59,30.69,4866440.0,0.0,0.0
9,9,2011-04-29,677500,30.65,30.3,30.6,30.6,20654895.0,0.0,0.0
10,10,2011-05-02,198000,30.6,30.21,30.3,30.6,6028847.0,0.0,0.0
11,11,2011-05-03,917300,30.45,30.2,30.35,30.39,27804222.0,0.0,0.0
12,12,2011-05-04,553700,30.5,30.0,30.3,30.05,16770203.0,0.0,0.0
13,13,2011-05-05,583100,30.3,29.8,30.12,30.3,17555432.0,0.0,0.0
14,14,2011-05-06,446700,30.12,29.8,29.99,30.12,13403747.0,0.0,0.0
15,15,2011-05-09,1146300,30.0,29.7,29.79,29.99,34155144.0,0.0,0.0
16,16,2011-05-10,170500,29.79,29.0,29.59,29.79,5038622.0,0.0,0.0
17,17,2011-05-11,3707600,29.8,29.0,29.64,29.0,109781577.0,0.0,0.0
18,18,2011-05-12,903500,29.5,29.2,29.4,29.5,26549928.0,0.0,0.0
19,19,2011-05-13,2019500,29.45,29.2,29.4,29.4,59382155.0,30.223000000000006,0.0
20,20,2011-05-16,450600,29.5,29.26,29.4,29.4,13247126.0,30.156999999999996,0.0
21,21,2011-05-17,39800,29.01,28.55,28.59,29.01,1140135.0,30.054,0.0
22,22,2011-05-18,286600,28.5,28.01,28.36,28.3,8143334.0,29.946500000000004,0.0
23,23,2011-05-19,718200,28.3,27.5,28.0,28.3,19886019.0,29.818499999999997,0.0
24,24,2011-05-20,96200,28.39,27.8,28.0,28.0,2693076.0,29.68999999999999,0.0
25,25,2011-05-23,516500,30.3,27.12,27.93,27.5,14269840.0,29.563499999999994,0.0
26,26,2011-05-24,266700,29.15,27.11,29.15,27.11,7680990.0,29.49999999999999,0.0
27,27,2011-05-25,55100,29.25,28.05,28.9,29.25,1593866.0,29.419999999999995,0.0
28,28,2011-05-26,216100,29.2,29.0,29.17,29.0,6296702.0,29.349,0.0
