FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
2011-14-04,133469603,31.5,30.1,30.72,31.0,4133587073.0
2011-15-04,5675700,30.76,30.38,30.65,30.73,173167650.0
2011-18-04,3463900,30.6,29.95,30.51,30.6,104827942.0
2011-19-04,5260800,30.6,30.16,30.56,30.49,160414184.0
2011-20-04,1741800,30.7,30.0,30.57,30.56,53166145.0
2011-25-04,1088800,30.6,30.24,30.46,30.6,33125891.0
2011-26-04,750100,30.5,30.25,30.42,30.46,22805434.0
2011-27-04,1397900,30.55,30.48,30.5,30.5,42643221.0
2011-28-04,159200,30.69,30.55,30.59,30.69,4866440.0
2011-29-04,677500,30.65,30.3,30.6,30.6,20654895.0
2011-02-05,198000,30.6,30.21,30.3,30.6,6028847.0
2011-03-05,917300,30.45,30.2,30.35,30.39,27804222.0
2011-04-05,553700,30.5,30.0,30.3,30.05,16770203.0
2011-05-05,583100,30.3,29.8,30.12,30.3,17555432.0
2011-06-05,446700,30.12,29.8,29.99,30.12,13403747.0
2011-09-05,1146300,30.0,29.7,29.79,29.99,34155144.0
2011-10-05,170500,29.79,29.0,29.59,29.79,5038622.0
2011-11-05,3707600,29.8,29.0,29.64,29.0,109781577.0
2011-12-05,903500,29.5,29.2,29.4,29.5,26549928.0
2011-13-05,2019500,29.45,29.2,29.4,29.4,59382155.0
2011-16-05,450600,29.5,29.26,29.4,29.4,13247126.0
2011-17-05,39800,29.01,28.55,28.59,29.01,1140135.0
2011-18-05,286600,28.5,28.01,28.36,28.3,8143334.0
2011-19-05,718200,28.3,27.5,28.0,28.3,19886019.0
2011-20-05,96200,28.39,27.8,28.0,28.0,2693076.0
2011-23-05,516500,30.3,27.12,27.93,27.5,14269840.0
2011-24-05,266700,29.15,27.11,29.15,27.11,7680990.0
2011-25-05,55100,29.25,28.05,28.9,29.25,1593866.0
2011-26-05,216100,29.2,29.0,29.17,29.0,6296702.0
2011-27-05,98400,29.2,29.1,29.15,29.2,2870102.0
2011-30-05,17100,29.18,29.15,29.18,29.15,498675.0
2011-31-05,172000,29.16,28.7,28.98,29.16,4984455.0
2011-01-06,241100,28.99,28.5,28.75,28.98,6958332.0
2011-02-06,164800,28.7,28.35,28.35,28.5,4687587.0
2011-03-06,86000,28.24,28.2,28.2,28.22,2425308.0
2011-06-06,246400,28.05,27.72,27.98,28.05,6898109.0
2011-07-06,258800,27.99,27.42,27.5,27.99,7127559.0
2011-08-06,63700,27.99,27.47,27.68,27.47,1758836.0
2011-09-06,283900,27.51,26.95,26.97,27.5,7677732.0
2011-10-06,394900,26.95,25.75,25.86,26.95,10261872.0
2011-13-06,29600,25.9,25.44,25.52,25.9,757768.0
2011-14-06,4649100,25.9,25.25,25.34,25.7,117576092.0
2011-15-06,170100,26.14,25.4,25.42,25.4,4354643.0
2011-16-06,401800,25.7,25.15,25.26,25.42,10224772.0
2011-17-06,675900,25.85,25.25,25.59,25.25,17280646.0
2011-20-06,204100,26.1,25.59,26.01,25.59,5291444.0
2011-21-06,257000,27.69,26.21,27.34,26.25,6861875.0
2011-22-06,322200,28.2,27.57,27.89,27.57,8988075.0
2011-23-06,387800,27.61,26.9,27.0,27.61,10528928.0
2011-24-06,313900,27.21,26.91,27.0,27.2,8487719.0
2011-27-06,64300,27.25,27.09,27.19,27.1,1748115.0
2011-28-06,291600,27.2,26.94,27.15,27.2,7889872.0
2011-29-06,367600,27.17,26.51,26.7,27.15,9830270.0
2011-30-06,586300,27.35,26.55,27.0,26.87,15789896.0
2011-01-07,290800,27.05,26.85,26.89,27.0,7850693.0
2011-04-07,159900,27.0,26.7,26.75,26.97,4279557.0
2011-05-07,395300,26.84,26.5,26.5,26.75,10527918.0
2011-06-07,729100,26.7,26.49,26.65,26.5,19399148.0
2011-07-07,773400,26.89,26.75,26.82,26.85,20757316.0
2011-08-07,120100,26.9,26.75,26.79,26.85,3218290.0
2011-11-07,66700,26.7,26.31,26.58,26.7,1763589.0
2011-12-07,56600,26.5,26.24,26.25,26.5,1490561.0
2011-13-07,115200,26.25,26.12,26.2,26.25,3011647.0
2011-14-07,485200,26.5,26.19,26.4,26.2,12768809.0
2011-15-07,75000,26.49,26.25,26.35,26.4,1980846.0
2011-18-07,245600,26.36,25.96,25.97,26.36,6397664.0
2011-19-07,244700,26.21,25.7,26.02,25.95,6339550.0
2011-20-07,108200,26.11,26.0,26.0,26.0,2814592.0
2011-21-07,137800,26.2,25.8,25.9,26.2,3572609.0
2011-22-07,278700,26.77,25.94,26.68,25.95,7372584.0
2011-25-07,446400,27.09,26.68,27.01,26.68,11968015.0
2011-26-07,584800,28.35,27.0,28.07,27.0,16379377.0
2011-27-07,212200,28.03,27.3,27.46,28.03,5869110.0
2011-28-07,279000,28.1,27.6,27.75,27.75,7791874.0
2011-29-07,290000,27.75,27.42,27.54,27.72,7989553.0
2011-01-08,194900,27.98,25.34,27.93,27.54,5380513.0
2011-02-08,203600,27.94,27.45,27.5,27.94,5608607.0
2011-03-08,131400,27.6,25.84,26.75,27.5,3520336.0
2011-04-08,94500,26.75,25.9,25.99,26.75,2465557.0
2011-05-08,265400,26.0,25.2,25.5,26.0,6781090.0
2011-08-08,73900,25.0,23.39,23.39,25.0,1753344.0
2011-09-08,677900,23.84,23.15,23.59,23.39,16054751.0
2011-10-08,635500,24.07,23.0,23.6,23.6,15058827.0
2011-11-08,241800,24.5,24.15,24.28,24.5,5873272.0
2011-12-08,97200,24.75,24.46,24.65,24.46,2396823.0
2011-15-08,343300,25.15,24.75,25.13,24.75,8558528.0
2011-16-08,1112400,26.1,25.0,26.07,25.24,28669355.0
2011-17-08,1348300,27.02,26.2,27.0,26.2,36277170.0
2011-18-08,250100,26.48,26.13,26.2,26.48,6574134.0
2011-19-08,204500,26.45,26.1,26.44,26.1,5380635.0
2011-22-08,288500,26.69,26.49,26.5,26.51,7648664.0
2011-23-08,1206600,27.3,26.46,27.1,26.5,32808455.0
2011-24-08,208500,27.21,26.83,26.93,27.1,5623290.0
2011-25-08,103000,27.0,26.9,27.0,26.96,2780254.0
2011-26-08,158600,27.25,26.99,27.02,26.99,4288285.0
2011-29-08,129700,27.71,27.0,27.64,27.0,3559984.0
2011-30-08,69900,27.7,27.55,27.55,27.64,1933133.0
2011-31-08,208900,27.69,27.3,27.44,27.6,5734561.0
2011-01-09,97000,27.5,27.0,27.0,27.5,2655230.0
2011-02-09,167400,27.32,26.73,26.74,26.97,4514820.0
2011-05-09,200900,26.5,26.0,26.06,26.5,5232396.0
2011-06-09,118800,26.5,25.75,25.99,26.5,3095418.0
2011-07-09,265700,26.33,26.1,26.15,26.1,6952732.0
2011-08-09,147000,26.15,25.68,25.69,26.15,3818318.0
2011-09-09,39700,25.69,25.15,25.15,25.69,1013212.0
2011-12-09,34200,25.35,25.0,25.1,25.0,858345.0
2011-13-09,21700,25.55,25.1,25.55,25.1,548627.0
2011-14-09,54700,26.43,25.56,26.19,25.56,1424872.0
2011-15-09,166700,26.6,26.26,26.42,26.46,4397707.0
2011-19-09,253200,27.0,26.3,26.96,26.42,6758834.0
2011-20-09,75900,26.85,26.24,26.48,26.8,2033512.0
2011-21-09,210600,26.38,25.45,25.67,26.38,5445043.0
2011-22-09,218400,25.67,24.45,24.5,25.1,5399334.0
2011-23-09,48100,24.5,24.0,24.19,24.5,1161423.0
2011-26-09,140900,24.34,23.81,24.0,24.17,3393873.0
2011-27-09,91200,24.7,24.24,24.55,24.24,2234040.0
2011-28-09,79400,24.5,23.8,23.84,24.5,1900549.0
2011-29-09,117800,24.21,23.72,23.79,23.9,2836561.0
2011-30-09,46000,24.1,23.44,23.85,23.44,1095294.0
