DATE,VOLUME,HIGH,LOW,CLOSE,OPEN,IMPORT
2001-02-07,317945.679012346,1.556,1.5403,1.556,1.5403,496780.0
2001-02-08,443733.333333334,1.6299,1.556,1.6189,1.5874,717166.0
2001-02-09,35397.5308641976,1.6503,1.6346,1.6346,1.6503,58500.0
2001-02-12,1429807.40740741,1.7729,1.6975,1.765,1.6975,2494964.0
2001-02-13,19595.0617283951,1.666,1.6597,1.6597,1.666,32856.0
2001-02-14,1264.1975308642,1.5246,1.5246,1.5246,1.5246,1940.0
2001-02-15,42982.7160493828,1.5403,1.5403,1.5403,1.5403,66640.0
2001-02-19,73323.4567901235,1.5199,1.5183,1.5199,1.5183,112171.0
2001-02-20,100503.703703704,1.5089,1.4586,1.5089,1.4586,152352.0
2001-02-22,231348.148148148,1.4428,1.3988,1.4381,1.3988,330040.0
2001-02-23,249046.913580247,1.3831,1.3517,1.3831,1.3517,343955.0
2001-02-27,84701.2345679013,1.3375,1.3359999999999999,1.3359999999999999,1.3359999999999999,113901.0
2001-02-28,222498.765432099,1.3674,1.3359999999999999,1.3674,1.3359999999999999,303980.0
2001-03-01,8211595.061728399,1.3297,1.3202,1.3202,1.3297,10913640.0
2001-03-02,50567.901234567995,1.2888,1.2888,1.2888,1.2888,65600.0
2001-03-05,5218607.40740741,1.3171,1.3045,1.3171,1.3045,6853248.0
2001-03-06,904533.3333333341,1.3705,1.3517,1.3705,1.3595,1243084.0
2001-03-07,129580.24691358,1.3674,1.3517,1.3674,1.3517,176350.0
2001-03-08,3932286.41975309,1.3517,1.3359999999999999,1.3517,1.3359999999999999,5312846.0
2001-03-09,747772.8395061741,1.3831,1.3501,1.3674,1.3501,1018888.0
2001-03-12,1684543.20987655,1.3674,1.2888,1.2888,1.3674,2286642.0
2001-03-13,5688.8888888889005,1.2731,1.2731,1.2731,1.2731,7290.0
2001-03-14,31604.938271605,1.2259,1.2102,1.2102,1.2259,38830.0
2001-03-15,6320.987654320999,1.2338,1.2338,1.2338,1.2338,7850.0
2001-03-16,67634.5679012346,1.2338,1.2338,1.2338,1.2338,83995.0
2001-03-19,1154844.44444445,1.2731,1.2259,1.2731,1.2291,1430203.0
2001-03-20,774953.0864197541,1.2888,1.2102,1.2102,1.2888,985805.0
2001-03-22,63209.8765432099,1.1474,1.1474,1.1474,1.1474,73000.0
2001-03-23,632098.765432099,1.1316,1.1254,1.1285,1.1316,718000.0
2001-03-26,41718.5185185186,1.1254,1.1238,1.1238,1.1254,47216.0
2001-03-27,136533.333333333,1.1159,1.1159,1.1159,1.1159,153360.0
2001-03-28,383683.950617284,1.1049,1.0971,1.0971,1.1002,424518.0
2001-03-29,467753.08641975396,1.0876,1.0405,1.0405,1.0876,503480.0
2001-03-30,216177.777777778,1.0876,1.0452,1.0876,1.0452,236497.0
2001-04-02,72691.35802469139,1.0876,1.0688,1.0688,1.0845,79310.0
2001-04-03,14538.271604938302,1.0766,1.0672,1.0766,1.0688,15642.0
2001-04-04,1087841.97530864,1.0766,1.0609,1.0688,1.0609,1166705.0
2001-04-05,187101.234567901,1.1049,1.0766,1.1049,1.0766,204560.0
2001-04-06,199111.111111111,1.1316,1.1049,1.1254,1.1049,224525.0
2001-04-09,67002.4691358025,1.1395,1.1285,1.1301,1.1285,76262.0
2001-04-10,262320.987654321,1.1866,1.1631,1.1851,1.1631,309311.0
2001-04-11,335644.444444445,1.2102,1.1945,1.2024,1.1992,405275.0
2001-04-16,248414.814814815,1.2024,1.1977,1.1977,1.2024,300285.0
2001-04-17,326795.061728395,1.2039,1.2024,1.2039,1.2024,395553.0
2001-04-18,148543.209876543,1.2574,1.2417,1.2495,1.2417,187160.0
2001-04-19,147279.01234567902,1.2417,1.2259,1.2259,1.2417,182340.0
2001-04-20,67002.4691358025,1.2024,1.1788,1.1788,1.2024,79590.0
2001-04-23,573313.580246914,1.2024,1.1788,1.1961,1.1788,685246.0
2001-04-24,207960.49382716103,1.2181,1.2024,1.2024,1.2181,253330.0
2001-04-25,63209.8765432099,1.2181,1.2181,1.2181,1.2181,77500.0
2001-04-26,50567.901234567995,1.2888,1.2259,1.2888,1.2259,65041.0
2001-04-27,400118.518518519,1.3092,1.2888,1.3092,1.2888,525989.0
2001-04-30,178251.851851852,1.3202,1.3092,1.3202,1.3092,235669.0
2001-05-02,443101.23456790205,1.4145,1.3674,1.4145,1.3674,624940.0
2001-05-03,981017.283950618,1.4381,1.4145,1.4334,1.4145,1411535.0
2001-05-04,42982.7160493828,1.4303,1.369,1.4303,1.369,61763.0
2001-05-07,211120.987654321,1.4303,1.4208,1.4303,1.4208,303640.0
2001-05-08,64474.0740740741,1.4303,1.4145,1.4145,1.4303,91820.0
2001-05-09,227555.55555555603,1.4145,1.3831,1.4145,1.3831,320870.0
2001-05-10,441837.03703703795,1.4428,1.4145,1.4428,1.4145,639474.0
2001-05-11,475970.37037037103,1.4366,1.4303,1.4366,1.4366,687402.0
2001-05-14,107456.79012345699,1.4303,1.4271,1.4271,1.4303,154538.0
2001-05-15,125787.654320988,1.4334,1.4224,1.4318,1.4224,181285.0
2001-05-16,64474.0740740741,1.4476,1.446,1.4476,1.446,93871.0
2001-05-17,218074.074074074,1.4476,1.446,1.446,1.446,317500.0
2001-05-18,2779970.37037037,1.5246,1.4617,1.5104,1.4617,4222875.0
2001-05-21,2032197.5308641999,1.5717,1.5104,1.5717,1.5104,3124410.0
2001-05-22,11325945.679012401,1.5639,1.5324,1.556,1.5403,17625660.0
2001-05-23,7497955.55555556,1.6219999999999999,1.556,1.5953,1.556,12034512.0
2001-05-24,780641.975308643,1.5969,1.5403,1.5403,1.5969,1246850.0
2001-05-25,63209.8765432099,1.5246,1.5246,1.5246,1.5246,97000.0
2001-05-28,127051.85185185198,1.5403,1.5309,1.5309,1.5403,196014.0
2001-05-29,281916.049382716,1.5167,1.4853,1.4931,1.5167,426485.0
2001-05-30,30340.7407407408,1.4931,1.4837,1.4931,1.4837,45492.0
2001-05-31,280019.75308642,1.4931,1.4774,1.4774,1.4931,418020.0
2001-06-01,31604.938271605,1.4774,1.4696,1.4774,1.4696,46810.0
2001-06-04,70162.96296296299,1.4853,1.4853,1.4853,1.4853,104895.0
2001-06-05,57520.987654321,1.5057,1.4931,1.5057,1.4931,87122.0
2001-06-06,183308.64197530897,1.589,1.5261,1.5874,1.5261,288871.0
2001-06-07,3068207.40740741,1.6032,1.5874,1.5874,1.5874,4944706.0
2001-06-08,12677372.8395062,1.556,1.556,1.556,1.556,19855440.0
2001-06-11,292661.728395062,1.5246,1.5246,1.5246,1.5246,449110.0
2001-06-12,9481.4814814815,1.5089,1.5089,1.5089,1.5089,14400.0
2001-06-13,113777.77777777801,1.5654,1.5371,1.5371,1.5654,177276.0
2001-06-14,167506.172839506,1.5434,1.5403,1.5403,1.5434,259708.0
2001-06-15,103664.19753086401,1.5246,1.5246,1.5246,1.5246,159080.0
2001-06-18,80908.6419753087,1.4806,1.4696,1.4696,1.4806,120387.0
2001-06-19,128316.049382716,1.4303,1.4145,1.4145,1.4303,184700.0
2001-06-20,14538.271604938302,1.4145,1.4145,1.4145,1.4145,20700.0
2001-06-21,11268424.691358,1.4428,1.4067,1.4428,1.4067,15998860.0
2001-06-22,118202.46913580301,1.4381,1.4303,1.4303,1.4381,170920.0
2001-06-25,69530.8641975309,1.4303,1.4224,1.4303,1.4224,100060.0
2001-06-26,60681.4814814815,1.4523,1.4318,1.4523,1.4318,87438.0
2001-06-27,15802.4691358025,1.4586,1.4586,1.4586,1.4586,23175.0
2001-06-28,10113.5802469136,1.4838,1.4838,1.4838,1.4838,15088.0
2001-06-29,6953.086419753101,1.4822,1.479,1.4822,1.479,10360.0
2001-07-02,506943.20987654396,1.5247,1.4822,1.5247,1.4822,767862.0
2001-07-03,472177.777777778,1.5419999999999998,1.5137,1.5419999999999998,1.5137,730305.0
2001-07-04,102400.0,1.5419999999999998,1.5419999999999998,1.5419999999999998,1.5419999999999998,158760.0
2001-07-05,17066.6666666667,1.5262,1.5262,1.5262,1.5262,26190.0
2001-07-09,662439.50617284,1.4712,1.4586,1.4712,1.4712,973563.0
2001-07-10,116938.27160493801,1.4932,1.4869,1.4869,1.4932,174929.0
2001-07-11,50567.901234567995,1.4633,1.4569999999999999,1.4569999999999999,1.4633,74132.0
2001-07-12,10745.6790123457,1.4602,1.4476,1.4476,1.4602,15768.0
2001-07-13,94182.7160493828,1.4476,1.4476,1.4476,1.4476,137080.0
2001-07-16,94814.8148148149,1.4476,1.3799,1.3799,1.4476,133700.0
2001-07-17,115041.975308642,1.3689,1.3689,1.3689,1.3689,158340.0
2001-07-19,159920.98765432098,1.3579,1.35,1.3563,1.3579,217846.0
2001-07-20,16434.5679012346,1.3563,1.3547,1.3547,1.3563,22396.0
2001-07-23,137797.530864198,1.3689,1.361,1.3689,1.361,189604.0
2001-07-24,258528.39506172898,1.3705,1.3595,1.3595,1.3689,355601.0
2001-07-25,186469.13580246898,1.3736,1.3689,1.3705,1.3705,257176.0
2001-07-26,1938014.81481482,1.4051,1.3862,1.4051,1.3862,2729254.0
2001-07-27,31604.938271605,1.4082,1.4082,1.4082,1.4082,44750.0
2001-07-30,455743.20987654396,1.4271,1.413,1.4161,1.413,650694.0
2001-07-31,114409.87654321,1.4161,1.4098,1.4098,1.4098,162484.0
2001-08-01,21491.3580246914,1.4397,1.4098,1.435,1.4098,30854.0
2001-08-02,38558.0246913581,1.4554,1.4539,1.4539,1.4554,56366.0
2001-08-03,633362.962962964,1.4696,1.4539,1.4696,1.4539,933948.0
2001-08-06,268641.97530864197,1.4712,1.4633,1.4633,1.4712,395400.0
2001-08-07,170034.567901235,1.4523,1.4523,1.4523,1.4523,248287.0
2001-08-08,872928.395061729,1.435,1.4318,1.435,1.4318,1259250.0
2001-08-09,8849.3827160494,1.4161,1.4161,1.4161,1.4161,12600.0
2001-08-10,68898.7654320988,1.4287,1.4161,1.4287,1.4161,98124.0
2001-08-13,39190.1234567902,1.4177,1.4161,1.4161,1.4177,55842.0
2001-08-14,165609.87654321,1.4318,1.4161,1.4287,1.4161,237997.0
2001-08-15,25916.049382716097,1.3878,1.3878,1.3878,1.3878,36162.0
2001-08-16,68898.7654320988,1.3453,1.2902,1.2902,1.3453,92845.0
2001-08-17,632.0987654321,1.2588,1.2588,1.2588,1.2588,800.0
2001-08-21,83437.0370370371,1.2902,1.2824,1.2824,1.2824,108170.0
2001-08-22,12009.8765432099,1.2761,1.2745,1.2745,1.2745,15394.0
2001-08-23,118834.567901235,1.2824,1.2745,1.2745,1.2792,152559.0
2001-08-24,530962.962962964,1.2981,1.2871,1.2965,1.2871,690880.0
2001-08-27,5688.8888888889005,1.3028,1.3028,1.3028,1.3028,7452.0
2001-08-28,282548.14814814803,1.2839,1.2824,1.2824,1.2839,364317.0
2001-08-29,149175.308641975,1.2698,1.2588,1.2698,1.2588,188891.0
2001-08-30,5688.8888888889005,1.2588,1.2588,1.2588,1.2588,7200.0
2001-08-31,378627.16049382795,1.2588,1.2209999999999999,1.2209999999999999,1.2588,468720.0
2001-09-03,1348898.7654321,1.2116,1.2068,1.2068,1.2116,1641589.0
2001-09-04,678874.074074075,1.2147,1.1832,1.1832,1.2147,825176.0
2001-09-05,1597313.58024692,1.1329,1.1171,1.1171,1.1329,1802753.0
2001-09-06,79644.4444444445,1.0699,1.0699,1.0699,1.0699,85680.0
2001-09-07,322370.37037037103,1.1014,1.0306,1.1014,1.0385,337060.0
2001-09-10,520217.28395061794,1.0747,1.0542,1.0542,1.0621,556510.0
2001-09-17,678241.975308643,0.9283,0.9283,0.9283,0.9283,633070.0
2001-09-18,429195.061728395,0.9346,0.9126,0.9126,0.9331,401160.0
2001-09-19,3160.4938271604997,0.9205,0.9126,0.9205,0.9126,2915.0
2001-09-20,424770.37037037103,0.9393,0.9283,0.9393,0.9283,399000.0
2001-09-21,272434.567901235,0.9645,0.9598,0.9645,0.9614,263623.0
2001-09-24,1006933.33333333,1.0574,1.0259,1.0574,1.0259,1058935.0
2001-09-25,103664.19753086401,1.0243,1.0148,1.0243,1.0148,105974.0
2001-09-26,16815723.4567901,1.0306,1.0117,1.0243,1.0195,17282621.0
