FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
2001-12-13,235469656,21.7831,21.7831,21.7831,21.7831,5298067260.0
2001-12-14,217100,21.9767,21.299,21.8121,21.3087,4869347.0
2001-12-17,410500,22.0735,21.7831,21.9767,21.8702,9254839.0
2001-12-18,52400,23.2353,22.6544,22.7512,22.6544,1237320.0
2001-12-19,426300,22.7512,22.2672,22.2672,22.7512,9817950.0
2001-12-20,135500,22.7512,21.7831,22.0348,22.2672,3086436.0
2001-12-21,43200,22.0735,22.0348,22.0348,22.0348,984660.0
2001-12-24,4000,23.0417,22.4608,22.7512,22.4608,93980.0
2001-12-26,4900,22.7512,22.7512,22.7512,22.7512,115150.0
2001-12-27,32500,22.6544,22.0735,22.0735,22.6544,756860.0
2001-12-28,15600,22.364,22.3156,22.3543,22.364,360310.0
2002-01-02,34100,21.7831,21.5895,21.5895,21.7831,767110.0
2002-01-03,13800,21.6863,21.5895,21.6863,21.5895,308700.0
2002-01-04,43100,21.5895,21.299,21.3474,21.5895,951130.0
2002-01-07,2600,22.2672,21.2022,21.9089,21.2022,58210.0
2002-01-08,322800,21.9186,21.299,21.6863,21.9186,7275184.0
2002-01-09,691000,21.7831,21.299,21.299,21.7831,15473410.0
2002-01-10,4300,21.6863,21.3958,21.6863,21.3958,95419.0
2002-01-11,366600,21.7831,21.4926,21.6863,21.5895,8172508.0
2002-01-14,196100,21.6863,21.4926,21.4926,21.6863,4356630.0
2002-01-15,102100,21.6863,21.4926,21.5217,21.6766,2281741.0
2002-01-16,109100,21.5895,21.4926,21.5217,21.4926,2423725.0
2002-01-17,256500,21.5217,21.0086,21.0086,21.5217,5676400.0
2002-01-18,322900,21.7831,21.0086,21.2022,21.7831,7141940.0
2002-01-21,12600,21.2022,21.1054,21.1054,21.2022,275840.0
2002-01-22,366200,21.7831,21.1054,21.1054,21.7831,8026016.0
2002-01-23,243100,21.3958,21.2022,21.2216,21.299,5345777.0
2002-01-24,929700,21.7831,21.2022,21.2022,21.7831,20455570.0
2002-01-25,73500,21.8315,21.2022,21.7347,21.2022,1651070.0
2002-01-28,164800,22.2672,21.4926,21.5895,22.1703,3679080.0
2002-01-29,293500,21.4926,21.2022,21.3958,21.4926,6466350.0
2002-01-30,6900,21.3958,21.299,21.299,21.3958,151900.0
2002-01-31,28800,21.5895,21.299,21.5604,21.299,634908.0
2002-02-01,307400,21.299,21.1635,21.299,21.299,6752206.0
2002-02-04,39900,21.299,21.2022,21.2022,21.299,876600.0
2002-02-06,71800,21.299,21.2022,21.2119,21.2022,1572527.0
2002-02-07,159600,21.299,21.2119,21.2893,21.299,3499759.0
2002-02-08,162500,21.2119,21.2022,21.2022,21.2119,3558780.0
2002-02-11,6100,21.2022,21.1054,21.1151,21.1054,133040.0
2002-02-12,27500,21.5701,21.1151,21.1151,21.5701,602753.0
2002-02-13,26000,21.5701,21.299,21.299,21.5701,573920.0
2002-02-14,7800,21.6863,21.299,21.299,21.6863,173480.0
2002-02-15,159500,21.5701,21.1054,21.1054,21.5701,3496500.0
2002-02-18,600,21.5895,21.1054,21.1054,21.5895,13330.0
2002-02-19,134500,21.5895,21.1054,21.3571,21.5895,2973045.0
2002-02-20,168600,21.7831,21.3571,21.7831,21.6863,3756176.0
2002-02-21,152400,21.6766,21.5314,21.5411,21.5895,3404406.0
2002-02-22,1184500,21.5411,21.299,21.4346,21.4926,26186855.0
2002-02-25,658000,21.8799,21.3958,21.7831,21.4926,14555653.0
2002-02-26,129600,21.938000000000002,21.7831,21.8121,21.7831,2931896.0
2002-02-27,140700,22.2672,21.7831,22.1026,22.2672,3177597.0
2002-02-28,319600,22.2575,21.6185,21.6379,22.1703,7180638.0
2002-03-01,14800,22.2188,21.6863,21.6863,22.2188,337550.0
2002-03-04,520100,22.2672,21.7831,22.1413,22.2381,11742470.0
2002-03-05,189100,22.5576,22.0735,22.1219,22.2672,4338337.0
2002-03-06,59400,22.5576,21.6863,21.9186,22.5576,1348815.0
2002-03-07,17800,22.4511,21.0957,21.1054,21.9186,391823.0
2002-03-08,185200,21.9767,21.1151,21.8799,21.7831,4122462.0
2002-03-11,78300,22.2672,21.6379,21.6379,22.1703,1776665.0
2002-03-12,39300,21.4926,21.4249,21.4733,21.4249,870059.0
2002-03-13,90700,21.27,21.1054,21.1054,21.27,1986268.0
2002-03-14,627700,22.2672,21.1054,22.2091,21.2022,13907414.0
2002-03-15,12300,22.0735,21.299,22.0348,22.0735,280360.0
2002-03-18,2100,21.7831,21.3087,21.7637,21.3087,47201.0
2002-03-19,26600,21.7637,21.6863,21.6863,21.7637,595920.0
2002-03-20,131200,21.6863,21.2022,21.2022,21.6863,2933780.0
2002-03-22,112900,21.2022,20.9118,20.9118,21.2022,2472030.0
2002-03-25,24100,21.299,21.1054,21.2022,21.1054,527857.0
2002-03-26,49900,22.2188,21.2022,21.511999999999997,21.2022,1095143.0
2002-03-27,37000,21.8799,21.5895,21.8799,21.5895,835748.0
2002-04-01,2100,21.0086,21.0086,21.0086,21.0086,45570.0
2002-04-02,42700,21.2022,21.0086,21.1054,21.0086,931230.0
2002-04-03,69700,21.1054,20.9021,20.9118,21.1054,1515929.0
2002-04-04,64900,21.1054,20.9118,20.9118,21.1054,1411990.0
2002-04-05,292400,21.8605,20.8924,20.8924,21.8605,6317758.0
2002-04-08,10400,20.8924,20.8924,20.8924,20.8924,224432.0
2002-04-09,61700,20.8924,20.844,20.844,20.8924,1328511.0
2002-04-10,26600,20.8537,20.6697,20.6988,20.844,572189.0
2002-04-11,25000,20.6988,20.0404,20.205,20.4277,524682.0
2002-04-12,81500,21.8799,20.205,21.5604,20.205,1766603.0
2002-04-15,63600,21.5604,21.2022,21.483,21.5507,1394904.0
2002-04-16,1600,21.3958,21.2797,21.2797,21.3958,35220.0
2002-04-17,34000,21.2797,20.815,20.8246,21.2797,735199.0
2002-04-18,2900,20.815,20.3309,20.7375,20.815,62278.0
2002-04-19,10000,20.7375,20.6213,20.7181,20.6213,213453.0
2002-04-22,70400,20.7181,20.6988,20.6988,20.7085,1506388.0
2002-04-23,30100,20.6988,20.6988,20.6988,20.6988,643538.0
2002-04-24,17800,20.6988,20.4277,20.4471,20.6988,376432.0
2002-04-25,47700,20.6988,20.3309,20.3793,20.6988,1005370.0
2002-04-26,16700,20.3793,20.1373,20.3115,20.3309,351105.0
2002-04-29,101600,20.3115,19.8952,19.8952,20.3115,2098294.0
2002-04-30,371100,19.7984,19.5564,19.7887,19.7403,7547688.0
2002-05-02,82000,19.7887,19.5564,19.75,19.7887,1669624.0
2002-05-03,34200,20.4,20.0,20.39,20.4,688430.0
2002-05-06,12400,20.9,20.35,20.35,20.9,253404.0
2002-05-07,23900,20.39,20.1,20.2,20.39,484203.0
2002-05-08,13700,20.2,20.15,20.17,20.2,276624.0
2002-05-09,1025200,20.17,20.0,20.04,20.17,20507966.0
2002-05-10,143400,20.1,20.0,20.09,20.04,2873363.0
2002-05-13,24900,20.09,20.0,20.04,20.09,499855.0
2002-05-14,31500,20.04,20.0,20.04,20.04,630860.0
2002-05-15,18900,20.04,20.0,20.03,20.04,378696.0
2002-05-16,37700,20.04,19.9,19.9,20.04,754496.0
2002-05-17,1009200,21.0,19.9,20.99,19.91,20105621.0
2002-05-20,40900,22.0,21.0,21.99,21.5,886980.0
2002-05-21,108600,22.0,21.98,21.99,21.98,2388134.0
2002-05-22,36200,21.99,21.75,21.75,21.99,791318.0
2002-05-23,49200,21.75,21.74,21.74,21.75,1069970.0
2002-05-24,1300,21.7,21.5,21.67,21.7,28170.0
2002-05-27,1000,21.7,21.67,21.68,21.67,21676.0
2002-05-28,74400,21.75,21.39,21.59,21.75,1599978.0
2002-05-29,54200,21.6,21.0,21.35,21.6,1165112.0
2002-05-30,62000,21.4,21.1,21.22,21.4,1312210.0
2002-05-31,570200,21.22,20.0,20.95,20.0,11467809.0
2002-06-03,25400,21.4,20.5,20.73,21.4,527800.0
2002-06-04,26700,20.6,20.6,20.6,20.6,550020.0
2002-06-05,7800,20.6,20.59,20.6,20.6,160642.0
2002-06-06,24300,20.9,20.58,20.59,20.9,500491.0
2002-06-07,6500,20.6,20.5,20.5,20.6,133350.0
2002-06-10,34000,20.5,20.0,20.06,20.5,684803.0
2002-06-11,17400,20.07,19.85,19.87,20.07,346631.0
2002-06-12,256100,20.06,19.87,19.94,19.87,5092221.0
2002-06-13,5600,20.1,19.94,20.09,19.94,112484.0
2002-06-14,9000,20.24,19.85,20.08,20.09,180791.0
2002-06-17,2300,20.39,20.0,20.07,20.39,46331.0
2002-06-18,29300,20.06,20.0,20.06,20.0,586184.0
2002-06-19,2300,20.06,20.06,20.06,20.06,46138.0
2002-06-20,118200,20.44,20.0,20.35,20.0,2368657.0
2002-06-21,23200,20.3,20.05,20.1,20.3,465665.0
2002-06-24,11300,20.1,20.0,20.1,20.09,226857.0
2002-06-25,356400,20.2,20.0,20.19,20.14,7128785.0
2002-06-26,18400,20.3,20.0,20.2,20.2,371456.0
2002-06-27,413800,20.3,20.0,20.29,20.29,8289093.0
2002-06-28,20700,21.0,20.29,20.73,20.29,430659.0
2002-07-01,7000,21.0,20.73,21.0,20.73,146671.0
2002-07-02,20900,21.0,21.0,21.0,21.0,438900.0
2002-07-03,12200,21.14,21.1,21.1,21.14,257716.0
2002-07-04,24800,21.4,21.0,21.2,21.2,527040.0
2002-07-05,35800,21.46,21.0,21.0,21.46,755157.0
2002-07-08,43000,21.3,21.0,21.0,21.3,906260.0
2002-07-09,32000,21.0,20.35,21.0,21.0,657700.0
2002-07-10,19100,21.3,21.0,21.2,21.0,401400.0
2002-07-11,71600,21.3,21.2,21.2,21.3,1521500.0
2002-07-12,1700,21.2,20.8,20.9,21.2,35590.0
2002-07-15,30700,21.1,20.89,20.89,21.1,641518.0
2002-07-16,91700,20.89,20.2,20.58,20.89,1889186.0
2002-07-17,38800,20.9,20.61,20.83,20.9,810458.0
2002-07-18,267000,21.7,20.88,21.23,20.89,5582718.0
2002-07-19,170400,21.7,21.5,21.5,21.7,3697270.0
2002-07-22,493500,21.7,21.3,21.5,21.7,10608950.0
2002-07-23,20500,21.2,21.19,21.19,21.2,434500.0
2002-07-24,16000,21.19,20.5,21.07,21.19,336081.0
2002-07-25,8500,20.9,20.5,20.5,20.9,174850.0
2002-07-26,27000,20.8,20.5,20.5,20.5,557245.0
2002-07-29,28400,21.0,20.94,20.95,21.0,595786.0
2002-07-30,57300,21.0,20.1,20.95,21.0,1192355.0
2002-07-31,36600,20.95,20.1,20.33,20.95,751563.0
2002-08-01,14100,20.95,20.1,20.24,20.33,289459.0
2002-08-02,441300,20.24,20.1,20.16,20.1,8903212.0
2002-08-05,10100,20.16,20.16,20.16,20.16,203616.0
2002-08-06,18800,20.16,20.15,20.15,20.16,378881.0
2002-08-07,1000,20.14,20.14,20.14,20.14,20140.0
2002-08-08,1900,20.45,20.14,20.26,20.14,38501.0
2002-08-09,31200,20.5,20.25,20.5,20.26,632225.0
