FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
1997-09-19,57726000,9.5508,8.5413,9.1237,,645196750.0
1997-09-22,5444000,9.4343,9.0849,9.4343,,64792200.0
1997-09-23,3528000,9.5119,9.279,9.4343,,42956900.0
1997-09-24,1256000,9.4343,9.3178,9.3178,,15101450.0
1997-09-25,2272000,9.3761,9.279,9.279,,27229600.0
1997-09-26,1262000,9.5119,9.279,9.4731,,15219500.0
1997-09-29,1624000,9.4731,9.3178,9.3178,,19573350.0
1997-09-30,1212000,9.3372,9.2013,9.3178,,14477900.0
1997-10-01,800000,9.3566,9.279,9.2984,,9585550.0
1997-10-02,328000,9.3178,9.2013,9.2013,,3918400.0
1997-10-03,722000,9.2984,9.2013,9.2013,,8599300.0
1997-10-06,1006000,9.3178,9.2596,9.3178,,12035250.0
1997-10-07,3074000,9.7449,9.2984,9.7449,,38037550.0
1997-10-08,1878000,9.8808,9.5119,9.6478,,23322850.0
1997-10-09,1300000,9.7061,9.5119,9.6866,,16076450.0
1997-10-10,722000,9.6284,9.5119,9.609,,8908200.0
1997-10-13,284000,9.6478,9.5119,9.6478,,3497450.0
1997-10-14,800000,9.9002,9.6284,9.9002,,10006950.0
1997-10-15,754000,9.9002,9.8225,9.9002,,9599400.0
1997-10-16,778000,10.0361,9.8225,9.9002,,9961850.0
1997-10-17,728000,9.7837,9.609,9.7061,,9071800.0
1997-10-20,646000,9.9778,9.6672,9.9778,,8252700.0
1997-10-21,950000,10.2302,9.9972,10.0167,,12355500.0
1997-10-22,296000,10.0167,9.8225,9.939,,3778250.0
1997-10-23,2558000,9.7061,9.2984,9.6284,,31367900.0
1997-10-24,1968000,9.8225,9.279,9.5313,,23840250.0
1997-10-27,2054000,9.279,8.5413,8.5413,,23352300.0
1997-10-28,2436000,9.1237,7.1048,9.1237,,27600000.0
1997-10-29,2754000,9.8225,9.1431,9.1431,,32921650.0
1997-10-30,2456000,9.1431,8.9296,9.0849,,28804000.0
1997-10-31,214000,9.0849,9.0072,9.0849,,2501850.0
1997-11-03,212000,9.5119,9.2402,9.5119,,2556800.0
1997-11-04,88000,9.3761,9.3178,9.3178,,1061150.0
1997-11-05,146000,9.3178,9.3178,9.3178,,1752000.0
1997-11-06,92000,9.3178,9.1625,9.3178,,1102550.0
1997-11-07,292000,9.1625,8.949,8.949,,3410150.0
1997-11-10,12000,8.9296,8.7549,8.9296,,137350.0
1997-11-11,108000,9.1237,8.8325,9.1237,,1246200.0
1997-11-12,360000,8.8713,8.7355,8.8519,,4065500.0
1997-11-13,378000,8.7549,8.6966,8.7355,,4250250.0
1997-11-14,358000,9.4149,8.7355,9.4149,,4231750.0
1997-11-17,122000,9.609,9.4343,9.4343,,1486050.0
1997-11-18,280000,9.3955,9.3178,9.3761,,3375250.0
1997-11-19,78000,9.3955,9.3178,9.3761,,940600.0
1997-11-21,324000,9.5896,9.4343,9.4343,,3969000.0
1997-11-24,126000,9.4343,8.9684,8.9684,,1516800.0
1997-11-25,282000,9.3178,8.9684,9.279,,3357300.0
1997-11-26,2432000,9.5119,9.2402,9.5119,,29510150.0
1997-11-27,2690000,9.7061,9.5119,9.7061,,33202150.0
1997-11-28,144000,9.7061,9.5119,9.6672,,1787900.0
1997-12-01,402000,10.0943,9.7061,10.0943,,5074450.0
1997-12-02,712000,10.0555,9.7837,9.9196,,9070250.0
1997-12-03,412000,9.9778,9.7837,9.939,,5252250.0
1997-12-04,212000,10.0555,9.7837,9.939,,2732350.0
1997-12-05,312000,10.0167,9.8808,9.9778,,3983950.0
1997-12-08,34000,10.0167,9.9778,9.9778,,437500.0
1997-12-09,1022000,10.0943,9.9002,10.0943,,13146100.0
1997-12-10,376000,10.1719,10.0361,10.0943,,4898250.0
1997-12-11,1820000,10.0555,9.9002,9.939,,23310050.0
1997-12-15,216000,10.2496,9.939,10.0943,,2805950.0
1997-12-16,642000,10.1331,10.0167,10.1331,,8337450.0
1997-12-17,434000,10.1331,9.7061,10.1331,,5579250.0
