Date,Volume,High,Low,Close,Open,Import
1987-09-09,12333990.8049327,0.1034,0.1034,0.1034,,
1987-09-10,325969.756987506,0.1304,0.1146,0.1304,,
1987-09-11,2642998.02962843,0.1439,0.1439,0.1439,,
1987-09-14,429046.680143015,0.1394,0.1394,0.1394,,
1987-09-15,279276.791797404,0.1394,0.1349,0.1349,,
1987-09-17,2133780.40925335,0.1349,0.1124,0.1214,,
1987-09-18,84575.9369481097,0.1214,0.1169,0.1169,,
1987-09-21,296896.778661593,0.1169,0.1101,0.1101,,
1987-09-22,584278.764416524,0.1101,0.0989,0.0989,,
1987-09-23,25564786.081292,0.109,0.1056,0.1079,,
1987-09-24,14813722.0362775,0.1079,0.1079,0.1079,,
1987-09-25,18352661.1579762,0.1169,0.1068,0.1079,,
1987-09-28,313054.306616055,0.1079,0.1068,0.1068,,
1987-09-29,14900800.0113603,0.1169,0.1056,0.1169,,
1987-09-30,4631431.16723908,0.1281,0.1169,0.1281,,
1987-10-01,20262.984893817902,0.1281,0.1214,0.1214,,
1987-10-02,4012106.24894968,0.1281,0.1214,0.1214,,
1987-10-05,176199.868641895,0.127,0.127,0.127,,
1987-10-06,2341079.55471054,0.1236,0.1214,0.1214,,
1987-10-07,2176068.37772741,0.1214,0.1146,0.1214,,
1987-10-08,3042407.89186588,0.1214,0.1124,0.1124,,
1987-10-09,532123.603298523,0.1135,0.1124,0.1124,,
1987-10-13,2288624.85381585,0.109,0.1011,0.1011,,
1987-10-14,1434196.45079757,0.1011,0.091,0.0978,,
1987-10-15,2218462.06612265,0.0989,0.0978,0.0978,,
1987-10-16,703918.475224371,0.1,0.0978,0.1,,
1987-10-19,399092.70247389295,0.0989,0.0899,0.0899,,
1987-10-20,120978.829809525,0.0877,0.0809,0.0809,,
1987-10-21,3356484.15772005,0.0809,0.0742,0.0742,,
1987-10-22,1401070.87549289,0.0809,0.0753,0.0809,,
1987-10-23,5071419.85922476,0.0854,0.0764,0.0764,,
1987-10-26,10052783.9655866,0.0775,0.0697,0.0697,,
1987-10-27,20244149.127860107,0.0697,0.0539,0.0539,,
1987-10-28,2696122.29002396,0.0596,0.0517,0.0596,,
1987-10-29,1009960.02706848,0.0641,0.0596,0.0641,,
1987-10-30,199246.811460255,0.0674,0.0584,0.0596,,
1987-11-03,5823528.99852268,0.0596,0.0584,0.0596,,
1987-11-04,6710906.776977,0.0584,0.0539,0.0539,,
1987-11-05,810413.6758315329,0.0551,0.0539,0.0551,,
1987-11-06,1689827.22022323,0.0584,0.0539,0.0584,,
1987-11-09,1684505.98419025,0.0629,0.0584,0.0629,,
1987-11-10,1603841.68432599,0.0674,0.0618,0.0618,,
1987-11-11,702156.4765379521,0.0629,0.0618,0.0629,,
1987-11-12,2882629.85098141,0.0652,0.0618,0.0629,,
1987-11-13,10702362.4013218,0.0629,0.0562,0.0562,,
1987-11-16,1002418.67269061,0.0562,0.0461,0.0461,,
1987-11-17,1261925.83922639,0.0461,0.045,0.045,,
1987-11-18,271153.977853012,0.0584,0.0584,0.0584,,
1987-11-19,2204577.51647366,0.0652,0.0584,0.0641,,
1987-11-23,79289.9408888528,0.0607,0.0584,0.0584,,
1987-11-24,5026242.21290497,0.0584,0.0551,0.0562,,
1987-11-25,239244.181641965,0.0494,0.0483,0.0494,,
1987-11-26,544316.634208543,0.045,0.045,0.045,,
1987-11-30,461626.035854901,0.045,0.045,0.045,,
1987-12-01,9235075.61519333,0.045,0.0405,0.0405,,
1987-12-02,7765903.49047034,0.0396,0.0382,0.0382,,
1987-12-03,352399.73728379,0.0391,0.0387,0.0391,,
1987-12-04,1234086.25998097,0.0432,0.0387,0.0432,,
1987-12-08,569019.855792136,0.0405,0.0405,0.0405,,
1987-12-09,364117.028548476,0.0405,0.0405,0.0405,,
1987-12-10,956042.867264059,0.0441,0.0405,0.0441,,
1987-12-11,1913548.19343785,0.0539,0.0441,0.0539,,
1987-12-14,1762985.40568335,0.0494,0.0483,0.0494,,
1987-12-15,524846.5487236129,0.0472,0.045,0.045,,
1987-12-21,239649.441339842,0.0445,0.0445,0.0445,,
1987-12-23,3690453.3887439,0.0494,0.045,0.045,,
1987-12-24,1073039.58004228,0.0445,0.0405,0.0405,,
1987-12-28,13301328.0837767,0.0405,0.0405,0.0405,,
1987-12-29,1252692.96610955,0.045,0.045,0.045,,
1987-12-30,88099.93432094758,0.045,0.045,0.045,,
1988-01-05,121577.909362908,0.0427,0.0427,0.0427,,
1988-01-06,22379251.0361283,0.045,0.0405,0.0427,,
1988-01-07,1377988.69270081,0.045,0.0427,0.0427,,
1988-01-08,402969.099584014,0.045,0.0432,0.045,,
1988-01-11,1032531.23024151,0.045,0.045,0.045,,
1988-01-12,1785997.10852798,0.0494,0.045,0.0494,,
1988-01-13,34852.3340173669,0.0494,0.0494,0.0494,,
1988-01-14,2343458.25293721,0.0539,0.0461,0.0539,,
1988-01-15,981944.247954418,0.0584,0.0494,0.0584,,
1988-01-18,35416.1735970209,0.0584,0.0584,0.0584,,
1988-01-19,6360832.87795928,0.0629,0.0584,0.0629,,
1988-01-20,1240059.43552793,0.0674,0.0618,0.0674,,
1988-01-21,3453517.42538115,0.073,0.0697,0.0719,,
1988-01-22,2248310.32387058,0.0764,0.0708,0.0764,,
1988-01-25,1209488.75831856,0.0753,0.0753,0.0753,,
1988-01-26,1524798.42325323,0.0742,0.0719,0.0719,,
1988-01-27,357509.533474405,0.0734,0.0723,0.0723,,
1988-01-28,140959.894913516,0.0723,0.0723,0.0723,,
1988-02-02,1513697.83152879,0.0665,0.0654,0.0654,,
1988-02-03,664273.504779945,0.0711,0.0654,0.0711,,
1988-02-04,849565.286643762,0.0734,0.0711,0.0711,,
1988-02-09,17831.4267065598,0.0711,0.0711,0.0711,,
1988-02-10,16447605.7982069,0.0734,0.0711,0.0734,,
1988-02-11,1761998.68641895,0.0734,0.0734,0.0734,,
1988-02-12,687884.287177959,0.0688,0.0688,0.0688,,
1988-02-15,1219303.09100191,0.0688,0.0677,0.0688,,
1988-02-16,133030.90082463098,0.0688,0.0642,0.0642,,
1988-02-17,1746140.69824118,0.0688,0.0665,0.0688,,
1988-02-18,422879.68474054796,0.0688,0.0677,0.0688,,
1988-02-19,916239.316937855,0.07,0.0688,0.0688,,
1988-02-23,352611.177126161,0.0665,0.0665,0.0665,,
1988-02-24,2007727.02322694,0.0665,0.0665,0.0665,,
1988-02-25,16899329.4014442,0.0734,0.0688,0.0688,,
1988-02-26,1256516.50325908,0.0757,0.0677,0.0757,,
1988-02-29,2901712.29675532,0.0837,0.0837,0.0837,,
1988-03-01,4757396.45333117,0.0906,0.0837,0.0872,,
1988-03-02,1832478.63387571,0.0872,0.0826,0.0837,,
1988-03-03,5308285.34264005,0.0826,0.0826,0.0826,,
1988-03-09,882761.341895895,0.0711,0.0711,0.0711,,
1988-03-10,88099.93432094758,0.0688,0.0688,0.0688,,
1988-03-11,13062348.2019377,0.07,0.0677,0.0688,,
1988-03-14,8233273.64204297,0.0688,0.0688,0.0688,,
1988-03-16,1074819.19871556,0.0688,0.0619,0.0688,,
1988-03-17,792899.408888528,0.07,0.0688,0.07,,
1988-03-18,1950532.54586578,0.0734,0.0688,0.0734,,
1988-03-23,1021959.23812299,0.0734,0.0688,0.0734,,
1988-03-24,7476477.58623917,0.0734,0.0734,0.0734,,
1988-03-25,740039.44829596,0.0734,0.0734,0.0734,,
1988-03-28,334779.75041960104,0.0734,0.0734,0.0734,,
1988-03-29,246679.816098653,0.0734,0.0734,0.0734,,
1988-03-30,193819.855506085,0.0734,0.0734,0.0734,,
1988-04-04,158579.881777706,0.0734,0.0734,0.0734,,
1988-04-05,324648.25797269196,0.0734,0.0734,0.0734,,
1988-04-06,71783.8264847081,0.0746,0.0746,0.0746,,
1988-04-07,136202.498460185,0.0746,0.0746,0.0746,,
1988-04-08,299539.776691222,0.0734,0.0734,0.0734,,
1988-04-11,898619.330073665,0.0746,0.0734,0.0746,,
1988-04-12,1726829.19263803,0.0734,0.0723,0.0734,,
1988-04-13,193819.855506085,0.0734,0.0734,0.0734,,
1988-04-14,39257.3307334142,0.0734,0.0734,0.0734,,
1988-04-15,22923.6029103106,0.0734,0.0734,0.0734,,
1988-04-18,518062.8537809,0.0734,0.0734,0.0734,,
1988-04-19,70568.047391079,0.0734,0.0734,0.0734,,
1988-04-20,103076.92315550901,0.0746,0.0734,0.0746,,
1988-04-21,4699567.6564429,0.0746,0.0734,0.0734,,
1988-04-22,81051.9395752718,0.0734,0.0734,0.0734,,
1988-04-25,563839.579654065,0.0734,0.0734,0.0734,,
1988-04-27,6854174.89016972,0.0759,0.0722,0.0722,,
1988-04-28,26623.8001517904,0.0722,0.0722,0.0722,,
1988-04-29,421998.685397339,0.0722,0.071,0.071,,
1988-05-02,495121.630883725,0.0734,0.071,0.0734,,
1988-05-03,183582.64313799105,0.0734,0.0734,0.0734,,
1988-05-04,1127679.15930813,0.0734,0.0734,0.0734,,
1988-05-06,221130.83514557802,0.0734,0.0734,0.0734,,
1988-05-10,2114046.02396546,0.0783,0.0734,0.0783,,
1988-05-11,2519658.1215791,0.0857,0.0808,0.0857,,
1988-05-16,951479.2906662341,0.0918,0.0918,0.0918,,
1988-05-18,320683.760928249,0.08199999999999999,0.08199999999999999,0.08199999999999999,,
1988-05-20,562570.9405998429,0.0771,0.0759,0.0771,,
1988-05-23,16150004.220070802,0.0771,0.0734,0.0771,,
1988-05-24,545655.7532102211,0.0783,0.0771,0.0771,,
1988-05-25,880999.343209476,0.0832,0.0783,0.0832,,
1988-05-26,176199.868641895,0.0783,0.0783,0.0783,,
1988-05-27,35134.2538071939,0.0869,0.0869,0.0869,,
1988-05-30,142439.973810108,0.0857,0.0808,0.0857,,
1988-06-01,159355.16119973,0.0832,0.0832,0.0832,,
1988-06-02,22410456.0328648,0.0844,0.0783,0.0832,,
1988-06-03,3447156.61012317,0.0844,0.0832,0.0844,,
1988-06-06,2033487.44402238,0.0905,0.0832,0.0832,,
1988-06-07,2815127.68130469,0.0905,0.0857,0.0869,,
1988-06-08,1111803.55114349,0.093,0.0869,0.093,,
1988-06-09,17781368.3238786,0.093,0.0844,0.0844,,
1988-06-10,141770.414309269,0.0857,0.0844,0.0857,,
1988-06-13,300403.15604756697,0.0869,0.0857,0.0869,,
1988-06-14,68383.1690199195,0.0869,0.0869,0.0869,,
1988-06-15,176199.868641895,0.0881,0.0869,0.0869,,
1988-06-16,43820.9073312393,0.0857,0.0857,0.0857,,
1988-06-17,3065877.71436898,0.0869,0.0857,0.0857,,
1988-06-20,1705121.36882135,0.0869,0.0857,0.0869,,
1988-06-21,1039579.22498718,0.0857,0.0857,0.0857,,
1988-06-22,211439.84237027398,0.0832,0.0832,0.0832,,
1988-06-23,176199.868641895,0.0832,0.0832,0.0832,,
1988-06-24,5285996.05925685,0.093,0.0881,0.093,,
1988-06-27,10624852.0791063,0.0958,0.0895,0.0907,,
1988-06-30,11012068.910433697,0.0932,0.0907,0.0932,,
1988-07-01,16696206.1928738,0.1021,0.092,0.092,,
1988-07-04,35239.973728379,0.092,0.092,0.092,,
1988-07-05,49142.1433642246,0.092,0.092,0.092,,
1988-07-07,17619.9868641895,0.0857,0.0857,0.0857,,
1988-07-08,288914.924612115,0.0857,0.0844,0.0844,,
1988-07-11,246679.816098653,0.0806,0.0806,0.0806,,
1988-07-12,17767959.513875,0.0832,0.0806,0.0832,,
1988-07-13,581530.046465711,0.0907,0.0781,0.0907,,
1988-07-14,3669978.96400771,0.0995,0.0907,0.0995,,
1988-07-15,35239.973728379,0.0907,0.0895,0.0907,,
1988-07-19,52859.960592568495,0.0857,0.0857,0.0857,,
1988-07-20,252970.151409169,0.0907,0.0907,0.0907,,
1988-07-22,229059.82923446398,0.0907,0.0907,0.0907,,
1988-07-26,35239.973728379,0.0819,0.0819,0.0819,,
1988-07-27,18836629.3371749,0.0819,0.0806,0.0806,,
1988-07-28,570605.654609913,0.0832,0.0806,0.0806,,
1988-07-29,193819.855506085,0.0806,0.0806,0.0806,,
1988-08-01,933753.5838808592,0.0806,0.0781,0.0781,,
1988-08-02,17672846.824782103,0.0806,0.0781,0.0806,,
1988-08-03,917472.716018348,0.0806,0.0781,0.0781,,
1988-08-04,22905982.9234464,0.0781,0.0781,0.0781,,
1988-08-05,105719.92118513699,0.0806,0.0806,0.0806,,
1988-08-08,17619.9868641895,0.0806,0.0806,0.0806,,
1988-08-10,251683.892368083,0.0806,0.0806,0.0806,,
1988-08-17,160200.92056921098,0.0806,0.0806,0.0806,,
1988-08-18,17619.9868641895,0.0756,0.0756,0.0756,,
1988-08-19,880999.343209476,0.0731,0.0731,0.0731,,
1988-08-22,218523.077089678,0.0718,0.0718,0.0718,,
1988-08-23,377420.118630939,0.0718,0.0718,0.0718,,
1988-08-24,70479.94745675809,0.0718,0.0718,0.0718,,
1988-08-25,19734.3852878923,0.0718,0.0718,0.0718,,
1988-08-26,125524.786420486,0.0743,0.0731,0.0743,,
1988-08-29,323132.939102372,0.0769,0.0769,0.0769,,
1988-08-30,4628488.62943276,0.0781,0.0769,0.0769,,
1988-08-31,52859.960592568495,0.0781,0.0781,0.0781,,
1988-09-02,17619.9868641895,0.0769,0.0769,0.0769,,
1988-09-05,211439.84237027398,0.0756,0.0756,0.0756,,
1988-09-06,70479.94745675809,0.0756,0.0756,0.0756,,
1988-09-07,6100867.59176503,0.0781,0.0756,0.0781,,
1988-09-08,3682577.25461561,0.0806,0.0781,0.0806,,
1988-09-09,4933596.32197306,0.0832,0.0806,0.0832,,
1988-09-12,201378.829870822,0.0806,0.0806,0.0806,,
1988-09-13,147549.77000072302,0.0806,0.0806,0.0806,,
1988-09-19,1000286.65428004,0.0806,0.0781,0.0781,,
1988-09-20,352399.73728379,0.0781,0.0781,0.0781,,
1988-09-22,1779618.67328314,0.0832,0.0781,0.0832,,
1988-09-23,775244.18205061,0.0832,0.0832,0.0832,,
1988-09-26,211034.582672398,0.0781,0.0781,0.0781,,
1988-09-27,42287.9684740548,0.0756,0.0756,0.0756,,
1988-09-28,211439.84237027398,0.0756,0.0756,0.0756,,
1988-09-29,44049.967160473796,0.0769,0.0756,0.0769,,
1988-10-03,208902.56426183105,0.0769,0.0756,0.0769,,
1988-10-06,52859.960592568495,0.0756,0.0756,0.0756,,
1988-10-07,70479.94745675809,0.0756,0.0756,0.0756,,
1988-10-10,116908.61284389699,0.0743,0.0743,0.0743,,
1988-10-13,925895.0697394308,0.0731,0.0731,0.0731,,
1988-10-17,156060.223656127,0.0743,0.0743,0.0743,,
1988-10-18,214893.359795655,0.0756,0.0756,0.0756,,
1988-10-19,221747.534685825,0.0756,0.0743,0.0756,,
1988-10-20,39028.2709041798,0.0769,0.0769,0.0769,,
1988-10-24,756337.936145335,0.0781,0.0781,0.0781,,
1988-10-25,937189.4813193759,0.0806,0.0781,0.0781,,
1988-10-26,933859.303802044,0.0806,0.0806,0.0806,,
1988-10-31,365790.92730057397,0.0819,0.0806,0.0819,,
1988-11-03,2149638.39743112,0.0819,0.0819,0.0819,,
1988-11-07,2021065.35328313,0.0832,0.0832,0.0832,,
1988-11-08,3276647.99723841,0.0832,0.0832,0.0832,,
1988-11-10,3541617.35970209,0.0844,0.0832,0.0844,,
1988-11-11,5886855.23131258,0.0857,0.0832,0.0857,,
