FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
1991-12-11,740965035.7405009,1.2997,1.2997,1.2997,,
1991-12-13,138785.479670464,1.3067,1.2997,1.3067,,
1991-12-16,92523.6531136429,1.3102,1.3102,1.3102,,
1991-12-17,92523.6531136429,1.3137,1.3137,1.3137,,
1992-01-06,46261.8265568214,1.3137,1.3137,1.3137,,
1992-01-07,624534.658517089,1.3137,1.3137,1.3137,,
1992-01-08,720759.2577552779,1.3137,1.3067,1.3137,,
1992-01-09,832712.8780227859,1.3137,1.3137,1.3137,,
1992-01-10,468465.76044499705,1.3206,1.3206,1.3206,,
1992-01-15,92523.6531136429,1.3276,1.3276,1.3276,,
1992-01-16,23130.9132784107,1.3311,1.3311,1.3311,,
1992-01-17,69392.73983523219,1.3346,1.3346,1.3346,,
1992-01-20,578272.831960268,1.3381,1.3381,1.3381,,
1992-01-21,24204.187654529,1.3381,1.3381,1.3381,,
1992-01-23,26253.5865709962,1.3486,1.3486,1.3486,,
1992-01-27,2798840.5066877003,1.3591,1.3556,1.3591,,
1992-01-28,277570.959340929,1.3556,1.3521,1.3521,,
1992-01-29,5944644.71255155,1.3626,1.3486,1.3626,,
1992-01-30,46261.8265568214,1.3730000000000002,1.3730000000000002,1.3730000000000002,,
1992-01-31,1202807.49047736,1.38,1.3730000000000002,1.38,,
1992-02-03,1480378.44981829,1.38,1.38,1.38,,
1992-02-04,936801.987775634,1.3975,1.3975,1.3975,,
1992-02-06,254440.046062518,1.4464,1.4394,1.4464,,
1992-02-07,693927.398352322,1.4674,1.4674,1.4674,,
1992-02-10,393225.52573298203,1.5023,1.4674,1.5023,,
1992-02-11,439487.35228980397,1.5023,1.5023,1.5023,,
1992-02-12,23130.9132784107,1.5023,1.5023,1.5023,,
1992-02-14,23130.9132784107,1.5233,1.5233,1.5233,,
1992-02-17,2336222.24111948,1.5303,1.5233,1.5233,,
1992-02-18,46261.8265568214,1.5338,1.5303,1.5338,,
1992-02-19,693927.398352322,1.5338,1.5338,1.5338,,
1992-02-20,161916.392948875,1.5407,1.5407,1.5407,,
1992-02-24,138785.479670464,1.5547,1.5547,1.5547,,
1992-02-26,46261.8265568214,1.5722,1.5722,1.5722,,
1992-03-02,115654.56639205401,1.5757,1.5757,1.5757,,
1992-03-03,115654.56639205401,1.5792,1.5792,1.5792,,
1992-03-04,208178.219505696,1.5792,1.5792,1.5792,,
1992-03-05,46261.8265568214,1.5792,1.5792,1.5792,,
1992-03-09,185047.30622728603,1.6071,1.5792,1.6071,,
1992-03-11,23130.9132784107,1.6246,1.6246,1.6246,,
1992-03-13,2313091.32784107,1.6595,1.6595,1.6595,,
1992-03-17,23130.9132784107,1.6769999999999998,1.6769999999999998,1.6769999999999998,,
1992-03-19,113373.85834280199,1.7469,1.7469,1.7469,,
1992-03-23,9252.365311364301,1.8954,1.8954,1.8954,,
1992-03-25,2239072.40535016,1.9303,1.9303,1.9303,,
1992-03-26,25328.350039859703,1.9565,1.9565,1.9565,,
1992-03-30,9252.365311364301,1.9565,1.9565,1.9565,,
1992-04-02,39438.2071396903,1.9914,1.9914,1.9914,,
1992-04-07,619908.475861407,2.0875,2.0264,2.0264,,
1992-04-08,360842.24714320706,1.9914,1.9914,1.9914,,
1992-04-09,18504.730622728603,1.9914,1.9914,1.9914,,
1992-04-14,9252.365311364301,2.0438,2.0438,2.0438,,
1992-04-21,18504.730622728603,2.0438,2.0438,2.0438,,
1992-04-22,9252.365311364301,2.0176,2.0176,2.0176,,
1992-04-24,439487.35228980397,2.0176,2.0176,2.0176,,
1992-04-28,32383.278589775,2.0176,2.0176,2.0176,,
1992-04-29,22270443.304453798,2.0176,1.9216,2.0176,,
1992-04-30,393225.52573298203,2.0176,1.9216,2.0176,,
1992-05-06,4267736.77115458,1.9914,1.9914,1.9914,,
1992-05-08,83271.2878022786,2.0176,2.0176,2.0176,,
1992-05-11,55514.191868185706,2.0351,2.0176,2.0351,,
1992-05-12,55514.191868185706,2.0351,2.0351,2.0351,,
1992-05-13,92523.6531136429,2.0351,2.0351,2.0351,,
1992-05-20,8789747.04579607,2.0351,1.9914,1.9914,,
1992-05-21,55514.191868185706,1.9914,1.9914,1.9914,,
1992-05-22,80611232.7752614,2.0438,1.9914,2.0351,,
1992-05-25,1082526.74142962,2.0351,2.0089,2.0351,,
1992-05-26,9187598.75418474,2.0264,1.9914,2.0264,,
1992-05-27,4459640.08007759,2.0264,1.9914,2.0264,,
1992-05-28,434861.16963412205,2.0089,2.0002,2.0089,,
1992-05-29,3081037.64868431,2.0176,1.9914,2.0176,,
1992-06-01,4246835.67791621,2.0264,2.0176,2.0176,,
1992-06-02,1896734.88882968,2.0089,1.9827,2.0002,,
1992-06-03,111028.38373637099,1.9914,1.9827,1.9914,,
1992-06-04,1582154.46824329,1.9914,1.939,1.9914,,
1992-06-08,545889.553370493,1.9914,1.9565,1.9914,,
1992-06-09,1017760.18425007,1.9565,1.939,1.9565,,
1992-06-10,5541537.66066604,1.9478,1.939,1.9478,,
1992-06-11,5708709.39711177,1.9565,1.8517,1.9565,,
1992-06-12,795703.416777329,1.974,1.9565,1.974,,
1992-06-16,3330851.51209114,1.939,1.8779,1.9041,,
1992-06-17,1392480.97936033,1.7818,1.7469,1.7818,,
