Date,Open,Close,High,Low,Volume
2002-04-09,15.20,15.10,15.20,15.10,135000
2002-04-10,15.10,15.10,15.10,15.10,28000
2002-04-11,15.20,15.20,15.20,15.20,20000
2002-04-12,14.75,14.71,15.20,14.70,605100
2002-04-16,14.80,14.80,14.80,14.80,437100
2002-04-18,14.80,14.80,14.80,14.80,144000
2002-04-19,14.90,14.90,14.90,14.90,8900
2002-04-23,15.00,15.00,15.00,15.00,20000
2002-04-24,14.99,14.99,14.99,14.99,15000
2002-04-25,14.90,14.90,14.90,14.90,51600
2002-04-29,14.90,14.90,14.90,14.90,13400
2002-04-30,14.88,14.88,14.88,14.88,128000
2002-05-02,14.90,14.85,14.90,14.85,132500
2002-05-06,14.80,14.80,14.80,14.80,66900
2002-05-09,14.70,14.70,14.70,14.70,34000
2002-05-13,14.70,14.70,14.70,14.70,20000
2002-05-14,14.70,14.70,14.70,14.70,3000
2002-05-15,14.70,14.70,14.70,14.70,15000
2002-05-20,14.70,14.70,14.70,14.70,21000
2002-05-21,14.70,14.70,14.70,14.70,20000
2002-06-03,14.75,14.75,14.75,14.75,18000
2002-06-04,14.70,14.70,14.70,14.70,12000
2002-06-06,14.65,14.50,14.65,14.50,34000
2002-06-07,14.50,14.50,14.50,14.50,80000
2002-06-19,14.30,14.30,14.30,14.30,4000
2002-06-25,14.30,14.30,14.30,14.30,5000
2002-07-04,14.20,14.20,14.20,14.20,12000
2002-07-05,14.20,14.20,14.20,14.20,1500
2002-07-09,14.00,14.00,14.00,14.00,20000
2002-07-11,14.00,14.00,14.00,14.00,203300
2002-07-12,14.50,14.50,14.50,14.50,4000
2002-07-30,14.00,14.00,14.00,14.00,20500
2002-08-06,14.00,14.00,14.00,14.00,70000
2002-08-08,13.80,13.80,13.80,13.80,60000
2002-08-09,13.80,13.80,13.80,13.80,60000
2002-08-20,13.70,13.70,13.70,13.70,90700
2002-09-05,13.70,13.70,13.70,13.70,20000
2002-09-10,13.70,13.70,13.70,13.70,2000
2002-09-17,13.70,13.70,13.70,13.70,50000
2002-09-19,13.70,13.70,13.70,13.70,16600
2002-09-24,13.70,13.70,13.70,13.70,7400
2002-09-25,13.90,13.90,13.90,13.90,60000
2002-10-15,14.00,14.00,14.00,14.00,3000
2002-10-17,14.00,14.00,14.00,14.00,30500
2002-10-18,14.00,14.00,14.00,14.00,100000
2002-10-21,14.00,14.00,14.00,14.00,100000
2002-10-22,13.90,13.90,13.90,13.90,200071
2002-10-31,14.00,14.00,14.00,14.00,20000
2002-11-15,14.40,14.40,14.40,14.40,50000
2002-11-27,14.50,14.50,14.50,14.50,2600
2002-12-19,14.50,14.50,14.50,14.50,6500
2002-12-26,14.50,14.50,14.50,14.50,34000
2003-01-06,14.50,14.50,14.50,14.50,3000
2003-01-14,14.50,14.50,14.50,14.50,100000
2003-01-21,14.50,14.50,14.50,14.50,13400
2003-02-27,14.20,14.20,14.20,14.20,1000
2003-02-28,14.20,14.20,14.20,14.20,800000
2003-03-03,14.00,14.00,14.00,14.00,1000000
2003-03-04,14.00,14.00,14.00,14.00,499000
2003-03-12,13.70,13.70,13.70,13.70,37300
2003-05-06,13.50,13.50,13.50,13.50,1000
2003-06-27,13.45,13.45,13.45,13.45,3000
2003-07-23,13.20,13.20,13.20,13.20,928000
2003-07-31,13.20,13.20,13.20,13.20,3000
2003-08-07,13.20,13.20,13.20,13.20,7000
2003-08-14,13.20,13.20,13.20,13.20,30000
2003-08-26,13.20,13.20,13.20,13.20,1150000
2003-09-11,12.90,12.90,12.90,12.90,423127
2003-10-08,12.80,12.80,12.80,12.80,60600
2003-10-28,12.60,12.60,12.60,12.60,5000
2003-10-29,12.40,12.40,12.40,12.40,1995002
2003-11-25,12.40,12.40,12.40,12.40,2000
2003-12-30,12.20,12.20,12.20,12.20,9650000
2004-01-07,12.20,12.20,12.20,12.20,6000
2004-01-23,12.00,12.00,12.00,12.00,1798000
2004-02-23,12.00,12.00,12.00,12.00,20000
2004-03-19,12.00,12.00,12.00,12.00,10000
2004-04-16,12.00,12.00,12.00,12.00,6600
2004-05-14,12.00,12.00,12.00,12.00,10000
2004-06-10,12.00,12.00,12.00,12.00,2000
2004-06-18,12.00,12.00,12.00,12.00,800000
2004-06-23,12.00,12.00,12.00,12.00,850000
2004-06-29,11.90,11.90,11.90,11.90,1400000
2004-06-30,11.90,11.90,11.90,11.90,1000000
2004-07-01,11.90,11.90,11.90,11.90,780000
2004-07-02,11.90,11.90,11.90,11.90,1300000
2004-07-05,11.90,11.90,11.90,11.90,550000
2004-07-06,11.90,11.90,11.90,11.90,800000
2004-07-07,11.90,11.90,11.90,11.90,480000
2004-07-08,11.90,11.90,11.90,11.90,650000
2004-07-09,11.90,11.90,11.90,11.90,650000
2004-07-12,11.90,11.90,11.90,11.90,396000
2004-07-28,11.90,11.90,11.90,11.90,5000
2004-08-12,11.50,11.50,11.50,11.50,115000
2004-09-08,11.50,11.50,11.50,11.50,5000
2004-10-12,11.50,11.50,11.50,11.50,5000
2004-11-09,11.50,11.50,11.50,11.50,20000
2004-11-19,11.50,11.50,11.50,11.50,66600
2004-12-16,11.50,11.50,11.50,11.50,1000
2004-12-20,10.80,10.80,10.80,10.80,4001600
2004-12-22,10.80,10.80,10.80,10.80,3000
2005-01-20,11.00,11.00,11.00,11.00,500
2005-02-18,10.81,10.81,10.81,10.81,500
2005-03-18,10.81,10.81,10.81,10.81,3000
2005-04-19,10.81,10.81,10.81,10.81,1500
2005-06-07,12.00,12.00,12.00,12.00,100
2005-06-08,13.00,13.00,13.00,13.00,100
2005-06-09,13.50,13.50,13.50,13.50,100
2005-06-24,14.00,14.00,14.00,14.00,100
2005-06-27,16.10,16.10,16.10,16.10,100
2005-09-02,15.00,15.00,15.00,15.00,1000
2005-09-30,15.00,15.00,15.00,15.00,200
2005-10-31,15.00,15.00,15.00,15.00,500
2005-12-08,15.00,15.00,15.00,15.00,100
2006-01-10,15.00,15.00,15.00,15.00,100
2006-02-14,14.50,14.50,14.50,14.50,200
2006-05-12,14.50,14.50,14.50,14.50,100
2006-06-02,14.50,14.50,14.50,14.50,2000
2006-07-07,14.50,14.50,14.50,14.50,1000
2006-08-09,14.50,14.50,14.50,14.50,1000
2006-08-16,14.50,14.50,14.50,14.50,300
2006-09-26,14.50,14.50,14.50,14.50,2000
2006-10-06,16.10,16.10,16.10,16.10,1500
2006-10-11,16.90,16.90,16.90,16.90,3000
2006-10-12,17.80,17.80,17.80,17.80,59100
2006-10-16,19.21,19.21,19.21,19.21,55000
2006-10-17,19.50,21.01,21.01,19.50,98700
2006-10-18,21.49,21.99,21.99,21.49,27900
2006-10-19,22.50,22.49,22.50,22.49,1200
2006-10-23,22.48,22.48,22.48,22.48,100
2006-10-26,19.50,19.60,19.60,19.50,300
2006-10-27,20.18,20.18,20.18,20.18,100
2006-10-30,23.00,23.00,23.00,23.00,5000
2006-10-31,22.80,22.70,22.80,22.70,11900
2006-11-01,22.58,22.70,22.70,22.58,9400
2006-11-03,22.70,22.70,22.70,22.70,16000
2006-11-07,22.65,22.50,22.65,22.50,4900
2006-11-08,22.70,22.70,22.70,22.70,3500
2006-11-09,23.00,23.65,23.65,23.00,76500
2006-11-10,23.68,23.85,23.85,23.68,89100
2006-11-13,24.00,23.00,24.00,23.00,400
2006-11-14,22.51,22.51,22.51,22.51,8000
2006-11-15,23.50,23.99,23.99,23.50,5000
2006-11-21,23.99,23.99,23.99,23.99,3100
2006-11-22,23.79,23.79,23.79,23.79,1000
2006-12-28,23.50,23.50,23.50,23.50,1000
2007-01-02,23.29,22.95,23.29,22.95,20100
2007-01-03,21.52,21.52,21.52,21.52,4100
2007-01-19,22.00,22.00,22.00,22.00,100
2007-01-24,23.50,23.50,23.50,23.50,5500
2007-02-09,21.15,21.15,21.15,21.15,100
2007-02-23,24.49,24.50,24.50,24.49,18200
2007-03-09,24.50,24.50,24.50,24.50,2000
2007-03-16,26.00,26.00,26.00,26.00,100
2007-03-20,27.50,27.50,27.50,27.50,6100
2007-04-03,27.50,27.50,27.50,27.50,1000
2007-04-12,28.00,28.00,28.00,28.00,4000
2007-04-16,28.00,28.00,28.00,28.00,2000
2007-05-02,29.00,29.00,29.00,29.00,10000
2007-05-10,29.10,29.00,29.10,29.00,200
2007-05-11,30.00,30.00,30.00,30.00,2000
2007-05-16,30.00,30.20,30.20,30.00,1500
2007-05-17,30.00,30.00,30.00,30.00,5500
2007-05-18,30.00,30.00,30.00,30.00,100
2007-05-21,30.00,30.00,30.00,30.00,1300
2007-05-22,30.02,30.02,30.06,30.02,300
2007-05-23,30.00,30.00,30.00,30.00,7300
2007-05-25,30.00,30.00,30.00,30.00,1900
2007-05-28,30.00,30.00,30.00,30.00,1000
2007-06-19,30.00,30.00,30.00,30.00,300
2007-07-12,30.00,30.00,30.00,30.00,3000
2007-07-16,30.00,30.00,30.00,30.00,10000
2007-07-17,29.99,29.99,29.99,29.99,15000
2007-07-19,30.30,30.30,30.30,30.30,100
2007-07-20,30.03,30.03,30.03,30.03,1000
2007-07-23,30.00,30.00,30.00,30.00,1000
2007-07-25,30.03,30.03,30.03,30.03,3000
2007-07-26,30.03,30.03,30.03,30.03,200
2007-08-07,31.00,31.00,31.00,31.00,2200
2007-08-08,31.50,31.50,31.50,31.50,100
2007-08-14,31.00,31.00,31.00,31.00,8000
2007-08-20,31.00,31.00,31.00,31.00,100
2007-08-23,32.00,32.00,32.00,32.00,18000
2007-08-24,32.00,32.00,32.00,32.00,1900
2007-08-27,32.00,32.00,32.00,32.00,3300
2007-08-29,32.00,32.00,32.00,32.00,400
2007-08-31,32.06,32.06,32.06,32.06,2000
2007-09-04,32.54,32.54,32.54,32.54,2000
2007-09-05,33.00,33.00,33.00,33.00,2000
2007-09-10,33.75,33.75,33.75,33.75,100
2007-09-13,35.00,35.00,35.00,35.00,2000
2007-09-20,36.09,37.10,37.10,36.09,800
2007-09-21,38.50,38.50,38.50,38.50,100
2007-10-08,38.20,40.00,40.00,38.20,1100
2007-10-10,40.10,40.10,40.10,40.10,900
2007-10-12,41.00,41.00,41.00,41.00,100
2007-10-22,41.00,41.00,41.00,41.00,4800
2007-10-25,41.00,41.00,41.00,41.00,100
2007-10-26,41.01,41.00,41.01,41.00,3000
2007-11-06,42.00,42.00,42.00,42.00,400
2007-11-08,45.00,45.00,45.00,45.00,7800
2007-11-13,45.00,45.00,45.00,45.00,4000
2007-12-04,45.00,45.00,45.00,45.00,1000
2007-12-07,45.00,46.00,46.00,45.00,1100
2007-12-10,48.00,48.00,48.00,48.00,100
2007-12-11,48.00,48.00,48.00,48.00,100
2007-12-14,48.00,48.00,48.00,48.00,100
2007-12-18,45.60,45.60,45.60,45.60,100
2007-12-20,45.60,45.60,45.60,45.60,100
2007-12-24,47.88,47.88,47.88,47.88,600
2007-12-26,48.00,48.00,48.00,48.00,100
2008-01-04,47.00,47.00,47.00,47.00,100
2008-01-07,48.00,48.00,48.00,48.00,200
2008-01-08,48.00,48.00,48.00,48.00,100
2008-01-17,46.00,46.00,46.00,46.00,2900
2008-01-18,48.00,48.00,48.00,48.00,2000
2008-02-22,47.90,47.90,47.90,47.90,100
2008-05-07,47.95,47.95,47.95,47.95,200
2008-06-16,48.00,48.00,48.00,48.00,1000
2008-08-04,48.00,48.00,48.00,48.00,300
2008-12-31,46.90,46.90,46.90,46.90,1000
