DATE,VOLUME,HIGH,LOW,CLOSE,OPEN,IMPORT
1987-01-02,8397229.50000002,0.0269,0.0263,0.0269,,
1987-01-05,6553280.49750002,0.0382,0.0272,0.0275,,
1987-01-06,15399417.627,0.0388,0.0281,0.0329,,
1987-01-07,7509325.72500002,0.0329,0.0311,0.0311,,
1987-01-08,12901448.34,0.0329,0.0311,0.0329,,
1987-01-09,12716296.3125,0.0358,0.0329,0.0358,,
1987-01-12,5251709.92500001,0.0352,0.0341,0.0352,,
1987-01-13,5536802.74950001,0.0352,0.0346,0.0346,,
1987-01-14,5581817.40600001,0.0442,0.0335,0.0335,,
1987-01-15,3479343.86250001,0.0341,0.0335,0.0341,,
1987-01-16,17124841.8,0.0358,0.0341,0.0358,,
1987-01-19,22114998.6750001,0.0364,0.0358,0.0364,,
1987-01-20,7476287.44500002,0.037000000000000005,0.0364,0.037000000000000005,,
1987-01-21,3469019.40000001,0.037000000000000005,0.0358,0.0358,,
1987-01-22,2970692.01000001,0.0358,0.0346,0.0352,,
1987-01-23,29965031.662500102,0.037000000000000005,0.0317,0.0352,,
1987-01-26,7220240.77500002,0.0352,0.0329,0.0341,,
1987-01-27,35372985.1200001,0.0352,0.0341,0.0346,,
1987-01-28,5761050.07500002,0.0352,0.0346,0.0352,,
1987-01-29,2436573.15000001,0.0352,0.0352,0.0352,,
1987-01-30,11067823.8,0.0358,0.0358,0.0358,,
1987-02-02,5788581.97500002,0.0364,0.0358,0.0364,,
1987-02-03,7337251.35000002,0.0364,0.0352,0.0352,,
1987-02-04,5568326.77500001,0.0358,0.0346,0.0352,,
1987-02-06,3200583.37500001,0.0352,0.0346,0.0352,,
1987-02-09,4198614.75000001,0.0388,0.0341,0.0346,,
1987-02-10,3627327.82500001,0.0352,0.0341,0.0346,,
1987-02-11,17875086.075,0.0352,0.0346,0.0352,,
1987-02-12,34600715.32500011,0.0382,0.0358,0.0382,,
1987-02-13,10938423.87,0.0382,0.0358,0.0358,,
1987-02-16,10537834.725,0.0478,0.0358,0.0472,,
1987-02-17,10840685.625,0.0364,0.0358,0.0358,,
1987-02-18,20898088.6950001,0.0376,0.0358,0.0376,,
1987-02-19,10544717.7,0.0376,0.037000000000000005,0.037000000000000005,,
1987-02-20,26559197.9730001,0.0388,0.037000000000000005,0.0382,,
1987-02-23,13059068.4675,0.0394,0.0382,0.0394,,
1987-02-24,23972025.330000103,0.0508,0.0388,0.0394,,
1987-02-25,24338199.600000102,0.0544,0.0394,0.0544,,
1987-02-26,19499468.1750001,0.0418,0.0406,0.0412,,
1987-02-27,6503034.78000002,0.0502,0.0406,0.0406,,
1987-03-02,2450339.10000001,0.0406,0.0376,0.0376,,
1987-03-03,9572841.63000003,0.0376,0.0335,0.0358,,
1987-03-04,6235975.35000002,0.0382,0.0358,0.0382,,
1987-03-05,12470574.105,0.0412,0.0382,0.04,,
1987-03-06,7681400.10000002,0.04,0.0364,0.037000000000000005,,
1987-03-09,3400189.65000001,0.0376,0.037000000000000005,0.037000000000000005,,
1987-03-10,3731123.08800001,0.037000000000000005,0.0341,0.0341,,
1987-03-11,15989150.925,0.0346,0.0335,0.0346,,
1987-03-12,19354925.7000001,0.0454,0.0346,0.0364,,
1987-03-13,15885906.3,0.0394,0.0364,0.0388,,
1987-03-16,5664688.42500002,0.04,0.0388,0.04,,
1987-03-17,12650908.05,0.0424,0.04,0.0418,,
1987-03-18,6823643.75550002,0.0418,0.0382,0.0394,,
1987-03-19,14997314.2275,0.0412,0.0394,0.0406,,
1987-03-20,24744295.1250001,0.0418,0.0406,0.0418,,
1987-03-23,16506062.3475,0.0568,0.0418,0.0484,,
1987-03-24,52954856.460000105,0.0621,0.0478,0.0478,,
1987-03-25,13871259.5175,0.0478,0.0472,0.0472,,
1987-03-26,20877715.089000102,0.049,0.0466,0.049,,
1987-03-27,30402375.894000106,0.0645,0.0484,0.0502,,
1987-03-30,8020042.47000002,0.0657,0.0502,0.0532,,
1987-03-31,23249725.9335001,0.0556,0.0526,0.0538,,
1987-04-01,30532188.802500103,0.0538,0.052000000000000005,0.0526,,
1987-04-02,10386409.275,0.0532,0.0526,0.0532,,
1987-04-03,6793496.32500002,0.0532,0.0496,0.0502,,
1987-04-06,4615860.69450001,0.0508,0.049,0.049,,
1987-04-07,5903527.65750002,0.049,0.0472,0.0484,,
1987-04-08,12316395.465,0.0514,0.0484,0.0508,,
1987-04-09,8822597.35500002,0.0585,0.0508,0.0585,,
1987-04-10,8273335.95000002,0.0514,0.0508,0.0508,,
1987-04-13,4919262.23250001,0.0508,0.0508,0.0508,,
1987-04-14,2354115.10950001,0.0526,0.0508,0.052000000000000005,,
1987-04-15,30585187.710000105,0.0532,0.0526,0.0526,,
1987-04-20,18957778.0425,0.0526,0.0526,0.0526,,
1987-04-21,17656207.47,0.0526,0.0508,0.0508,,
1987-04-22,20452760.2125001,0.0526,0.0508,0.052000000000000005,,
1987-04-23,22342136.850000102,0.0562,0.052000000000000005,0.0538,,
1987-04-24,28198860.277500104,0.0693,0.0538,0.0681,,
1987-04-27,13969686.06,0.0681,0.0597,0.0597,,
1987-04-28,27703974.375000104,0.0717,0.0597,0.0657,,
1987-04-29,25752650.9625001,0.0729,0.0657,0.0705,,
1987-04-30,16859847.2625,0.0896,0.0693,0.0753,,
1987-05-04,7875499.99500002,0.0777,0.0741,0.0765,,
1987-05-06,30523929.232500102,0.0896,0.0765,0.0848,,
1987-05-07,4505932700.77501,0.0848,0.0777,0.0777,,
1987-05-08,419155006.446001,0.1114,0.0798,0.0873,,
1987-05-11,10655212.392,0.1132,0.0789,0.0826,,
1987-05-12,11685593.7495,0.0928,0.077,0.077,,
1987-05-13,32332545.630000103,0.1002,0.077,0.0826,,
1987-05-14,11966740.335,0.0835,0.0808,0.0817,,
1987-05-15,9590737.36500002,0.0817,0.0789,0.0798,,
1987-05-18,5979699.24750001,0.0808,0.0789,0.0798,,
1987-05-19,15529001.103,0.1002,0.077,0.078,,
1987-05-20,12046353.4125,0.078,0.0761,0.0761,,
1987-05-21,10517185.8,0.0984,0.0733,0.0761,,
1987-05-22,19791994.6125,0.0817,0.0761,0.0817,,
1987-05-25,10586933.28,0.0984,0.0808,0.0808,,
1987-05-26,19109432.925,0.10400000000000001,0.0808,0.0808,,
1987-05-27,7907436.99900001,0.091,0.0789,0.0808,,
1987-05-28,9774283.36500002,0.0835,0.0808,0.0835,,
1987-05-29,15882235.38,0.1095,0.0826,0.0919,,
1987-06-01,13531699.4175,0.11699999999999999,0.0891,0.09,,
1987-06-02,12670409.8125,0.0919,0.09,0.091,,
1987-06-03,6512533.28550001,0.1151,0.091,0.0919,,
1987-06-04,10683937.341,0.0928,0.0919,0.0928,,
1987-06-05,9156421.64250002,0.1262,0.0928,0.0965,,
1987-06-08,16379828.586,0.1281,0.0947,0.0984,,
1987-06-09,14247069.9525,0.1262,0.0984,0.1262,,
1987-06-10,13529405.0925,0.1132,0.1058,0.1077,,
1987-06-11,13403217.2175,0.1429,0.1077,0.1114,,
1987-06-12,12140191.305,0.1448,0.1058,0.1077,,
1987-06-15,10140916.5,0.1392,0.1021,0.10400000000000001,,
1987-06-16,11402887.023,0.1318,0.10400000000000001,0.10400000000000001,,
1987-06-17,16486422.9255,0.1337,0.1021,0.1021,,
1987-06-18,10144357.9875,0.1374,0.1021,0.1058,,
1987-06-19,10245996.585,0.1355,0.1058,0.1095,,
1987-06-22,12562484.7645,0.1374,0.10400000000000001,0.10400000000000001,,
1987-06-23,16163749.0575,0.1337,0.0984,0.1021,,
1987-06-24,14669592.8445,0.1392,0.1002,0.10400000000000001,,
1987-06-25,10761026.660999998,0.1337,0.10400000000000001,0.1058,,
1987-06-26,13128127.65,0.1058,0.1021,0.1021,,
1987-06-29,4181866.17750001,0.1021,0.0984,0.1002,,
1987-06-30,8268104.88900001,0.11699999999999999,0.091,0.0928,,
1987-07-01,8352260.73000001,0.1021,0.0928,0.0965,,
1987-07-02,8548746.72300002,0.1281,0.0984,0.10400000000000001,,
1987-07-03,26403550.965,0.1411,0.1002,0.1077,,
1987-07-06,11360350.2375,0.1114,0.1058,0.1114,,
1987-07-07,17477066.574,0.1448,0.1114,0.1207,,
1987-07-08,18443069.172000002,0.13,0.1207,0.1244,,
1987-07-09,16946572.7475,0.1281,0.1207,0.1244,,
1987-07-10,16695940.6845,0.1281,0.1225,0.1244,,
1987-07-13,19134441.0675,0.1727,0.1244,0.1355,,
1987-07-14,30664112.490000103,0.1801,0.1355,0.1374,,
