DATE,VOLUME,HIGH,LOW,CLOSE,OPEN,IMPORT
2010-04-30,99351360,36.3,34.0,35.95,34.0,3430621321.0
2010-05-03,3971800,35.98,35.21,35.95,35.95,142311924.0
2010-05-04,2211600,35.95,35.2,35.4,35.95,78348281.0
2010-05-05,2181000,35.79,35.01,35.4,35.32,77166829.0
2010-05-06,7725700,35.5,35.0,35.03,35.3,272078813.0
2010-05-07,6111500,35.15,34.52,34.87,35.0,213157530.0
2010-05-10,4318500,35.2,34.7,34.9,35.0,150981171.0
2010-05-11,9370064,34.9,34.0,34.79,34.9,318836426.0
2010-05-12,1120600,35.0,34.5,34.9,34.74,38956866.0
2010-05-13,372000,35.0,34.5,34.95,35.0,12990088.0
2010-05-14,464700,34.56,34.45,34.45,34.5,16045430.0
2010-05-17,239600,34.39,33.9,34.16,34.3,8161275.0
2010-05-18,165100,34.95,34.0,34.3,34.18,5666801.0
2010-05-19,217000,34.29,34.0,34.15,34.0,7390589.0
2010-05-20,2290100,34.0,33.5,33.8,34.0,77239297.0
2010-05-21,317500,34.0,33.51,34.0,33.8,10732874.0
2010-05-24,88800,34.5,34.02,34.26,34.02,3039923.0
2010-05-25,861200,34.3,34.0,34.2,34.26,29486071.0
2010-05-26,929300,34.89,34.0,34.74,34.2,32105677.0
2010-05-27,568900,35.0,34.0,34.64,34.74,19804924.0
2010-05-28,630200,35.0,33.9,34.77,35.0,21998760.0
2010-05-31,113300,35.0,34.5,35.0,35.0,3956880.0
2010-06-01,1384800,34.8,33.8,34.15,33.8,47317992.0
2010-06-02,173500,34.79,33.9,34.53,34.08,6002730.0
2010-06-03,100600,34.79,33.81,34.52,33.81,3453678.0
2010-06-04,579500,34.53,33.81,33.81,34.39,19962594.0
2010-06-07,51800,35.0,33.56,34.8,33.8,1780701.0
2010-06-08,66600,34.59,34.01,34.59,34.01,2289567.0
2010-06-09,222500,34.8,33.61,34.3,33.61,7695656.0
2010-06-10,472300,34.65,33.81,34.22,33.81,16224298.0
2010-06-11,57800,34.5,34.2,34.41,34.22,1983384.0
2010-06-14,900,34.65,34.48,34.48,34.65,31049.0
2010-06-15,1878000,34.2,33.95,34.2,34.2,63941442.0
2010-06-16,960400,35.0,34.22,34.98,34.39,33141392.0
2010-06-17,966100,35.9,35.0,35.71,35.0,34211022.0
2010-06-18,765800,36.01,35.5,35.73,35.7,27480808.0
2010-06-21,205800,35.79,35.3,35.72,35.79,7317990.0
2010-06-22,498000,35.82,35.45,35.69,35.5,17765479.0
2010-06-23,675500,35.7,35.2,35.47,35.7,23960178.0
2010-06-24,455800,35.5,35.45,35.45,35.47,16170017.0
2010-06-25,786000,35.5,35.3,35.45,35.4,27822751.0
2010-06-28,130700,35.76,35.35,35.55,35.45,4648403.0
2010-06-29,40500,35.5,35.0,35.27,35.49,1425402.0
2010-06-30,598200,35.0,33.8,34.27,35.0,20737465.0
2010-07-01,166200,34.65,33.88,34.14,34.65,5669750.0
2010-07-02,441200,34.2,33.74,33.85,34.05,14960265.0
2010-07-05,15900,34.0,33.8,33.8,34.0,537700.0
2010-07-06,202000,34.1,33.95,33.95,34.1,6867930.0
2010-07-07,242800,34.0,33.6,33.61,34.0,8246870.0
2010-07-08,2424100,34.0,33.6,33.87,33.61,81639062.0
2010-07-09,46300,33.87,33.7,33.72,33.87,1561049.0
2010-07-12,33800,33.9,33.78,33.8,33.9,1142385.0
2010-07-13,303800,34.5,33.9,34.44,33.9,10447985.0
2010-07-14,2144500,34.45,34.2,34.26,34.3,73570923.0
2010-07-15,590500,35.0,34.3,34.77,34.3,20443663.0
2010-07-16,163100,34.75,34.2,34.6,34.75,5657732.0
2010-07-19,560700,34.81,34.7,34.8,34.7,19510991.0
2010-07-20,77400,34.95,34.7,34.8,34.85,2695514.0
2010-07-21,749900,35.2,34.8,35.18,34.8,26233707.0
2010-07-22,526400,35.6,35.3,35.4,35.3,18680536.0
2010-07-23,652700,35.9,35.4,35.85,35.4,23312784.0
2010-07-26,142800,35.85,35.5,35.8,35.84,5113223.0
2010-07-27,685000,35.8,34.95,35.0,35.8,24288304.0
2010-07-28,442400,35.16,34.8,35.16,34.9,15458596.0
2010-07-29,29600,35.16,35.02,35.15,35.04,1038648.0
2010-07-30,332400,35.2,34.91,35.02,35.0,11637024.0
2010-08-02,1056200,35.55,35.35,35.45,35.35,37418932.0
2010-08-03,175400,35.39,35.0,35.03,35.39,6149759.0
2010-08-04,670000,35.5,35.0,35.45,35.1,23691335.0
2010-08-05,2202000,35.85,35.4,35.85,35.4,78254283.0
2010-08-06,294600,36.0,35.7,36.0,35.7,10580231.0
2010-08-09,817100,36.45,36.0,36.05,36.2,29568915.0
2010-08-10,425300,36.1,35.99,36.0,36.09,15311816.0
2010-08-11,237200,36.0,35.7,35.82,35.75,8501948.0
2010-08-12,343100,35.91,35.5,35.9,35.5,12268258.0
2010-08-13,139900,36.1,35.9,35.9,36.04,5044712.0
2010-08-16,1081500,36.5,36.1,36.34,36.1,39221729.0
2010-08-17,1284300,36.4,36.1,36.25,36.28,46683130.0
2010-08-18,1580000,37.0,36.2,37.0,36.2,57846375.0
2010-08-19,767000,37.2,36.76,37.2,36.9,28361210.0
2010-08-20,1384800,37.2,36.9,37.15,37.15,51298504.0
2010-08-23,1681900,38.29,37.15,38.09,37.15,63869390.0
2010-08-24,1525900,38.05,37.7,37.74,37.75,57765386.0
2010-08-25,1359200,38.0,37.55,37.99,37.55,51343715.0
2010-08-26,1880400,38.2,37.86,38.08,38.0,71494499.0
2010-08-27,1278700,38.5,38.0,38.38,38.0,48920262.0
2010-08-30,1726700,38.4,37.8,38.05,38.4,65734761.0
2010-08-31,6540400,38.2,35.42,36.4,38.05,238876924.0
2010-09-01,2431200,36.45,35.27,35.53,36.4,88106706.0
2010-09-02,408700,36.1,35.41,35.78,35.41,14668767.0
2010-09-03,284200,36.25,35.75,35.87,36.0,10252749.0
2010-09-06,35700,36.13,35.9,36.02,35.9,1284717.0
2010-09-07,168300,36.2,35.9,36.02,36.2,6063678.0
2010-09-08,343600,36.8,36.04,36.36,36.04,12526344.0
2010-09-09,301100,36.5,36.11,36.32,36.11,10926531.0
2010-09-10,248600,36.98,36.15,36.81,36.32,9088489.0
2010-09-13,424400,37.6,36.6,37.44,36.99,15773157.0
2010-09-14,3159200,38.01,37.35,37.56,37.4,119275686.0
2010-09-15,191200,37.69,37.35,37.43,37.58,7175141.0
2010-09-20,949900,37.35,36.51,36.75,37.35,34940345.0
