FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
1993-07-12,3676726.69902252,5.9719,5.1559,5.9534,,
1993-08-12,7316314.74451955,6.9178,6.2687,6.6025,,
1993-09-12,3639588.04549704,6.5283,6.0832,6.1203,,
1993-10-12,3262011.73465466,6.3614,6.0089999999999995,6.3614,,
1993-13-12,117605.73616402,6.3058,6.1759,6.1759,,
1993-14-12,1516495.0189571,6.1574,5.8977,6.0089999999999995,,
1993-15-12,823240.153148139,6.1759,5.9719,6.1574,,
1993-16-12,1015123.19636312,6.3058,6.1203,6.1574,,
1993-17-12,272350.12585352,6.2316,6.1574,6.1945,,
1993-20-12,439474.06671818,6.3058,6.1574,6.3058,,
1993-21-12,1306042.64897938,6.4356,6.3058,6.3799,,
1993-22-12,526130.9249443,6.4356,6.3614,6.4356,,
1993-23-12,798481.050797819,6.7509,6.4912,6.6952,,
1993-24-12,129985.28733918,6.6952,6.6952,6.6952,,
1993-27-12,241401.24791562,6.7138,6.6952,6.6952,,
1993-28-12,1504115.46778194,6.9363,6.7138,6.7694,,
1993-29-12,767532.172859919,6.8807,6.8621,6.8621,,
1993-30-12,464233.16906850005,6.8807,6.8436,6.8807,,
1994-03-01,321868.33055416,6.8251,6.7694,6.8251,,
1994-04-01,3282128.50531429,6.8251,6.6025,6.8251,,
1994-05-01,1782655.36922304,7.4185,7.0476,7.4185,,
1994-06-01,507561.59818156,7.4185,7.2145,7.2331,,
1994-07-01,835619.7043232991,7.1589,7.1218,7.1218,,
1994-10-01,340437.65731690003,6.8621,6.3799,6.3799,,
1994-11-01,1126539.15693956,7.0476,6.417000000000001,6.8621,,
1994-12-01,1163677.81046504,7.0476,6.9734,7.0476,,
1994-13-01,1033692.52312586,7.0105,6.8992,6.8992,,
1994-14-01,30948.8779379,6.787999999999999,6.787999999999999,6.787999999999999,,
1994-17-01,383766.08642996,6.8251,6.7138,6.8251,,
1994-18-01,612787.78317042,7.0476,6.8251,7.0476,,
1994-19-01,940845.889312159,7.2331,7.1032,7.1589,,
1994-20-01,1021312.9719507,7.3814,7.1589,7.3814,,
1994-21-01,1046072.07430102,7.7895,7.5669,7.5669,,
1994-24-01,519941.14935672,7.6596,7.5669,7.6596,,
1994-25-01,111415.96057644,7.604,7.5298,7.5669,,
1994-26-01,1795034.9203982,7.9193,7.5669,7.7895,,
1994-27-01,1832173.57392368,8.1975,8.0491,8.1604,,
1994-28-01,1510305.24336952,8.3644,8.1048,8.2902,,
1994-31-01,3614828.94314672,8.8281,8.42,8.7168,,
1994-01-02,2704931.93177246,9.3103,8.7168,9.199,,
1994-03-02,105226.18498886,8.9393,8.791,8.791,,
1994-04-02,235211.47232804,8.9393,8.791,8.8281,,
1994-07-02,618977.558758,8.791,8.6426,8.791,,
1994-08-02,1448407.48749372,8.791,8.5313,8.624,,
1994-09-02,507561.59818156,8.7353,8.624,8.7168,,
1994-10-02,495182.0470064,8.6426,8.5684,8.5684,,
1994-11-02,235211.47232804,8.42,8.2346,8.3459,,
1994-14-02,204262.59439014,8.5684,8.3459,8.3459,,
1994-15-02,599170.276877744,8.3273,8.3088,8.3088,,
1994-16-02,1126539.15693956,9.1619,8.4386,9.1619,,
1994-17-02,730393.5193344391,9.607000000000001,9.1619,9.3103,,
1994-18-02,340437.65731690003,9.1804,9.0877,9.0877,,
1994-22-02,433284.2911306,9.0506,8.9764,8.9764,,
1994-23-02,538510.47611946,8.8281,8.7539,8.791,,
1994-24-02,414714.96436786,8.7168,8.5128,8.7168,,
