Date,Open,Close,High,Low,Volume
2012-05-22,514.00,514.00,514.00,514.00,250
2012-05-23,519.50,519.50,519.50,519.50,160
2012-05-25,528.35,528.35,528.35,528.35,94
2012-05-30,530.00,530.00,530.00,530.00,40
2012-06-01,522.31,522.31,522.31,522.31,750
2012-06-04,523.50,523.50,523.50,523.50,100
2012-06-07,518.65,521.32,521.32,518.65,165
2012-06-08,525.00,523.50,525.00,523.50,90
2012-06-13,522.25,522.25,522.25,522.25,360
2012-06-15,528.35,528.35,528.35,528.35,500
2012-06-19,525.00,519.05,525.00,519.05,720
2012-06-20,516.40,516.40,516.40,516.40,170
2012-06-21,521.25,521.25,521.25,521.25,115
2012-06-27,518.50,518.50,518.50,518.50,65
2012-07-06,527.00,527.00,527.00,527.00,130
2012-07-18,508.80,508.80,508.80,508.80,250
2012-07-19,510.00,510.00,510.00,510.00,9500
2012-07-23,518.50,518.50,518.50,518.50,4750
2012-07-24,520.28,523.73,523.73,520.28,815
2012-07-25,526.60,526.60,526.60,526.60,200
2012-07-27,529.00,528.50,529.00,528.50,19
2012-07-30,534.00,534.00,534.00,534.00,60
2012-07-31,537.50,537.50,537.50,537.50,170
2012-08-01,540.00,540.00,540.00,540.00,14250
2012-08-03,530.66,530.66,530.66,530.66,4435
2012-08-07,530.66,527.00,530.66,530.66,21
2012-08-13,520.00,520.00,520.00,520.00,150
2012-08-14,518.00,518.00,518.00,518.00,180
2012-08-16,518.07,518.07,518.07,518.07,40000
2012-08-17,517.00,516.80,517.40,516.80,36550
2012-08-20,516.90,519.00,519.00,516.90,21300
2012-08-21,518.25,518.25,518.25,518.25,19200
2012-08-22,511.85,511.85,511.85,511.85,246
2012-08-27,504.34,505.88,505.88,504.34,26753
2012-08-28,505.00,502.10,505.00,500.00,6646
2012-08-29,501.47,501.47,501.47,500.50,2900
2012-08-30,502.30,501.90,502.30,501.90,1800
2012-08-31,501.94,501.94,501.94,501.94,202
2012-09-05,491.00,491.27,493.54,491.00,100
2012-09-06,497.85,498.20,498.20,497.85,4019
2012-09-07,498.50,492.84,498.50,491.83,2611
2012-09-10,494.50,494.50,494.50,494.50,448
2012-09-11,490.00,490.00,490.00,490.00,1000
2012-09-12,490.00,490.00,490.00,490.00,2000
2012-09-13,492.78,489.05,494.30,489.05,20110
2012-09-14,488.75,487.23,489.00,487.23,26100
2012-09-17,485.12,490.70,490.70,485.12,3072
2012-09-18,497.17,495.25,497.17,495.25,25769
2012-09-19,495.15,495.15,495.15,495.15,40
2012-09-20,484.08,484.08,484.08,484.08,8
2012-09-21,494.50,492.60,494.50,492.60,2608
2012-09-24,487.00,487.00,487.00,487.00,217
2012-09-25,490.00,492.00,492.00,490.00,322
2012-09-26,490.00,488.56,490.00,488.00,1964
2012-09-27,490.63,493.00,494.31,490.63,1979
2012-09-28,489.88,488.40,489.88,488.40,785
2012-10-01,494.65,493.25,494.65,493.25,12702
2012-10-02,493.25,493.57,493.57,491.30,1759
2012-10-03,494.04,492.92,494.04,492.92,834
2012-10-04,489.00,489.22,489.22,489.00,1835
2012-10-05,486.00,490.20,490.20,486.00,734
2012-10-08,495.00,494.82,495.00,494.82,647
2012-10-09,490.51,490.51,490.51,490.51,12
2012-10-10,501.15,501.15,501.15,501.15,11
2012-10-11,493.15,488.22,493.15,488.22,265
2012-10-12,493.90,492.31,493.90,492.31,2420
2012-10-15,490.00,484.01,490.00,484.01,955
2012-10-16,488.00,493.90,493.90,485.83,2193
2012-10-17,483.20,483.20,483.46,483.20,1656
2012-10-18,483.20,486.24,486.34,483.20,2141
2012-10-19,488.03,488.03,488.03,488.03,64
2012-10-22,488.50,488.20,488.50,488.20,358
2012-10-24,480.45,475.45,480.45,475.45,2512
2012-10-25,480.00,480.00,480.00,480.00,4000
2012-11-01,486.00,488.50,488.50,486.00,474
2012-11-05,481.36,481.36,481.36,481.36,600
2012-11-06,478.17,484.50,484.50,478.17,1111
2012-11-07,481.00,476.19,481.00,476.19,302
2012-11-09,478.70,478.70,478.70,478.70,360
2012-11-12,475.93,475.93,475.93,475.93,1105
2012-11-13,476.50,476.50,476.50,476.50,128
2012-11-14,473.56,473.56,473.56,473.56,61
2012-11-15,477.00,481.00,482.00,469.00,2305
2012-11-16,482.00,481.00,482.50,481.00,1441
2012-11-21,487.15,487.15,488.20,480.31,3401
2012-11-26,486.50,483.39,486.50,483.13,260
2012-11-30,490.00,490.00,490.00,490.00,2233
2012-12-03,488.10,486.70,488.10,486.70,535
2012-12-05,486.28,486.28,486.28,486.28,236
2012-12-06,481.50,479.00,481.50,479.00,762
2012-12-07,480.00,487.41,487.41,480.00,88
2012-12-11,483.00,483.00,483.00,483.00,740
2012-12-13,481.80,481.05,481.80,481.05,34063
2012-12-14,481.00,481.01,483.40,481.00,2994
2012-12-18,483.38,483.38,483.38,483.38,30
2012-12-19,471.01,470.66,475.72,470.66,2073
2012-12-20,472.10,470.96,476.82,470.96,1863
2012-12-21,472.31,477.00,477.00,472.31,2261
2012-12-26,473.40,473.40,473.40,473.40,2100
2012-12-27,471.53,471.53,471.53,471.53,19345
2012-12-28,470.00,470.00,470.00,470.00,1000
2012-12-31,466.40,466.40,466.40,466.40,1710
2013-01-02,474.60,474.60,474.60,474.60,1700
2013-01-03,480.00,480.00,480.00,480.00,300
2013-01-08,473.80,473.80,473.80,473.80,192
2013-01-09,472.00,470.95,472.00,469.50,4796
2013-01-11,470.00,470.00,470.00,470.00,540
2013-01-15,464.00,470.80,470.80,464.00,3933
2013-01-16,470.00,471.22,471.22,470.00,2448
2013-01-18,473.20,473.20,473.20,473.20,35
2013-01-22,483.95,469.52,483.95,469.52,4608
2013-01-23,471.00,469.15,471.00,466.16,439
2013-01-24,469.50,469.50,469.50,469.50,200
2013-01-25,470.00,469.00,474.70,469.00,829
2013-01-28,471.00,470.33,472.67,465.80,2890
2013-01-29,472.00,475.07,477.73,472.00,326
2013-01-30,477.00,476.10,477.00,470.98,1963
2013-02-01,474.69,474.00,474.69,472.37,968
2013-02-05,477.00,479.16,479.16,477.00,63
2013-02-06,485.90,484.52,488.00,484.52,3242
2013-02-07,488.00,494.11,494.11,488.00,4747
2013-02-08,492.00,491.81,492.00,489.62,4762
2013-02-12,483.82,480.68,483.82,480.68,2728
2013-02-13,471.72,471.72,471.72,471.72,1173
2013-02-14,474.00,464.00,474.00,464.00,3715
2013-02-15,470.50,472.00,472.00,470.25,3700
2013-02-19,478.00,475.70,478.00,473.22,743
2013-02-20,476.50,480.20,480.20,471.74,670
2013-02-21,481.80,481.00,482.80,481.00,428
2013-02-22,485.65,488.00,488.00,485.65,2194
2013-02-25,496.11,496.11,496.11,496.11,21
2013-02-26,488.05,488.05,488.05,488.05,283
2013-02-27,485.50,490.00,490.00,485.50,19955
2013-02-28,488.46,496.17,496.17,488.46,4028
2013-03-01,493.00,493.69,493.69,493.00,2227
2013-03-05,495.30,495.30,495.30,495.30,345
2013-03-07,498.55,498.55,498.55,498.55,173
2013-03-08,494.25,494.25,494.25,494.25,490
2013-03-12,487.66,497.51,497.51,487.66,161
2013-03-14,486.00,485.90,486.00,485.90,3360
2013-03-15,482.00,482.00,482.00,481.50,2171
2013-03-20,493.92,493.92,493.92,493.92,3
2013-03-21,495.57,494.41,499.40,494.41,2671
2013-03-22,495.65,495.65,495.65,495.65,655
2013-03-25,494.00,494.95,498.94,494.00,562
2013-03-27,502.14,496.50,502.50,496.00,2362
2013-04-02,499.80,494.31,499.80,494.31,246
2013-04-04,497.67,497.77,497.77,492.69,3347
2013-04-05,494.45,500.00,500.00,494.45,428
2013-04-10,494.70,497.15,497.15,494.70,6875
2013-04-11,502.50,495.63,502.50,492.55,2102
2013-04-12,501.98,495.30,501.98,495.30,1779
