Date,Volume,High,Low,Close,Open,Import
1996-09-26,91456500.0000001,1.365,1.3333,1.3417,,122022500.0
1996-09-27,2436000.0,1.35,1.3317,1.3467,,3254980.0
1996-09-30,5472000.00000001,1.35,1.3467,1.35,,7384360.0
1996-10-01,8544000.00000001,1.3583,1.3467,1.3583,,11530100.0
1996-10-02,5268000.00000001,1.3933,1.3667,1.3933,,7227200.0
1996-10-03,2292000.0,1.4083,1.3933,1.4083,,3195300.0
1996-10-04,2988000.0,1.415,1.4133,1.4133,,4223080.0
1996-10-07,1884000.0,1.4133,1.4033,1.4133,,2653900.0
1996-10-08,7620000.00000001,1.4133,1.4,1.4133,,10726020.0
1996-10-09,1908000.0,1.4417,1.4133,1.4417,,2728880.0
1996-10-10,4884000.00000001,1.4683,1.4417,1.4667,,7148860.0
1996-10-11,2508000.0,1.4967,1.4667,1.4967,,3720160.0
1996-10-14,1620000.0,1.4883,1.4833,1.4833,,2406600.0
1996-10-15,5556000.00000001,1.4833,1.4583,1.4833,,8155380.0
1996-10-16,5340000.00000001,1.4833,1.4583,1.4833,,7820900.0
1996-10-17,1140000.0,1.475,1.4717,1.475,,1679100.0
1996-10-21,276000.0,1.4583,1.4583,1.4583,,402500.0
1996-10-22,516000.000000001,1.4383,1.4383,1.4383,,742180.0
1996-10-23,1824000.0,1.4583,1.4167,1.4583,,2593700.0
1996-10-24,2412000.0,1.45,1.415,1.45,,3446260.0
1996-10-25,156000.0,1.4483,1.44,1.44,,225740.0
1996-10-28,288000.0,1.44,1.4367,1.4367,,414440.0
1996-10-29,384000.0,1.4483,1.4367,1.4483,,552960.0
1996-10-30,60000.000000000095,1.4383,1.4383,1.4383,,86300.0
1996-10-31,3660000.0,1.4417,1.4333,1.44,,5264480.0
1996-11-01,2016000.0,1.4583,1.4367,1.4583,,2906940.0
1996-11-04,312000.0,1.45,1.4417,1.4417,,450400.0
1996-11-05,228000.0,1.4417,1.4417,1.4417,,328700.0
1996-11-06,12000.0,1.4417,1.4417,1.4417,,17300.0
1996-11-07,60000.000000000095,1.4383,1.4367,1.4367,,86260.0
