FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
1994-07-15,620000,14.6285,14.5344,14.5344,,
1994-07-18,120000,13.8054,13.8054,13.8054,,
1994-07-19,120000,13.6878,13.4055,13.6878,,
1994-07-20,120000,13.6878,13.6878,13.6878,,
1994-07-22,20000,14.1111,14.1111,14.1111,,
1994-07-25,1500000,14.3463,14.2052,14.3463,,
1994-07-26,145000,14.3463,14.3463,14.3463,,
1994-07-27,1740000,14.4168,14.3463,14.3463,,
1994-07-28,35180000,14.5815,13.8759,14.3463,,
1994-07-29,120000,14.3463,14.3463,14.3463,,
1994-08-01,220000,14.3463,14.3463,14.3463,,
1994-08-02,3980000,14.3933,14.2287,14.3933,,
1994-08-03,42020000,14.4168,14.3463,14.4168,,
1994-08-04,3520000,14.4168,14.3933,14.3933,,
1994-08-05,380000,15.0518,14.3933,15.0518,,
1994-08-08,820000,15.0518,14.5815,14.9578,,
1994-08-09,80000,14.8167,14.8167,14.8167,,
1994-08-10,16680000,14.8167,14.5815,14.7226,,
1994-08-11,2200000,14.4874,14.4874,14.4874,,
1994-08-12,1640000,14.605,14.3463,14.3463,,
1994-08-15,140000,14.5815,14.3463,14.5815,,
1994-08-16,20000,14.7226,14.7226,14.7226,,
1994-08-17,5160000,14.7226,14.3463,14.5815,,
1994-08-18,1160000,14.5815,14.5344,14.5344,,
1994-08-19,4440000,14.6755,14.5579,14.6755,,
1994-08-22,2730000,15.0518,14.6755,15.0518,,
1994-08-23,3280000,15.24,15.0518,15.24,,
1994-08-24,1200000,15.5457,15.287,15.5457,,
1994-08-25,940000,15.6163,15.5928,15.5928,,
1994-08-26,60000,15.5692,15.5692,15.5692,,
1994-08-29,240000,15.5692,15.3576,15.3576,,
1994-08-30,420000,15.5222,15.4752,15.4752,,
1994-08-31,80000,15.4516,15.4516,15.4516,,
1994-09-01,480000,15.5692,15.4516,15.5692,,
1994-09-02,4076990,15.875,15.6398,15.8515,,
1994-09-05,160000,15.9455,15.8515,15.9455,,
1994-09-06,2320000,16.4629,15.9455,16.4629,,
1994-09-07,2180000,17.4272,16.4629,17.4037,,
1994-09-08,1410000,17.4037,17.0744,17.0744,,
1994-09-09,860000,17.0744,16.9333,17.0744,,
1994-09-12,340000,17.0274,16.9568,16.9804,,
1994-09-13,620000,16.9333,16.9333,16.9333,,
1994-09-14,800000,17.4037,16.9333,17.4037,,
1994-09-15,860000,17.5448,17.4037,17.5448,,
1994-09-19,920000,17.8741,17.8741,17.8741,,
1994-09-20,150000,17.8741,17.8741,17.8741,,
1994-09-21,20000,17.827,17.827,17.827,,
1994-09-22,640000,17.6389,17.6389,17.6389,,
1994-09-23,150000,17.8741,17.78,17.78,,
1994-09-26,360000,17.78,17.5918,17.6859,,
1994-09-27,220000,17.5918,17.5918,17.5918,,
1994-09-28,6790000,17.4037,16.9333,16.9333,,
1994-09-29,3900000,17.1685,16.7452,17.1685,,
1994-09-30,32440000,17.4507,17.1685,17.4507,,
1994-10-03,260000,17.4507,17.4037,17.4037,,
1994-10-04,260000,17.1685,17.1685,17.1685,,
1994-10-05,140000,17.1685,17.0744,17.0744,,
1994-10-06,100000,16.9333,16.8863,16.8863,,
1994-10-10,1460000,16.4629,16.2278,16.4629,,
1994-10-11,200000,16.9333,16.4629,16.9333,,
1994-10-12,1020000,17.4037,17.4037,17.4037,,
1994-10-13,900000,17.8741,17.78,17.78,,
1994-10-14,560000,17.8741,17.6389,17.8741,,
1994-10-17,20000,17.8741,17.8741,17.8741,,
1994-10-18,36260000,18.1092,17.7329,18.1092,,
1994-10-19,200000,18.1328,18.1092,18.1328,,
1994-10-20,1520000,18.1563,18.1092,18.1563,,
1994-10-24,740000,17.8741,17.6389,17.8741,,
1994-10-26,200000,17.8741,17.8741,17.8741,,
1994-10-28,2790000,18.1092,18.1092,18.1092,,
1994-10-31,37220000,18.1328,18.0857,18.1328,,
1994-11-03,420000,18.1092,18.1092,18.1092,,
1994-11-04,1020000,18.1092,18.1092,18.1092,,
1994-11-07,260000,18.0622,18.0622,18.0622,,
1994-11-08,8060000,18.1092,17.6389,17.9681,,
1994-11-10,580000,17.9681,17.8741,17.8741,,
1994-11-11,1640000,17.8741,17.4978,17.8741,,
1994-11-14,2380000,17.78,17.7565,17.78,,
1994-11-15,20000,17.78,17.78,17.78,,
1994-11-16,1040000,17.78,17.78,17.78,,
1994-11-17,120000,17.78,17.78,17.78,,
1994-11-21,820000,17.6389,17.6389,17.6389,,
1994-11-22,200000,17.6389,17.5918,17.6154,,
1994-11-23,40000,17.4037,17.4037,17.4037,,
1994-11-25,3580000,17.8741,17.4037,17.8741,,
1994-11-28,240000,17.6389,17.4507,17.6154,,
1994-11-29,2130000,17.6389,17.5448,17.6389,,
1994-11-30,740000,17.6389,17.6389,17.6389,,
1994-12-02,260000,17.4037,17.2391,17.2391,,
1994-12-05,400000,17.3096,17.192,17.192,,
1994-12-06,160000,17.1215,16.9333,16.9333,,
1994-12-07,140000,16.9333,16.8863,16.9333,,
1994-12-08,120000,16.8863,16.8863,16.8863,,
1994-12-09,180000,16.6981,16.6981,16.6981,,
1994-12-13,100000,16.6981,16.557000000000002,16.6981,,
1994-12-14,60000,16.6981,16.6746,16.6746,,
1994-12-15,1250000,16.5805,16.3924,16.3924,,
1994-12-19,160000,16.3454,16.3454,16.3454,,
1994-12-20,340000,16.3454,16.3218,16.3218,,
1994-12-21,240000,16.3218,15.4752,15.9926,,
1994-12-22,1720000,15.9926,15.5222,15.9926,,
1994-12-23,200000,15.4987,15.4987,15.4987,,
1994-12-26,60000,15.4046,15.287,15.4046,,
1994-12-27,40000,15.6868,15.6868,15.6868,,
1994-12-28,80000,15.9926,15.5222,15.9926,,
1994-12-29,160000,16.7922,16.0396,16.7922,,
1994-12-30,8540000,16.7922,16.1572,16.7922,,
1995-01-02,40000,16.9098,16.6981,16.9098,,
1995-01-03,20000,16.8863,16.8863,16.8863,,
1995-01-04,20000,16.7452,16.7452,16.7452,,
1995-01-05,2320000,16.4629,15.0989,15.287,,
1995-01-06,200000,15.287,15.0518,15.0518,,
1995-01-09,20000,14.2287,14.2287,14.2287,,
1995-01-10,240000,12.8411,12.2061,12.2061,,
1995-01-11,8950000,11.0067,8.937000000000001,10.4657,,
1995-01-12,3020000,10.4657,8.7207,9.8778,,
1995-01-13,1340000,12.2296,10.7244,12.2296,,
1995-01-16,780000,12.5589,11.7592,12.5589,,
1995-01-17,200000,12.4648,12.4178,12.4178,,
1995-01-18,580000,12.7,12.5354,12.5354,,
1995-01-20,80000,12.2296,12.2296,12.2296,,
1995-01-23,200000,11.9944,11.8298,11.8298,,
1995-01-24,280000,11.9944,11.9944,11.9944,,
1995-01-25,1520000,12.0179,11.9944,11.9944,,
1995-01-26,20000,11.9944,11.9944,11.9944,,
1995-01-31,270000,11.9239,11.8533,11.8533,,
1995-02-01,140000,11.7592,11.5711,11.5711,,
1995-02-02,40000,11.5711,11.2889,11.2889,,
1995-02-08,680000,10.3481,9.7837,9.7837,,
1995-02-09,870000,9.6896,9.1722,9.4074,,
1995-02-15,1600000,8.937000000000001,7.7611,8.7018,,
1995-02-16,2650000,7.9963,7.5259,7.9963,,
1995-02-17,450000,8.1844,7.7611,8.1844,,
1995-02-22,2800000,7.2907,7.0555,7.2907,,
1995-02-24,150000,6.9615,6.9427,6.9521,,
1995-02-27,21630000,7.0555,6.7263,6.8204,,
1995-02-28,350000,7.0555,6.9615,7.0085,,
1995-03-01,100000,7.0085,7.0085,7.0085,,
1995-03-03,100000,7.3378,6.9144,7.3378,,
1995-03-07,100000,7.0555,7.0555,7.0555,,
1995-03-08,350000,6.8204,6.8204,6.8204,,
1995-03-09,150000,6.8204,6.5758,6.5758,,
1995-03-13,250000,6.5758,6.2089,6.5758,,
1995-03-17,200000,6.5758,5.9267,6.5758,,
1995-03-22,50000,6.557,6.557,6.557,,
1995-03-23,790000,6.2559,6.2465,6.2559,,
1995-03-24,3830000,7.1496,6.1618,6.1618,,
1995-03-27,5050000,7.2343,6.2089,7.2343,,
1995-03-28,1450000,7.1496,6.9615,7.0555,,
1995-03-30,500000,6.9615,6.6981,6.9615,,
1995-03-31,200000,6.397,6.397,6.397,,
1995-04-03,1450000,6.5852,6.2371,6.5852,,
1995-04-04,3950000,6.9144,6.5099,6.9144,,
1995-04-05,300000,6.8204,6.8204,6.8204,,
1995-04-06,7150000,7.8081,7.0555,7.7611,,
1995-04-07,6930000,8.7018,7.9022,8.7018,,
1995-04-10,800000,8.6548,8.4196,8.6548,,
1995-04-11,1330000,8.2503,8.1186,8.1186,,
1995-04-12,700000,8.2785,7.9963,8.2785,,
1995-04-18,2100000,8.0904,7.9963,8.0339,,
1995-04-19,250000,7.9022,7.9022,7.9022,,
1995-04-20,1250000,8.4036,7.7828,8.4036,,
1995-04-21,1600000,8.4036,8.1648,8.3081,,
1995-04-24,1500000,8.6423,8.4991,8.4991,,
1995-04-25,2550000,8.8333,8.4991,8.5945,,
1995-04-26,2350000,8.881,8.69,8.7855,,
1995-04-27,950000,8.9765,8.7855,8.8333,,
1995-04-28,3100000,8.9765,8.7855,8.8333,,
1995-05-02,750000,9.0625,9.0529,9.0625,,
1995-05-03,1600000,9.2153,9.0529,9.072000000000001,,
1995-05-04,550000,9.072000000000001,9.072000000000001,9.072000000000001,,
1995-05-08,350000,9.072000000000001,9.072000000000001,9.072000000000001,,
1995-05-09,650000,9.072000000000001,9.072000000000001,9.072000000000001,,
1995-05-10,450000,9.2153,8.5945,8.5945,,
1995-05-11,250000,9.072000000000001,8.5945,8.5945,,
1995-05-12,3050000,9.072000000000001,8.6518,9.072000000000001,,
1995-05-15,350000,9.5495,9.1102,9.5495,,
1995-05-16,4070000,9.9315,9.5495,9.7882,,
1995-05-17,2300000,9.836,9.7405,9.836,,
1995-05-18,1560000,9.8837,9.7166,9.7405,,
1995-05-19,380000,9.7644,9.645,9.645,,
1995-05-22,1460000,9.5734,9.5017,9.5208,,
1995-05-23,800000,9.5208,9.454,9.5017,,
