FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
1992-03-09,124371.80004142699,1.5846,1.5846,1.5846,,
1992-04-09,5561751.43310256,1.5051,1.5012,1.5012,,
1992-10-09,12437.1800041427,1.1636,1.1636,1.1636,,
1992-14-09,236306.420078711,1.1596,1.1557,1.1557,,
1992-15-09,74623.0800248562,1.0643,1.0405,1.0405,,
1992-17-09,957662.860318988,1.1318,1.0405,1.1318,,
1992-18-09,1716330.84057169,1.2391,1.1279,1.2391,,
1992-21-09,236306.420078711,1.2391,1.1874,1.1874,,
1992-22-09,323366.68010771,1.1596,1.1279,1.1596,,
1992-23-09,12437.1800041427,1.1914,1.1914,1.1914,,
1992-24-09,24874.3600082854,1.1279,1.1279,1.1279,,
1992-28-09,62185.900020713496,1.1279,1.1279,1.1279,,
1992-29-09,2052134.70068355,1.1239,1.0127,1.1239,,
1992-30-09,286055.140095282,1.1239,1.0683,1.1199,,
1992-01-10,99497.4400331416,1.1199,1.1199,1.1199,,
1992-02-10,62185.900020713496,1.1199,1.1199,1.1199,,
1992-05-10,37311.5400124281,1.1159,1.112,1.1159,,
1992-06-10,1144220.56038113,1.112,1.0603,1.112,,
1992-07-10,286055.140095282,1.0802,1.0683,1.0802,,
1992-08-10,323366.68010771,1.0484,1.0365,1.0445,,
1992-09-10,12437.1800041427,1.0246,1.0246,1.0246,,
1992-13-10,12437.1800041427,1.0246,1.0246,1.0246,,
1992-14-10,621859.000207135,0.9531,0.9531,0.9531,,
1992-16-10,12437.1800041427,0.9531,0.9531,0.9531,,
1992-19-10,12200873.584064,0.9452,0.9372,0.9452,,
1992-20-10,111934.62003728401,0.9531,0.9452,0.9531,,
1992-21-10,62185.900020713496,0.9571,0.9531,0.9571,,
1992-22-10,12437.1800041427,0.9571,0.9571,0.9571,,
1992-26-10,111934.62003728401,1.0008,0.9531,1.0008,,
1992-27-10,385552.580128424,1.0087,1.0008,1.0087,,
1992-28-10,139240.44873638,1.0206,1.0087,1.0206,,
1992-29-10,74623.0800248562,1.0246,1.0206,1.0206,,
1992-30-10,161683.340053855,1.0484,1.0087,1.0484,,
1992-03-11,74623.0800248562,1.0405,1.0167,1.0167,,
1992-04-11,74623.0800248562,1.0167,1.0008,1.0008,,
1992-05-11,62185.900020713496,0.9849,0.9849,0.9849,,
1992-06-11,1473295.90611074,0.9849,0.9611,0.9849,,
1992-09-11,186557.70006214103,0.9849,0.9849,0.9849,,
1992-10-11,397989.76013256604,1.0167,0.9769,1.0167,,
1992-11-11,12437.1800041427,1.0167,1.0167,1.0167,,
1992-12-11,12437.1800041427,1.0167,1.0167,1.0167,,
1992-13-11,174120.52005799802,1.0405,1.0206,1.0405,,
1992-16-11,373115.400124281,1.0564,1.0405,1.0564,,
1992-17-11,19147.0386163777,1.0564,1.0564,1.0564,,
1992-18-11,24874.3600082854,1.0802,1.0802,1.0802,,
1992-19-11,2568277.67085547,1.1358,1.0802,1.1358,,
1992-23-11,497487.20016570797,1.1914,1.1596,1.1914,,
1992-24-11,11653637.663881699,1.2748,1.2232,1.2708,,
1992-25-11,1355652.62045155,1.2708,1.2391,1.2708,,
1992-26-11,646733.36021542,1.2708,1.2708,1.2708,,
1992-27-11,1024444.29835123,1.2867,1.2669,1.2708,,
1992-02-12,99497.4400331416,1.2311,1.2271,1.2271,,
1992-03-12,2611807.80086997,1.2549,1.2271,1.2549,,
1992-04-12,1380526.98045984,1.2708,1.2549,1.2708,,
1992-07-12,497487.20016570797,1.3145,1.3026,1.3145,,
1992-08-12,584547.460194707,1.3503,1.3145,1.3503,,
1992-09-12,661191.581970236,1.382,1.3661,1.382,,
1992-10-12,298492.320099425,1.4059,1.3979,1.4059,,
1992-11-12,261180.780086997,1.4297,1.4059,1.4297,,
1992-14-12,12437.1800041427,1.4297,1.4297,1.4297,,
1992-18-12,3196355.26106467,1.4297,1.4297,1.4297,,
1992-24-12,3022234.74100668,1.5012,1.382,1.5012,,
1993-08-01,1268592.36042256,1.4932,1.4416,1.4932,,
1993-11-01,223869.24007456898,1.4932,1.4178,1.4932,,
1993-12-01,24874.3600082854,1.4853,1.4297,1.4853,,
1993-15-01,24874.3600082854,1.4853,1.4773,1.4853,,
