FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
2014-09-19,500,120.0,120.0,120.0,120.0,60000.0
2014-09-22,17497,106.53,106.5,106.53,106.5,1863673.71
2014-11-05,16190,65.79,64.32,64.32,65.79,1059060.8
2014-11-13,100,64.32,64.32,64.32,64.32,6432.0
2014-11-18,4700,73.7,72.75,73.7,72.75,342530.0
2014-11-20,500,69.06,69.06,69.06,69.06,34530.0
2015-01-05,100,79.5,79.5,79.5,79.5,7950.0
2015-01-06,1290,83.0,83.0,83.0,83.0,107070.0
2015-03-20,2000,88.75,88.75,88.75,88.75,177500.0
2016-02-29,475,83.7,83.7,83.7,83.7,39757.5
2016-04-19,10217,168.0,168.0,168.0,168.0,1716456.0
2016-04-22,100,155.0,155.0,155.0,155.0,15500.0
2016-04-28,160,155.0,155.0,155.0,155.0,24800.0
2016-05-03,1000,170.5,170.5,170.5,170.5,170500.0
2016-05-12,2000,192.5,192.5,192.5,192.5,385000.0
2016-05-17,3000,219.0,219.0,219.0,219.0,657000.0
2016-05-18,545,225.57,206.3,206.3,225.57,113300.65
2016-05-20,1000,209.85,209.85,209.85,209.85,209850.0
2016-05-24,755,206.0,197.0,197.0,203.6,152080.0
2016-06-01,750,190.37,190.37,190.37,190.37,142777.5
2016-06-03,1000,214.8,214.8,214.8,214.8,214800.0
2016-06-08,500,230.07,230.07,230.07,230.07,115035.0
2016-06-16,500,232.92,232.92,232.92,232.92,116460.0
2016-06-24,1005,250.18,242.89,250.18,242.89,244140.9
2016-06-28,2000,235.0,235.0,235.0,235.0,470000.0
2016-07-01,1500,272.0,272.0,272.0,272.0,408000.0
2016-07-05,496,275.94,275.94,275.94,275.94,136866.24
2016-07-06,2000,287.14,267.66,287.14,267.66,574163.12
2016-07-07,148,289.5,289.5,289.5,289.5,42846.0
2016-07-08,505,289.5,289.49,289.5,289.49,146192.5
2016-07-12,6000,289.5,282.71,282.98,289.5,1702900.0
2016-07-13,5499,315.39,309.0,315.39,309.0,1705574.61
2016-07-14,2992,315.39,304.0,312.79,315.39,921519.95
2016-07-20,500,289.93,289.93,289.93,289.93,144965.0
