FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
2008-06-18,338229400,8.45,8.0,8.335,8.0,2713531309.0
2008-06-19,2317800,8.335,8.105,8.27,8.335,19153854.0
2008-06-20,1317200,8.3,8.0,8.265,8.25,10763666.0
2008-06-23,345000,8.2,8.05,8.19,8.2,2817650.0
2008-06-24,3692600,8.055,8.0,8.005,8.0,29595790.0
2008-06-25,455600,8.095,8.0,8.01,8.0,3647564.0
2008-06-26,3516400,8.01,8.0,8.0,8.0,28131610.0
2008-06-27,1733000,8.005,7.9,7.9,8.0,13849534.0
2008-06-30,647800,7.975,7.94,7.95,7.95,5149035.0
2008-07-01,1097800,7.95,7.8,7.85,7.9,8615875.0
2008-07-02,824400,7.905,7.7,7.7,7.9,6470362.0
2008-07-03,654600,7.71,7.4,7.4,7.71,4945118.0
2008-07-04,106600,7.4,7.4,7.4,7.4,788840.0
2008-07-07,283000,7.5,7.4,7.4,7.5,2100769.0
2008-07-08,623400,7.425,7.25,7.275,7.4,4564255.0
2008-07-09,601800,7.3,7.25,7.25,7.3,4382658.0
2008-07-10,729400,7.25,7.2,7.2,7.25,5279555.0
2008-07-11,31200,7.2,7.2,7.2,7.2,224640.0
2008-07-14,66800,7.195,7.0,7.195,7.0,469082.0
2008-07-15,273000,7.2,6.995,7.0,7.195,1920870.0
2008-07-16,749800,7.2,7.1,7.15,7.105,5388680.0
2008-07-17,1673000,7.55,7.15,7.495,7.15,12308530.0
2008-07-18,8330600,7.535,7.37,7.5,7.505,62478704.0
2008-07-21,2004000,7.58,7.555,7.58,7.555,15189120.0
2008-07-22,638400,7.6,7.5,7.6,7.5,4828180.0
2008-07-23,114000,7.645,7.5,7.5,7.6,856786.0
2008-07-24,214000,7.6,7.5,7.5,7.6,1605370.0
2008-07-25,1000000,7.5,7.5,7.5,7.5,7500000.0
2008-07-28,1598000,7.625,7.515,7.625,7.515,12139923.0
2008-07-29,1551600,7.655,7.63,7.655,7.635,11869646.0
2008-07-30,761000,7.75,7.655,7.75,7.655,5894291.0
2008-07-31,754200,7.75,7.75,7.75,7.75,5845050.0
2008-08-01,40200,7.75,7.675,7.675,7.75,308845.0
2008-08-04,1753000,7.7,7.625,7.675,7.7,13417486.0
2008-08-05,1658400,7.755,7.685,7.75,7.685,12831900.0
2008-08-06,275800,7.85,7.75,7.85,7.75,2140355.0
2008-08-07,210600,8.0,7.85,7.95,7.975,1677104.0
2008-08-08,303200,8.0,7.975,8.0,7.975,2424900.0
2008-08-11,130000,7.9,7.9,7.9,7.9,1027000.0
2008-08-12,1001800,7.9,7.75,7.755,7.9,7765750.0
2008-08-13,1968400,7.8,7.75,7.755,7.755,15330093.0
2008-08-15,1022600,8.0,7.8,7.95,7.8,8084690.0
2008-08-18,758600,7.955,7.94,7.95,7.94,6030573.0
2008-08-19,31800,8.01,7.95,7.95,8.0,254196.0
2008-08-20,1371800,8.15,7.95,8.08,7.95,11037768.0
2008-08-21,32600,8.05,8.05,8.05,8.05,262430.0
2008-08-22,316000,8.09,8.005,8.02,8.05,2537739.0
2008-08-25,224400,8.175,8.025,8.145,8.025,1824880.0
2008-08-26,3027200,8.09,8.0,8.0,8.08,24323424.0
2008-08-27,161000,8.05,8.0,8.025,8.05,1290105.0
2008-08-28,101400,8.005,8.0,8.0,8.0,811400.0
2008-08-29,226600,8.2,8.005,8.19,8.005,1854494.0
2008-09-01,70600,8.015,8.005,8.015,8.005,565359.0
2008-09-02,135000,8.1,8.0,8.1,8.05,1085372.0
2008-09-03,1521200,8.255,8.025,8.25,8.025,12377898.0
2008-09-04,2727800,8.225,8.125,8.225,8.2,22296792.0
2008-09-05,188600,8.225,8.125,8.225,8.225,1546585.0
2008-09-08,416000,8.4,8.25,8.385,8.25,3439791.0
2008-09-09,544600,8.425,8.125,8.22,8.41,4516775.0
2008-09-10,1448400,8.255,8.225,8.25,8.25,11934378.0
2008-09-11,107800,8.25,8.175,8.2,8.25,886120.0
2008-09-12,344800,8.25,8.13,8.13,8.2,2826424.0
2008-09-15,44000,8.0,7.98,7.98,8.0,351580.0
2008-09-17,388000,8.0,7.675,7.675,8.0,3095416.0
2008-09-18,131000,7.45,7.05,7.245,7.45,953810.0
2008-09-19,5960800,7.525,7.35,7.475,7.5,44574903.0
2008-09-22,4400,7.5,7.5,7.5,7.5,33000.0
2008-09-23,19600,7.5,7.5,7.5,7.5,147000.0
2008-09-24,291200,7.5,7.4,7.4,7.5,2158872.0
2008-09-25,66400,7.75,7.35,7.35,7.4,498214.0
2008-09-26,1781200,7.25,7.1,7.16,7.25,12771632.0
2008-09-29,2650200,7.16,6.995,7.0,7.16,18573925.0
2008-09-30,304200,7.0,6.995,7.0,7.0,2129331.0
2008-10-01,1119800,7.0,7.0,7.0,7.0,7838600.0
2008-10-02,61800,7.25,7.0,7.25,7.0,444805.0
2008-10-03,119600,7.505,7.45,7.45,7.5,896565.0
2008-10-06,1221600,6.75,6.35,6.5,6.75,8002545.0
2008-10-07,2109000,6.505,6.305,6.385,6.5,13691780.0
2008-10-08,354400,6.25,5.85,5.89,6.25,2152440.0
2008-10-09,865800,5.85,5.725,5.82,5.75,4987138.0
2008-10-10,660800,5.825,5.78,5.785,5.815,3836116.0
2008-10-13,20400,5.89,5.8,5.89,5.8,120120.0
2008-10-14,1886400,6.775,6.45,6.775,6.45,12652385.0
2008-10-15,1041400,6.85,6.8,6.85,6.8,7082490.0
2008-10-16,200000,7.15,7.0,7.15,7.0,1407500.0
2008-10-17,774600,7.5,7.35,7.4,7.35,5733200.0
2008-10-20,21600,7.4,7.25,7.25,7.4,156689.0
2008-10-21,207800,7.25,7.245,7.245,7.245,1506040.0
2008-10-22,713600,7.25,6.575,7.055,7.0,4843825.0
2008-10-23,494400,6.75,6.675,6.72,6.75,3328305.0
2008-10-24,131800,6.75,6.65,6.725,6.72,881827.0
2008-10-27,225600,6.725,6.475,6.475,6.725,1493323.0
2008-10-28,251800,6.595,6.3,6.45,6.595,1616557.0
2008-10-29,141000,6.45,6.05,6.175,6.45,881409.0
2008-10-30,4728400,6.5,6.175,6.375,6.175,30128742.0
2008-10-31,2187400,6.875,6.38,6.805,6.38,14219951.0
2008-11-03,10000,6.65,6.65,6.65,6.65,66500.0
2008-11-04,52000,6.75,6.65,6.65,6.65,347450.0
2008-11-05,2155800,6.65,6.5,6.5,6.65,14063056.0
2008-11-06,21400,6.5,6.375,6.4,6.5,137445.0
2008-11-07,301200,6.4,6.1,6.125,6.4,1868470.0
2008-11-10,206400,6.125,5.75,5.77,6.125,1214845.0
2008-11-11,766000,5.88,5.65,5.665,5.77,4445926.0
2008-11-12,600600,5.525,5.45,5.5,5.525,3297745.0
2008-11-13,487200,5.75,5.5,5.515,5.5,2684650.0
2008-11-14,264400,5.55,5.25,5.375,5.55,1433910.0
2008-11-19,293000,5.375,5.0,5.0,5.375,1501250.0
2008-11-20,158200,5.0,4.875,4.875,4.875,771357.0
2008-11-21,316400,4.8,4.725,4.8,4.8,1509953.0
2008-11-24,208400,5.1,4.855,4.875,4.875,1033859.0
2008-11-25,580800,5.0,4.5,4.995,4.875,2707370.0
2008-11-26,224200,4.875,4.625,4.71,4.875,1062889.0
2008-11-27,98400,5.0,4.625,4.735,4.79,467466.0
2008-11-28,74000,4.995,4.735,4.995,4.735,358190.0
2008-12-01,356200,5.0,4.505,4.765,5.0,1644373.0
2008-12-02,2000,5.0,5.0,5.0,5.0,10000.0
2008-12-03,4800,4.85,4.625,4.84,4.85,23194.0
2008-12-04,1162200,5.175,4.5,4.795,4.99,5744708.0
2008-12-05,1056400,5.25,5.2,5.225,5.25,5494910.0
2008-12-08,239800,5.25,4.95,5.2,5.245,1216202.0
2008-12-09,56600,5.2,5.07,5.07,5.2,288548.0
2008-12-10,132000,5.25,4.91,5.2,4.93,675409.0
2008-12-11,40400,5.2,4.775,4.785,5.2,198930.0
2008-12-15,11241400,4.8,4.575,4.575,4.8,52831735.0
2008-12-16,339000,4.75,4.45,4.5,4.725,1558190.0
2008-12-17,187600,4.555,4.375,4.495,4.555,851223.0
2008-12-18,433200,4.7,4.425,4.5,4.7,1947705.0
2008-12-19,8002800,4.7,4.485,4.675,4.5,37382629.0
2008-12-22,452400,4.775,4.695,4.695,4.775,2129973.0
2008-12-23,528600,4.77,4.6,4.7,4.77,2473414.0
2008-12-24,21000,4.71,4.61,4.7,4.61,98710.0
2008-12-26,10800,4.775,4.55,4.75,4.775,51235.0
