Date,Open,Close,High,Low,Volume
2008-06-18,8.34,8.34,8.45,8.00,18614700
2008-06-19,8.27,8.27,8.34,8.11,1158900
2008-06-20,8.27,8.27,8.30,8.00,658600
2008-06-23,8.19,8.19,8.20,8.05,172500
2008-06-24,8.01,8.01,8.06,8.00,1846300
2008-06-25,8.01,8.01,8.10,8.00,227800
2008-06-26,8.00,8.00,8.01,8.00,1758200
2008-06-27,7.90,7.90,8.01,7.90,866500
2008-06-30,7.95,7.95,7.98,7.94,323900
2008-07-01,7.90,7.85,7.95,7.80,548974
2008-07-02,7.70,7.70,7.91,7.70,412200
2008-07-03,7.40,7.40,7.71,7.40,327300
2008-07-04,7.40,7.40,7.40,7.40,53300
2008-07-07,7.40,7.40,7.50,7.40,141500
2008-07-08,7.28,7.28,7.43,7.25,311700
2008-07-09,7.30,7.25,7.30,7.25,300900
2008-07-10,7.20,7.20,7.25,7.20,364700
2008-07-11,7.20,7.20,7.20,7.20,15600
2008-07-14,7.20,7.20,7.20,7.00,33400
2008-07-15,7.20,7.00,7.20,7.00,136500
2008-07-16,7.15,7.15,7.20,7.10,374900
2008-07-17,7.50,7.50,7.55,7.15,836500
2008-07-18,7.50,7.50,7.54,7.37,4165300
2008-07-21,7.58,7.58,7.58,7.56,1002000
2008-07-22,7.60,7.60,7.60,7.50,319200
2008-07-23,7.50,7.50,7.65,7.50,57000
2008-07-24,7.50,7.50,7.60,7.50,107000
2008-07-25,7.50,7.50,7.50,7.50,500000
2008-07-28,7.63,7.63,7.63,7.52,799000
2008-07-29,7.66,7.66,7.66,7.63,775800
2008-07-30,7.75,7.75,7.75,7.66,380500
2008-07-31,7.75,7.75,7.75,7.75,377100
2008-08-01,7.68,7.68,7.75,7.68,20100
2008-08-04,7.68,7.68,7.70,7.63,876500
2008-08-05,7.75,7.75,7.76,7.69,829200
2008-08-06,7.85,7.85,7.85,7.75,137900
2008-08-07,7.95,7.95,8.00,7.85,105300
2008-08-08,8.00,8.00,8.00,7.98,151600
2008-08-11,7.90,7.90,7.90,7.90,65000
2008-08-12,7.76,7.76,7.90,7.75,500900
2008-08-13,7.76,7.76,7.80,7.75,984200
2008-08-15,7.95,7.95,8.00,7.80,511300
2008-08-18,7.95,7.95,7.96,7.94,379300
2008-08-19,7.95,7.95,8.01,7.95,15900
2008-08-20,8.08,8.08,8.15,7.95,685900
2008-08-21,8.05,8.05,8.05,8.05,16300
2008-08-22,8.02,8.02,8.09,8.01,158000
2008-08-25,8.15,8.15,8.18,8.03,112200
2008-08-26,8.00,8.00,8.09,8.00,1513600
2008-08-27,8.03,8.03,8.05,8.00,80500
2008-08-28,8.00,8.00,8.01,8.00,50700
2008-08-29,8.19,8.19,8.20,8.01,113300
2008-09-01,8.02,8.02,8.02,8.01,35300
2008-09-02,8.10,8.10,8.10,8.00,67500
2008-09-03,8.25,8.25,8.26,8.03,760600
2008-09-04,8.23,8.23,8.23,8.13,1363900
2008-09-05,8.23,8.23,8.23,8.13,94300
2008-09-08,8.39,8.39,8.40,8.25,208000
2008-09-09,8.22,8.22,8.43,8.13,272300
2008-09-10,8.25,8.25,8.26,8.23,724200
2008-09-11,8.20,8.20,8.25,8.18,53900
2008-09-12,8.13,8.13,8.25,8.13,172400
2008-09-15,7.98,7.98,8.00,7.98,22000
2008-09-17,7.68,7.68,8.00,7.68,194000
2008-09-18,7.25,7.25,7.45,7.05,65500
2008-09-19,7.48,7.48,7.53,7.35,2980400
2008-09-22,7.50,7.50,7.50,7.50,2200
2008-09-23,7.50,7.50,7.50,7.50,9800
2008-09-24,7.40,7.40,7.50,7.40,145600
2008-09-25,7.35,7.35,7.75,7.35,33200
2008-09-26,7.16,7.16,7.25,7.10,890600
2008-09-29,7.00,7.00,7.16,7.00,1325100
2008-09-30,7.00,7.00,7.00,7.00,152100
2008-10-01,7.00,7.00,7.00,7.00,559900
2008-10-02,7.25,7.25,7.25,7.00,30900
2008-10-03,7.45,7.45,7.51,7.45,59800
2008-10-06,6.50,6.50,6.75,6.35,610800
2008-10-07,6.39,6.39,6.51,6.31,1054500
2008-10-08,5.89,5.89,6.25,5.85,177200
2008-10-09,5.82,5.82,5.85,5.73,432900
2008-10-10,5.79,5.79,5.83,5.78,330400
2008-10-13,5.89,5.89,5.89,5.80,10200
