Date,Volume,High,Low,Close,Open,Import
2010-10-07,59585813,16.0,15.75,15.76,15.75,952057578.0
2010-10-08,2228700,16.0,15.6,15.62,15.6,34842523.0
2010-10-11,1016300,15.7,15.4,15.68,15.5,15762850.0
2010-10-12,399400,15.68,15.5,15.63,15.6,6236550.0
2010-10-13,627200,15.6,15.34,15.44,15.5,9689800.0
2010-10-14,126600,15.43,14.9,15.18,15.43,1905796.0
2010-10-15,13100,15.35,14.8,14.8,15.35,198033.0
2010-10-18,31900,14.8,14.5,14.5,14.8,470078.0
2010-10-19,152500,14.52,14.0,14.3,14.5,2208230.0
2010-10-20,173900,14.35,14.0,14.28,14.3,2486880.0
2010-10-21,300300,14.5,14.3,14.44,14.3,4314711.0
2010-10-22,131400,14.95,14.84,14.94,14.87,1961170.0
2010-10-25,11000,15.0,14.95,14.95,15.0,164725.0
2010-10-26,42700,14.95,14.94,14.94,14.95,637955.0
2010-10-27,4400,14.85,14.8,14.8,14.85,65281.0
2010-10-28,217000,15.0,14.5,14.8,14.5,3194461.0
2010-11-01,78400,14.8,14.3,14.59,14.7,1146320.0
2010-11-03,739300,14.6,14.3,14.54,14.6,10622065.0
2010-11-04,390300,14.5,14.01,14.46,14.34,5606587.0
2010-11-05,70900,14.45,14.11,14.21,14.45,1020613.0
2010-11-08,20300,14.15,14.11,14.11,14.11,286663.0
2010-11-09,37800,14.2,14.0,14.1,14.11,533805.0
2010-11-10,10300,14.09,14.09,14.09,14.09,145127.0
2010-11-11,10300,14.1,14.0,14.0,14.1,145200.0
2010-11-12,40700,14.3,14.0,14.0,14.3,571150.0
2010-11-16,2000,13.99,13.8,13.99,13.9,27659.0
2010-11-19,140800,14.0,13.5,13.79,13.8,1938850.0
2010-11-22,168700,13.8,13.51,13.76,13.51,2297315.0
2010-11-23,119600,14.72,13.75,14.2,13.76,1674185.0
2010-11-24,204200,14.49,14.2,14.43,14.28,2918347.0
2010-11-25,12300,14.49,14.15,14.49,14.4,174939.0
2010-11-26,169600,14.75,14.4,14.75,14.4,2487050.0
2010-11-29,79700,14.8,14.65,14.65,14.8,1177055.0
