FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
2014-10-12,22670083,30.5399,27.1017,28.8257,29.3676,673847661.67
2014-11-12,1988873,29.5548,28.9144,29.3183,29.5548,59219260.14
2014-15-12,348567,29.9685,28.5794,28.5794,29.5548,10338728.37
2014-16-12,1783935,29.1705,28.4711,29.0523,28.5794,51743541.46
2014-17-12,1080765,29.5548,28.6189,29.0819,29.0819,31831588.66
2014-18-12,2823716,29.4562,29.0819,29.0819,29.1607,83450014.57
2014-19-12,182827,29.4562,29.0819,29.2297,29.0819,5420405.46
2014-22-12,519359,29.7518,29.2592,29.3183,29.5548,15452742.57
2014-23-12,328588,29.6828,29.1607,29.5153,29.1607,9806118.46
2014-24-12,617703,29.604,28.7666,29.4759,29.5153,18371615.02
2014-26-12,1212191,29.5548,29.1508,29.5548,29.5548,36094870.87
2014-29-12,290074,29.6927,29.2099,29.5548,29.4562,8671429.2
2014-30-12,170748,29.7419,29.5548,29.5646,29.5548,5124116.45
2014-31-12,26700,29.6927,29.5548,29.6927,29.5548,801014.0
2015-02-01,153404,30.4315,29.4858,29.5548,29.6927,4626348.42
2015-05-01,53795,29.7419,28.5696,29.4562,29.7419,1570668.42
2015-06-01,75547,29.406999999999996,28.5893,28.9932,28.7174,2203827.55
2015-07-01,262541,29.3479,28.6681,29.1508,29.3479,7668117.07
2015-08-01,209004,29.3577,28.6681,29.2001,29.2592,6201591.07
2015-09-01,108719,29.4562,28.7469,29.3183,29.3971,3235867.17
2015-12-01,5100,29.3577,28.7371,28.7371,29.3577,151917.0
2015-13-01,682954,29.072,28.678,29.0425,29.0622,20146690.0
2015-14-01,20729,28.678,28.678,28.678,28.678,603421.19
2015-15-01,101235,29.0326,28.6681,28.678,29.0326,2949656.97
2015-16-01,13634,28.8356,28.678,28.6977,28.678,397964.86
2015-19-01,8751,30.0375,28.6878,29.604,28.6977,260324.34
2015-20-01,245937,30.6384,28.8553,29.8306,29.7518,7603930.47
2015-21-01,212627,29.5843,29.5548,29.5548,29.5548,6379076.78
2015-22-01,168129,29.604,29.406999999999996,29.5843,29.5548,5041930.1
2015-23-01,10916,29.801,29.3085,29.801,29.6336,328087.68
2015-26-01,1733905,30.1458,29.6533,29.7222,29.6533,52452006.47
2015-27-01,3871,30.0375,29.5548,29.7025,30.0375,116555.0
2015-28-01,1841408,30.1458,29.8503,29.9981,30.0473,56114712.76
2015-29-01,2096958,30.5399,29.5646,30.4808,29.5646,64510537.41
2015-30-01,765949,31.0325,30.2542,30.6778,30.2542,23836220.85
2015-03-02,795496,31.5251,30.6581,31.0325,30.6975,25065887.38
2015-04-02,528277,31.5251,31.131,31.3773,31.5251,16794500.49
2015-05-02,333385,31.4758,30.9832,31.1113,31.3773,10538248.95
2015-06-02,337090,31.3773,31.0325,31.0325,31.131,10656793.3
2015-09-02,691825,31.4266,31.0325,31.4266,31.0325,21999434.28
2015-10-02,1115274,31.7221,31.5054,31.6236,31.5054,35800881.93
2015-11-02,23104,31.4266,31.2295,31.2689,31.4266,734778.3
2015-12-02,695769,31.4266,31.2788,31.4266,31.3083,22096852.31
2015-13-02,906915,31.594,31.2886,31.2985,31.5645,28966421.48
2015-16-02,112391,31.5251,31.131,31.1507,31.5251,3574115.01
2015-17-02,633134,31.7123,31.4167,31.6236,31.5251,20311968.84
2015-18-02,656603,33.0028,31.5251,32.4708,31.6236,21280271.39
2015-19-02,458590,33.0028,32.2147,32.4019,33.0028,15043611.83
2015-20-02,2093782,33.0028,32.4117,32.9831,32.4905,70064434.88
2015-23-02,339086,32.9831,32.2639,32.5102,32.9831,11291382.07
2015-24-02,440540,32.9535,32.2639,32.6087,32.2639,14463200.09
2015-25-02,294425,32.993,32.2639,32.5102,32.6087,9709553.33
2015-26-02,208567,32.6974,32.0176,32.5102,32.5102,6866717.31
2015-27-02,88069,33.0028,32.461,32.6186,32.5102,2936849.82
2015-02-03,357475,33.3378,32.5102,33.2195,32.6284,11957652.31
2015-03-03,238447,33.3969,32.1359,33.3082,33.3969,8064927.76
2015-04-03,85054,33.3476,32.5102,32.5299,33.3476,2821615.44
2015-05-03,205163,32.6087,32.5102,32.5595,32.5299,6780589.54
2015-06-03,559753,33.0028,32.0176,32.461,33.0028,18587273.48
2015-09-03,12020,32.4511,32.0275,32.0472,32.4511,391103.96
2015-10-03,213627,32.9733,31.0325,31.1606,32.9733,6912138.43
2015-11-03,420737,32.5004,31.5251,31.9191,32.0866,13614290.89
2015-12-03,46246,32.9338,31.9191,32.8747,31.9191,1516875.43
2015-13-03,11519,32.8944,32.8058,32.8058,32.8944,383791.69
2015-17-03,15401,32.8058,32.3329,32.5201,32.5102,509206.62
2015-18-03,273411,32.8944,32.3132,32.4117,32.461,9087631.51
2015-19-03,194525,32.9733,32.4117,32.9733,32.4117,6431825.61
2015-20-03,747221,32.9733,32.5102,32.9338,32.9733,24907242.96
2015-23-03,414005,32.9535,32.4314,32.5102,32.9535,13700115.14
2015-24-03,84461,32.855,32.3132,32.3132,32.855,2778376.6
2015-25-03,68661,32.3132,32.1162,32.3132,32.3132,2243122.05
2015-26-03,60442,32.2147,31.9388,32.1063,32.2147,1969954.92
2015-27-03,6884,32.1851,32.1654,32.1654,32.1851,224790.28
2015-30-03,1270,32.2147,32.1654,32.1654,32.1654,41485.1
2015-31-03,33542,32.3132,31.2197,32.1654,31.6236,1077741.58
2015-01-04,480854,31.8206,31.4266,31.6827,31.6137,15427259.42
2015-06-04,190918,31.9585,31.328000000000003,31.6137,31.9191,6149518.16
2015-07-04,829406,31.8009,31.4167,31.4463,31.5546,26492022.83
2015-08-04,355551,31.5251,31.3477,31.4069,31.4266,11362809.25
2015-09-04,657099,31.4758,30.8946,30.8946,31.328000000000003,20805756.58
2015-10-04,164789,30.9537,30.7862,30.8256,30.934,5174396.66
2015-13-04,429389,31.131,30.5596,30.934,31.131,13457634.24
2015-14-04,375721,30.9241,29.7616,30.1163,30.9241,11651831.73
2015-15-04,1157859,31.0325,29.072,29.2001,31.0325,35216752.05
2015-16-04,1040409,29.9291,29.3577,29.8306,29.5548,31376674.88
