Date,Volume,High,Low,Close,Open,Import
1993-07-01,1200852.97686098,2.7139,2.7139,2.7139,,
1993-07-02,3202274.6049626,2.7139,2.7139,2.7139,,
1993-07-06,468332.66097578104,2.74,2.7139,2.7139,,
1993-07-09,2680904.27084213,2.7139,2.7139,2.7139,,
1993-07-12,28019.902793422796,2.6617,2.6617,2.6617,,
1993-07-13,48034.119074439004,2.6617,2.6617,2.6617,,
1993-07-20,184130.78978535,2.6617,2.6617,2.6617,,
1993-07-22,40028.4325620325,2.6617,2.6096,2.6617,,
1993-07-26,23684.823546954703,2.6617,2.6356,2.6617,,
1993-07-27,600426.4884304879,2.6617,2.6617,2.6617,,
1993-07-29,622442.126339606,2.6617,2.6487,2.6617,,
1993-07-30,360255.893058293,2.74,2.727,2.74,,
1993-08-03,1581123.08620029,2.727,2.7009,2.7009,,
1993-08-04,300213.24421524396,2.7139,2.7139,2.7139,,
1993-08-05,1901350.54669655,2.74,2.7139,2.74,,
1993-08-06,428504.370576558,2.7531,2.7139,2.7531,,
1993-08-09,208147.84932256895,2.7922,2.7531,2.7922,,
1993-08-11,600426.4884304879,2.7922,2.7922,2.7922,,
1993-08-12,760540.218678618,2.7792,2.7792,2.7792,,
1993-08-13,440312.758182358,2.8966,2.8705,2.8966,,
1993-08-16,360255.893058293,2.9227,2.9018,2.9227,,
1993-08-17,18012.7946529146,3.0166,3.0166,3.0166,,
1993-08-18,458325.552835273,3.3194,3.2463,3.3089,,
1993-08-19,510362.515165915,3.4446,3.3402,3.4446,,
1993-08-20,418297.12027324,3.4446,3.4133,3.4446,,
1993-08-23,1020725.03033183,3.5594,3.4446,3.5594,,
1993-08-24,10007.1081405081,3.5594,3.5594,3.5594,,
1993-08-25,280199.027934228,3.4759,3.455,3.4759,,
1993-08-26,100071.081405081,3.4968,3.4968,3.4968,,
1993-08-27,260184.811653211,3.4968,3.4968,3.4968,,
1993-08-30,10007.1081405081,3.4446,3.4446,3.4446,,
1993-08-31,330234.56863676803,3.4864,3.4446,3.4446,,
1993-09-01,240170.595372195,3.4968,3.4759,3.4968,,
1993-09-02,1330945.38268758,3.8099,3.5803,3.8099,,
1993-09-03,597424.355988336,3.9352,3.9143,3.9352,,
1993-09-07,220156.379091179,3.9456,3.9352,3.9456,,
1993-09-08,590419.38028998,3.8621,3.7995,3.7995,,
1993-09-10,20014.2162810163,3.5699,3.5699,3.5699,,
1993-09-14,20014.2162810163,3.5699,3.4446,3.4446,,
1993-09-15,20014.2162810163,3.2880000000000003,3.2880000000000003,3.2880000000000003,,
1993-09-20,10007.1081405081,3.1837,3.1837,3.1837,,
1993-09-21,90063.9732645732,3.1837,3.1837,3.1837,,
1993-09-23,10007.1081405081,3.1837,3.1837,3.1837,,
1993-09-27,10007.1081405081,3.1837,3.1837,3.1837,,
1993-09-28,20014.2162810163,3.3402,3.3402,3.3402,,
1993-09-30,10007.1081405081,3.3924,3.3924,3.3924,,
1993-10-06,10007.1081405081,3.7056,3.7056,3.7056,,
1993-10-07,10007.1081405081,3.7578,3.7578,3.7578,,
1993-10-13,30021.324421524398,3.7578,3.7578,3.7578,,
1993-10-15,100071.081405081,3.8099,3.8099,3.8099,,
1993-10-18,240170.595372195,3.8308,3.8204,3.8308,,
1993-10-19,70049.7569835569,3.8099,3.6742,3.6742,,
1993-10-20,1561108.86991927,3.4029,3.2880000000000003,3.382,,
1993-10-21,480341.19074439,3.382,3.2880000000000003,3.3194,,
1993-10-22,480341.19074439,3.3089,3.2880000000000003,3.3089,,
1993-10-27,40028.4325620325,3.2463,3.2254,3.2254,,
1993-10-29,10007.1081405081,3.3194,3.3194,3.3194,,
1993-11-03,380270.109339309,3.3298,3.3298,3.3298,,
1993-11-04,180127.94652914602,3.3507,3.3507,3.3507,,
1993-11-09,100071.081405081,3.382,3.3507,3.382,,
1993-11-10,110078.189545589,3.6012,3.6012,3.6012,,
1993-11-11,86061.1300083699,3.7264,3.7264,3.7264,,
1993-11-12,105010.589983236,3.9039,3.9039,3.9039,,
1993-11-16,260184.811653211,3.977,3.9352,3.977,,
1993-11-18,980696.5977697972,4.0918,3.9978,4.0918,,
1993-11-19,260184.811653211,4.0918,4.0918,4.0918,,
1993-11-30,10007.1081405081,3.9665,3.9665,3.9665,,
1993-12-08,110078.189545589,3.9665,3.9665,3.9665,,
1993-12-09,70049.7569835569,4.05,4.0396,4.0396,,
1993-12-13,40028.4325620325,4.0396,4.0396,4.0396,,
1993-12-17,10007.1081405081,4.0396,4.0396,4.0396,,
1993-12-27,460326.974463374,4.3319,4.0396,4.3319,,
1993-12-28,160113.73024813,4.645,4.478,4.645,,
1993-12-29,180127.94652914602,4.8538,4.6972,4.8538,,
1993-12-30,10007.1081405081,4.8538,4.8538,4.8538,,
1994-01-03,40028.4325620325,4.7494,4.7494,4.7494,,
1994-01-04,30021.324421524398,4.7494,4.7494,4.7494,,
1994-01-05,130092.405826606,4.7494,4.7494,4.7494,,
1994-01-06,50035.540702540704,4.7598,4.7598,4.7598,,
1994-01-07,30021.324421524398,4.8016,4.8016,4.8016,,
1994-01-11,20014.2162810163,4.7494,4.7494,4.7494,,
1994-01-12,20014.2162810163,4.8016,4.8016,4.8016,,
1994-01-14,420298.5419013421,4.8538,4.8538,4.8538,,
1994-01-18,20014.2162810163,4.8538,4.8538,4.8538,,
1994-01-19,20014.2162810163,5.1147,5.1147,5.1147,,
1994-01-24,290206.136074736,5.1669,5.1147,5.1669,,
1994-01-25,200142.16281016305,5.1669,5.1669,5.1669,,
1994-01-26,560398.055868456,5.1669,5.1669,5.1669,,
1994-01-31,60042.648843048795,5.1669,5.1669,5.1669,,
1994-02-02,10007.1081405081,5.1669,5.1669,5.1669,,
1994-02-08,10007.1081405081,5.1669,5.1669,5.1669,,
1994-02-09,180127.94652914602,4.8851,4.8851,4.8851,,
1994-02-11,10007.1081405081,5.1669,5.1669,5.1669,,
1994-02-17,20014.2162810163,5.1669,5.1669,5.1669,,
1994-02-18,540383.839587439,4.8746,4.8746,4.8746,,
1994-03-03,100071.081405081,4.9581,4.9581,4.9581,,
1994-03-22,70049.7569835569,4.9486,4.9486,4.9486,,
