Date,Volume,High,Low,Close,Open,Import
1987-09-30,8073732.68337115,0.2716,0.2216,0.2716,,
1987-10-01,160802.871837236,0.2323,0.2287,0.2323,,
1987-10-02,308078.119224464,0.243,0.2358,0.2358,,
1987-10-05,1044779.01914741,0.243,0.2358,0.2358,,
1987-10-06,1939577.26601758,0.2376,0.2358,0.2358,,
1987-10-07,14802102.532315698,0.2358,0.2323,0.2358,,
1987-10-08,1902525.10264901,0.2358,0.2323,0.2358,,
1987-10-09,2743388.71083701,0.2358,0.2323,0.2358,,
1987-10-13,274610.776335146,0.2358,0.2358,0.2358,,
1987-10-16,461291.993745246,0.2358,0.2269,0.2358,,
1987-10-19,93340.6087050497,0.2358,0.2358,0.2358,,
1987-10-20,169541.71723194,0.2358,0.2358,0.2358,,
1987-10-21,17499240.2951582,0.2287,0.2251,0.2251,,
1987-10-22,239438.952765127,0.2251,0.2251,0.2251,,
1987-10-23,96046.1335950511,0.2251,0.2216,0.2216,,
1987-10-29,148803.868950079,0.2216,0.2144,0.2144,,
1987-10-30,73725.5532525392,0.2073,0.193,0.193,,
1987-11-03,47346.685575025185,0.1858,0.1858,0.1858,,
1987-11-04,3165829.36716183,0.2001,0.1787,0.1787,,
1987-11-05,9816510.06889003,0.1858,0.1644,0.1644,,
1987-11-06,8020406.78778922,0.1572,0.1554,0.1554,,
1987-11-10,4960119.94658634,0.1537,0.1537,0.1537,,
1987-11-11,67638.122250036,0.1537,0.1537,0.1537,,
1987-11-12,59521.5475800317,0.1429,0.1429,0.1429,,
1987-11-13,35171.8235700187,0.1215,0.1215,0.1215,,
1987-11-17,17037096.0610726,0.0858,0.0715,0.0715,,
1987-11-18,12888701.2196089,0.0786,0.0715,0.0786,,
1987-11-19,2274588.88552201,0.0786,0.0786,0.0786,,
1987-11-23,2130600.85087613,0.0858,0.0715,0.0858,,
1987-11-24,1276331.36685818,0.0858,0.0768,0.0858,,
1987-11-25,16281091.2410595,0.0858,0.0858,0.0858,,
1987-11-26,608743.100250324,0.0858,0.0858,0.0858,,
1987-11-27,554632.602450295,0.0858,0.0858,0.0858,,
1987-11-30,336837.848805179,0.0858,0.075,0.0786,,
1987-12-01,40582.873350021604,0.0786,0.0786,0.0786,,
1987-12-02,121748.620050065,0.0786,0.0786,0.0786,,
1987-12-03,50660.953565277,0.0786,0.0786,0.0786,,
1987-12-04,2195925.74934522,0.0715,0.0708,0.0715,,
1987-12-08,2482319.08657632,0.0715,0.0715,0.0715,,
1987-12-09,1170139.51492562,0.0715,0.0715,0.0715,,
1987-12-10,19544508.891003694,0.0715,0.0715,0.0715,,
1987-12-11,996985.921965531,0.0715,0.0715,0.0715,,
1987-12-14,169095.30562509,0.0786,0.0715,0.0786,,
1987-12-15,229969.615650122,0.0858,0.0786,0.0858,,
1987-12-16,13527.624450007199,0.0858,0.0858,0.0858,,
1987-12-17,229969.615650122,0.0786,0.0715,0.0786,,
1987-12-18,19696.2211992105,0.0786,0.0786,0.0786,,
1987-12-21,21644.1991200115,0.0786,0.0786,0.0786,,
1987-12-24,135276.244500072,0.0686,0.0572,0.0686,,
1987-12-28,5187843.97657776,0.0679,0.0643,0.0679,,
1988-01-11,270552.489000144,0.0679,0.0679,0.0679,,
1988-01-12,387782.882483906,0.0679,0.0679,0.0679,,
1988-01-15,120801.686338564,0.0679,0.0679,0.0679,,
1988-01-21,4314027.07522955,0.0607,0.0607,0.0607,,
1988-01-22,1304834.07157434,0.0607,0.0607,0.0607,,
1988-01-25,317899.174575169,0.0607,0.0607,0.0607,,
