FECHA,VOLUMEN,MAXIMO,MINIMO,CIERRE,APERTURA,IMPORTE
1993-06-11,1170000.0,0.0476,0.0459,0.0459,,
1993-06-14,7819854120.00001,0.0421,0.0421,0.0421,,
1993-06-16,5850000.00000001,0.0464,0.0464,0.0464,,
1993-06-17,87750000.0000001,0.0468,0.0468,0.0468,,
1993-06-22,81900000.0000001,0.0471,0.0471,0.0471,,
1993-06-24,81900000.0000001,0.048,0.048,0.048,,
1993-06-28,58500000.0000001,0.0483,0.0483,0.0483,,
1993-06-29,175500000.0,0.0486,0.0483,0.0486,,
1993-07-08,118170000.0,0.0467,0.0465,0.0467,,
1993-07-13,5850000.00000001,0.0497,0.0497,0.0497,,
1993-07-23,585000.000000001,0.0502,0.0502,0.0502,,
1993-07-26,1755000.0,0.0513,0.0507,0.0513,,
1993-08-04,1170000.0,0.0533,0.0533,0.0533,,
1993-08-23,2340000.0,0.0588,0.0588,0.0588,,
1993-10-26,6199954020.0000105,0.0598,0.0598,0.0598,,
1993-10-27,6199954020.0000105,0.06,0.06,0.06,,
1993-11-19,500760000.00000095,0.06,0.06,0.06,,
1993-11-24,2340000.0,0.0629,0.0629,0.0629,,
1993-11-25,2340000.0,0.066,0.066,0.066,,
1993-11-26,4680000.0,0.0726,0.0702,0.0726,,
1993-11-29,23400000.0,0.0762,0.0762,0.0762,,
1993-11-30,198900000.0,0.0756,0.0754,0.0756,,
1993-12-01,18720000.0,0.0761,0.0758,0.0761,,
1993-12-02,11700000.0,0.0763,0.0763,0.0763,,
1993-12-03,22230000.0,0.0765,0.0765,0.0765,,
1993-12-06,380250000.0,0.0822,0.0803,0.0822,,
1993-12-07,1170000.0,0.0838,0.0838,0.0838,,
1993-12-08,369720000.0,0.0846,0.0833,0.0833,,
1993-12-09,49140000.000000104,0.0842,0.0833,0.0837,,
1993-12-10,17550000.0,0.0837,0.0837,0.0837,,
1999-12-06,390000.0,0.2164,0.2164,0.2164,0.2164,85000.0
1999-12-29,390000.0,0.249,0.249,0.249,0.249,97800.0
1999-12-30,390000.0,0.2717,0.2717,0.2717,0.2717,106700.0
2000-11-09,39000.0,0.2719,0.2719,0.2719,0.2719,10680.0
2002-03-19,39000.0,0.1882,0.1882,0.1882,0.1882,7390.0
2002-03-20,39000.0,0.191,0.191,0.191,0.191,7500.0
2004-03-25,101400.0,0.1667,0.1667,0.1667,0.1667,16900.0
2004-03-26,23400.0,0.1795,0.1795,0.1795,0.1795,4200.0
2004-03-29,3900.0,0.2051,0.2051,0.2051,0.2051,800.0
2004-03-30,101400.0,0.2051,0.2051,0.2051,0.2051,20800.0
2004-03-31,978900.0,0.2051,0.2051,0.2051,0.2051,200800.0
2004-04-02,15600.0,0.2051,0.2051,0.2051,0.2051,3200.0
2004-04-29,101400.0,0.2051,0.2051,0.2051,0.2051,20800.0
2004-05-20,85800.0,0.2051,0.2051,0.2051,0.2051,17600.0
2004-10-04,130000.0,0.205,0.205,0.205,0.205,26650.0
2005-05-06,600.0,0.18,0.18,0.18,0.18,108.0
2005-06-10,600.0,0.18,0.18,0.18,0.18,108.0
