Date,Open,Close,High,Low,Volume
2014-12-10,29.81,29.26,31.00,27.51,22671260
2014-12-11,30.00,29.76,30.00,29.35,1989555
2014-12-16,29.01,29.49,29.61,28.90,1784236
2014-12-17,29.52,29.52,30.00,29.05,1081327
2014-12-18,29.60,29.52,29.90,29.52,2824416
2014-12-19,29.52,29.67,29.90,29.52,182980
2014-12-22,30.00,29.76,30.20,29.70,519656
2014-12-23,29.60,29.96,30.13,29.60,329049
2014-12-24,29.96,29.92,30.05,29.20,618485
2014-12-26,30.00,30.00,30.00,29.59,1212314
2014-12-29,29.90,30.00,30.14,29.65,290564
2014-12-30,30.00,30.01,30.19,30.00,171959
2014-12-31,30.00,30.14,30.14,30.00,26732
2015-01-02,30.14,30.00,30.89,29.93,153928
2015-01-05,30.19,29.90,30.19,29.00,54202
2015-01-06,29.15,29.43,29.85,29.02,75876
2015-01-07,29.79,29.59,29.79,29.10,262659
2015-01-08,29.70,29.64,29.80,29.10,209092
2015-01-09,29.84,29.76,29.90,29.18,108725
2015-01-12,29.80,29.17,29.80,29.17,5100
2015-01-13,29.50,29.48,29.51,29.11,682956
2015-01-14,29.11,29.11,29.11,29.11,20729
2015-01-15,29.47,29.11,29.47,29.10,101300
2015-01-16,29.11,29.13,29.27,29.11,13952
2015-01-19,29.13,30.05,30.49,29.12,8751
2015-01-20,30.20,30.28,31.10,29.29,246575
2015-01-21,30.00,30.00,30.03,30.00,212705
2015-01-22,30.00,30.03,30.05,29.85,168301
2015-01-23,30.08,30.25,30.25,29.75,11403
2015-01-26,30.10,30.17,30.60,30.10,1734083
2015-01-27,30.49,30.15,30.49,30.00,3872
2015-01-28,30.50,30.45,30.60,30.30,1769484
2015-01-29,30.01,30.94,31.00,30.01,2097906
2015-01-30,30.71,31.14,31.50,30.71,766259
2015-02-03,31.16,31.50,32.00,31.12,796078
2015-02-04,32.00,31.85,32.00,31.60,528703
2015-02-05,31.85,31.58,31.95,31.45,333766
2015-02-06,31.60,31.50,31.85,31.50,337290
2015-02-09,31.50,31.90,31.90,31.50,692162
2015-02-10,31.98,32.10,32.20,31.98,1116073
2015-02-11,31.90,31.74,31.90,31.70,23363
2015-02-12,31.78,31.90,31.90,31.75,695827
2015-02-13,32.04,31.77,32.07,31.76,907119
2015-02-16,32.00,31.62,32.00,31.60,112679
2015-02-17,32.00,32.10,32.19,31.89,633365
2015-02-18,32.10,32.96,33.50,32.00,657193
2015-02-19,33.50,32.89,33.50,32.70,458935
2015-02-20,32.98,33.48,33.50,32.90,2094150
2015-02-23,33.48,33.00,33.48,32.75,340123
2015-02-24,32.75,33.10,33.45,32.75,441194
2015-02-25,33.10,33.00,33.49,32.75,294794
2015-02-26,33.00,33.00,33.19,32.50,208959
2015-02-27,33.00,33.11,33.50,32.95,88498
2015-03-02,33.12,33.72,33.84,33.00,359328
2015-03-03,33.90,33.81,33.90,32.62,238902
2015-03-04,33.85,33.02,33.85,33.00,85491
2015-03-05,33.02,33.05,33.10,33.00,205251
2015-03-06,33.50,32.95,33.50,32.50,560244
2015-03-09,32.94,32.53,32.94,32.51,12285
2015-03-10,33.47,31.63,33.47,31.50,214875
2015-03-11,32.57,32.40,32.99,32.00,421296
2015-03-12,32.40,33.37,33.43,32.40,46890
2015-03-13,33.39,33.30,33.39,33.30,11942
2015-03-17,33.00,33.01,33.30,32.82,16031
2015-03-18,32.95,32.90,33.39,32.80,273895
2015-03-19,32.90,33.47,33.47,32.90,194990
2015-03-20,33.47,33.43,33.47,33.00,747529
2015-03-23,33.45,33.00,33.45,32.92,414384
2015-03-24,33.35,32.80,33.35,32.80,84895
2015-03-25,32.80,32.80,32.80,32.60,68900
2015-03-26,32.70,32.59,32.70,32.42,60898
2015-03-27,32.67,32.65,32.67,32.65,7011
2015-03-30,32.65,32.65,32.70,32.65,1395
2015-03-31,32.10,32.65,32.80,31.69,34047
2015-04-01,32.09,32.16,32.30,31.90,481099
2015-04-06,32.40,32.09,32.44,31.80,191408
2015-04-08,31.90,31.88,32.00,31.82,355713
2015-04-09,31.80,31.36,31.95,31.36,657824
2015-04-10,31.40,31.29,31.42,31.25,165413
