Date,Open,Close,High,Low,Volume
2001-01-02,2.86,2.85,2.86,2.85,8000
2001-01-03,2.80,3.00,3.00,2.80,111300
2001-01-04,3.00,3.00,3.00,2.96,54600
2001-01-05,3.00,3.00,3.00,3.00,57000
2001-01-08,2.99,2.99,2.99,2.99,47000
2001-01-09,2.99,2.99,2.99,2.99,31000
2001-01-10,2.97,2.94,3.00,2.94,306000
2001-01-11,2.94,2.93,2.94,2.93,28000
2001-01-12,2.92,2.87,2.92,2.83,682726
2001-01-15,2.90,2.90,2.90,2.88,23174
2001-01-16,2.89,2.89,2.89,2.88,85000
2001-01-17,2.89,2.87,2.89,2.87,83459
2001-01-18,2.88,2.84,2.90,2.84,433000
2001-01-19,2.85,2.89,2.89,2.83,328670
2001-01-22,2.89,2.89,2.90,2.88,786600
2001-01-23,2.88,2.89,2.89,2.88,76000
2001-01-24,2.90,2.92,2.95,2.88,397200
2001-01-25,2.92,2.94,2.94,2.92,143100
2001-01-26,2.94,2.95,2.96,2.93,151900
2001-01-29,2.99,2.99,3.01,2.98,92000
2001-01-30,2.99,2.94,3.03,2.94,276200
2001-01-31,2.95,2.95,2.95,2.93,405100
2001-02-01,2.94,2.95,2.95,2.94,277800
2001-02-02,2.95,2.93,2.95,2.93,543100
2001-02-06,2.93,2.96,2.98,2.93,1074137
2001-02-07,2.97,2.96,2.97,2.95,791800
2001-02-08,2.95,2.92,2.95,2.91,1662900
2001-02-09,2.92,2.92,2.95,2.90,396700
2001-02-12,2.93,2.93,2.93,2.93,71700
2001-02-13,2.93,2.90,2.93,2.90,27500
2001-02-14,2.90,2.87,2.90,2.87,185300
2001-02-15,2.87,2.85,2.87,2.85,71000
2001-02-16,2.83,2.73,2.83,2.73,178200
2001-02-19,2.73,2.73,2.73,2.73,2000
2001-02-20,2.71,2.67,2.71,2.67,110000
2001-02-21,2.67,2.55,2.67,2.48,886400
2001-02-22,2.57,2.60,2.60,2.55,244900
2001-02-23,2.59,2.58,2.60,2.55,237000
2001-02-26,2.58,2.58,2.63,2.58,1135700
2001-02-27,2.63,2.59,2.63,2.58,1608600
2001-02-28,2.59,2.66,2.83,2.53,695400
2001-03-01,2.66,2.65,2.66,2.58,132000
2001-03-02,2.65,2.63,2.65,2.58,747600
2001-03-05,2.63,2.60,2.65,2.60,55600
2001-03-06,2.63,2.70,2.70,2.63,1199700
2001-03-07,2.70,2.87,2.88,2.70,776400
2001-03-08,2.87,2.87,2.88,2.83,818200
2001-03-09,2.84,2.83,2.84,2.82,118000
2001-03-12,2.80,2.64,2.80,2.63,53300
2001-03-13,2.64,2.81,2.82,2.64,22000
2001-03-14,2.75,2.73,2.78,2.73,430300
2001-03-15,2.75,2.75,2.78,2.74,436400
2001-03-16,2.75,2.75,2.75,2.75,63000
2001-03-19,2.75,2.75,2.75,2.75,55000
2001-03-20,2.75,2.75,2.80,2.75,1635200
2001-03-22,2.75,2.75,2.75,2.63,196800
2001-03-23,2.75,2.75,2.75,2.73,965900
2001-03-26,2.75,2.75,2.75,2.75,2210200
2001-03-27,2.75,2.90,2.90,2.75,841700
2001-03-28,2.90,2.90,2.90,2.86,48100
2001-03-29,2.93,2.95,2.98,2.90,634600
2001-03-30,2.95,2.96,2.99,2.95,327700
2001-04-02,2.98,2.95,2.98,2.95,279400
2001-04-03,2.95,2.95,2.95,2.93,382000
