Date,Open,Close,High,Low,Volume
2001-01-03,5.60,5.75,5.75,5.60,14000
2001-01-11,5.50,5.50,5.50,5.50,3000
2001-01-12,5.50,5.50,5.50,5.50,3000
2001-01-16,5.25,5.25,5.25,5.25,3000
2001-01-17,5.25,5.25,5.25,5.25,4000
2001-01-18,5.25,5.25,5.25,5.25,1000
2001-01-19,5.25,5.25,5.25,5.25,1000
2001-01-22,5.24,5.25,5.25,4.85,300
2001-01-23,5.05,4.95,5.05,4.95,9800
2001-01-24,4.95,4.99,4.99,4.95,66300
2001-01-25,5.00,4.80,5.00,4.80,96070
2001-01-26,4.75,4.75,4.80,4.75,24100
2001-01-29,4.75,4.75,4.80,4.75,55900
2001-01-30,4.75,4.80,4.80,4.75,48800
2001-01-31,4.78,4.75,4.83,4.75,50900
2001-02-01,4.60,4.65,4.65,4.60,30600
2001-02-02,4.75,4.75,4.75,4.75,5000
2001-02-06,4.75,4.76,4.76,4.75,19430
2001-02-07,4.81,4.75,4.81,4.75,27600
2001-02-08,4.75,4.75,4.75,4.75,5400
2001-02-09,4.80,4.85,4.85,4.80,20100
2001-02-12,4.85,4.85,4.85,4.85,5000
2001-02-13,4.85,4.85,4.85,4.85,25000
2001-02-14,4.85,4.85,4.85,4.85,3900
2001-02-15,5.00,5.00,5.00,4.95,46530
2001-02-16,4.96,5.00,5.00,4.96,26000
2001-02-19,5.00,5.00,5.00,5.00,1200
2001-02-20,5.00,5.00,5.00,4.85,19300
2001-02-21,5.00,5.00,5.00,4.97,37600
2001-02-22,5.00,5.00,5.00,5.00,47000
2001-02-23,5.00,5.00,5.00,5.00,1500
2001-02-26,5.00,5.00,5.00,5.00,22900
2001-02-27,5.00,5.00,5.00,5.00,4500
2001-03-01,4.95,4.95,4.95,4.95,2000
2001-03-06,4.89,4.89,4.89,4.89,20000
2001-03-07,4.90,4.89,4.90,4.89,5200
2001-03-08,4.80,4.86,4.88,4.80,122700
2001-03-09,4.75,4.75,4.76,4.75,53400
2001-03-12,4.75,4.60,4.75,4.60,15600
2001-03-13,4.70,4.65,4.75,4.65,407000
2001-03-14,4.60,4.65,4.65,4.50,49800
2001-03-15,4.70,4.65,4.70,4.65,43300
2001-03-19,4.65,4.65,4.65,4.65,2500
2001-03-22,4.75,4.75,4.75,4.75,100
2001-03-23,4.74,4.74,4.74,4.74,10000
2001-03-27,4.75,4.75,4.75,4.70,12100
2001-03-29,4.75,4.70,4.75,4.70,3200
2001-03-30,4.75,4.71,4.75,4.71,22800
2001-04-02,4.75,4.75,4.75,4.75,1600
2001-04-03,4.75,4.75,4.75,4.75,1000
2001-04-04,4.75,4.72,4.75,4.72,1100
2001-04-05,4.75,4.75,4.75,4.75,1000
2001-04-06,4.75,4.75,4.75,4.75,30000
2001-04-09,4.75,4.65,4.75,4.65,2600
2001-04-10,4.71,4.71,4.71,4.71,200
2001-04-11,4.71,4.70,4.75,4.70,13000
2001-04-16,4.70,4.70,4.70,4.70,1000
2001-04-17,4.68,4.68,4.68,4.60,35100
2001-04-18,4.72,4.75,4.75,4.72,500000
2001-04-19,4.76,4.70,4.76,4.70,21000
2001-04-20,4.70,4.75,4.75,4.70,130000
2001-04-23,4.70,4.70,4.70,4.70,21000
2001-04-24,4.70,4.70,4.70,4.70,53400
2001-04-26,4.70,4.70,4.70,4.70,710000
2001-05-02,4.75,4.75,4.75,4.75,1000
2001-05-03,4.75,4.72,4.75,4.72,24600
2001-05-04,4.71,4.71,4.71,4.71,10000
2001-05-08,4.50,4.50,4.50,4.50,70700
2001-05-11,4.47,4.47,4.47,4.47,10000
2001-05-15,4.35,4.35,4.35,4.35,4100
2001-05-16,4.35,4.40,4.40,4.35,1700
2001-05-18,4.38,4.38,4.38,4.38,54000
2001-05-22,4.35,4.50,4.50,4.25,110500
2001-05-23,4.50,4.43,4.50,4.43,37600
2001-05-24,4.30,4.30,4.30,4.30,70600
2001-05-25,4.30,4.33,4.33,4.30,122400
2001-05-28,4.35,4.35,4.35,4.35,703000
2001-05-29,4.30,4.30,4.30,4.30,100000
2001-05-30,4.35,4.30,4.35,4.30,37800
2001-05-31,4.35,4.43,4.43,4.35,74400
2001-06-01,4.43,4.44,4.45,4.43,84700
2001-06-04,4.50,4.50,4.50,4.50,1900
2001-06-07,4.50,4.50,4.50,4.50,200
2001-06-11,4.50,4.50,4.50,4.50,53400
2001-06-12,4.45,4.47,4.50,4.43,109400
2001-06-13,4.47,4.45,4.50,4.45,1005400
2001-06-18,4.50,4.50,4.50,4.50,70000
2001-06-19,4.47,4.47,4.47,4.47,60000
2001-06-20,4.47,4.47,4.47,4.47,18000
2001-06-21,4.47,4.47,4.47,4.47,5000
2001-06-25,4.47,4.47,4.47,4.47,20000
2001-06-26,4.47,4.47,4.47,4.47,3000
2001-06-27,4.46,4.47,4.47,4.46,703000
2001-06-28,4.47,4.47,4.47,4.47,6000
2001-06-29,4.45,4.45,4.45,4.45,1000
2001-07-02,4.45,4.45,4.45,4.45,457000
2001-07-03,4.45,4.45,4.45,4.45,1500
2001-07-04,4.50,4.50,4.50,4.50,10000
2001-07-05,4.25,4.25,4.25,4.25,63000
2001-07-06,4.45,4.45,4.45,4.45,4800
2001-07-10,4.28,4.28,4.28,4.28,12000
2001-07-12,4.10,4.10,4.10,4.10,6000
2001-07-13,4.10,4.10,4.10,4.10,57600
2001-07-16,4.10,4.10,4.10,4.10,9600
2001-07-17,4.10,4.10,4.10,4.10,15700
2001-07-18,4.10,4.10,4.10,4.00,24800
2001-07-19,4.10,4.10,4.10,4.10,86800
2001-07-20,4.10,4.10,4.10,4.10,5000
2001-07-23,4.10,4.10,4.10,4.10,30000
2001-07-25,4.25,4.16,4.25,4.10,100000
2001-07-26,4.30,4.25,4.30,4.25,39000
2001-07-27,4.25,4.30,4.30,4.25,62400
2001-07-30,4.15,4.15,4.15,4.15,21000
2001-08-01,4.25,4.25,4.25,4.25,30000
2001-08-03,4.25,4.25,4.25,4.25,10000
2001-08-06,4.20,4.18,4.20,4.15,695900
2001-08-07,4.25,4.25,4.33,4.25,1280000
2001-08-08,4.25,4.25,4.25,4.25,20000
2001-08-09,4.25,4.25,4.25,4.25,94600
2001-08-10,4.20,4.22,4.22,4.20,130082
2001-08-13,4.25,4.25,4.25,4.25,9000
2001-08-14,4.25,4.25,4.25,4.22,13000
2001-08-16,4.22,4.10,4.25,4.10,228600
2001-08-20,4.25,4.25,4.25,4.20,7200
2001-08-21,4.25,4.29,4.29,4.10,405004
2001-08-22,4.29,4.30,4.30,4.29,9000
2001-08-23,4.30,4.30,4.30,4.30,2418
