Date,Open,Close,High,Low,Volume
2001-01-02,3.32,3.32,3.32,3.32,1000
2001-01-03,3.29,3.38,3.38,3.28,172160
2001-01-04,3.38,3.42,3.43,3.35,4023000
2001-01-05,3.42,3.43,3.43,3.42,874070
2001-01-08,3.43,3.41,3.43,3.38,166180
2001-01-09,3.41,3.40,3.41,3.40,422000
2001-01-10,3.38,3.30,3.40,3.30,473000
2001-01-11,3.30,3.32,3.35,3.27,310043
2001-01-12,3.25,3.25,3.25,3.20,507608
2001-01-15,3.25,3.25,3.25,3.25,4738000
2001-01-16,3.25,3.32,3.33,3.25,5566619
2001-01-17,3.33,3.35,3.36,3.32,512600
2001-01-18,3.36,3.32,3.36,3.30,395250
2001-01-19,3.32,3.38,3.38,3.32,1675999
2001-01-22,3.38,3.38,3.38,3.38,160401
2001-01-23,3.38,3.42,3.43,3.38,262353
2001-01-24,3.42,3.38,3.44,3.38,266900
2001-01-25,3.38,3.38,3.38,3.37,1114968
2001-01-26,3.38,3.38,3.39,3.37,531174
2001-01-29,3.38,3.38,3.40,3.38,628900
2001-01-30,3.38,3.39,3.41,3.38,698466
2001-01-31,3.40,3.30,3.43,3.28,2707330
2001-02-01,3.30,3.28,3.30,3.25,1471825
2001-02-02,3.28,3.27,3.28,3.25,552121
2001-02-06,3.27,3.19,3.28,3.19,137112
2001-02-07,3.16,3.09,3.18,3.07,204300
2001-02-08,3.07,3.01,3.07,3.00,180200
2001-02-09,3.00,3.02,3.03,3.00,446099
2001-02-12,3.02,3.00,3.02,2.99,580651
2001-02-13,3.00,2.99,3.02,2.99,458354
2001-02-14,2.98,2.99,3.00,2.98,472439
2001-02-15,2.95,3.00,3.00,2.93,847600
2001-02-16,3.00,2.97,3.00,2.95,420789
2001-02-19,2.95,3.02,3.06,2.95,639380
2001-02-20,3.03,3.00,3.06,3.00,875460
2001-02-21,3.00,2.93,3.00,2.93,645903
2001-02-22,2.95,2.91,2.95,2.91,745100
2001-02-23,2.91,2.84,2.91,2.84,324227
2001-02-26,2.84,2.91,3.06,2.84,549380
2001-02-27,2.85,2.92,2.95,2.85,180355
2001-02-28,2.92,2.95,2.98,2.90,632339
2001-03-01,2.95,3.00,3.00,2.95,587200
2001-03-02,3.00,3.05,3.06,3.00,418882
2001-03-05,3.05,3.03,3.05,3.00,285200
2001-03-06,3.03,3.08,3.10,3.03,295600
2001-03-07,3.10,3.17,3.18,3.10,1776600
2001-03-08,3.17,3.17,3.20,3.17,797723
2001-03-09,3.17,3.20,3.20,3.13,528200
2001-03-12,3.20,3.13,3.20,3.11,323700
2001-03-13,3.13,3.15,3.15,3.13,688751
2001-03-14,3.13,3.04,3.13,2.98,386416
2001-03-15,3.04,3.04,3.13,3.04,407705
2001-03-16,3.04,3.03,3.04,3.03,667991
2001-03-19,3.03,3.08,3.08,2.88,105100
2001-03-20,3.08,3.13,3.16,3.08,903055
2001-03-22,3.12,3.06,3.12,3.00,646263
2001-03-23,3.06,3.20,3.20,3.06,364306
2001-03-26,3.20,3.25,3.25,3.15,559300
2001-03-27,3.25,3.28,3.28,3.25,339626
2001-03-28,3.28,3.30,3.30,3.27,204700
2001-03-29,3.30,3.35,3.35,3.28,509255
2001-03-30,3.35,3.40,3.44,3.35,666440
2001-04-02,3.40,3.25,3.40,3.25,167900
2001-04-03,3.25,3.20,3.25,3.20,184578
2001-04-04,3.20,3.23,3.23,3.20,283822
2001-04-05,3.25,3.35,3.35,3.25,240000
2001-04-06,3.34,3.31,3.35,3.30,342108
2001-04-09,3.31,3.44,3.44,3.31,238300
2001-04-10,3.45,3.38,3.45,3.35,75300
2001-04-11,3.38,3.33,3.40,3.33,37600
2001-04-16,3.33,3.30,3.33,3.27,355000
2001-04-17,3.28,3.35,3.35,3.28,407500
2001-04-18,3.38,3.40,3.43,3.38,171800
2001-04-19,3.40,3.38,3.43,3.35,442020
2001-04-20,3.37,3.40,3.40,3.37,1044100
2001-04-23,3.41,3.41,3.42,3.40,496600
2001-04-24,3.40,3.41,3.41,3.40,287500
2001-04-25,3.41,3.37,3.41,3.37,79300
2001-04-26,3.37,3.49,3.50,3.37,973174
2001-04-27,3.38,3.38,3.38,3.37,127800
2001-04-30,3.38,3.43,3.43,3.37,419348
2001-05-02,3.42,3.42,3.43,3.42,893840
2001-05-03,3.42,3.38,3.42,3.38,847577
2001-05-04,3.38,3.37,3.38,3.37,2779030
2001-05-07,3.38,3.35,3.38,3.35,1790656
2001-05-08,3.37,3.35,3.38,3.35,1785564
2001-05-09,3.31,3.36,3.40,3.31,621970
