Date,Open,Close,High,Low,Volume
2001-01-02,8.37,8.41,8.41,8.31,362629
2001-01-03,8.41,8.59,8.65,8.29,3838821
2001-01-04,8.77,8.88,8.89,8.73,3304520
2001-01-05,8.82,8.80,8.87,8.77,1265800
2001-01-08,8.61,8.85,8.89,8.61,1122174
2001-01-09,8.85,9.03,9.05,8.85,2003306
2001-01-10,9.01,9.28,9.29,8.99,5435743
2001-01-11,9.25,9.56,9.62,9.25,13602021
2001-01-12,9.57,9.60,9.78,9.56,1899150
2001-01-15,9.62,9.54,9.62,9.53,932684
2001-01-16,9.54,9.58,9.74,9.54,2916250
2001-01-17,9.64,9.53,9.71,9.39,1817963
2001-01-18,9.58,9.41,9.60,9.38,1579257
2001-01-19,9.47,9.31,9.57,9.16,2576675
2001-01-22,9.42,9.38,9.42,9.31,974524
2001-01-23,9.62,9.79,9.81,9.54,3810043
2001-01-24,9.83,9.97,10.31,9.83,4422878
2001-01-25,9.93,9.86,9.93,9.71,1841547
2001-01-26,9.86,9.97,10.02,9.78,566000
2001-01-29,9.97,9.74,9.97,9.70,563900
2001-01-30,9.74,9.86,9.98,9.74,1564575
2001-01-31,9.90,9.96,10.05,9.86,2955639
2001-02-01,9.96,10.02,10.05,9.90,1299602
2001-02-02,9.98,9.88,9.98,9.86,963200
2001-02-06,9.86,9.78,9.86,9.76,298604
2001-02-07,9.71,9.58,9.72,9.57,1999220
2001-02-08,9.62,9.50,9.64,9.45,1235660
2001-02-09,9.47,9.50,9.53,9.47,997748
2001-02-12,9.51,9.74,9.86,9.50,1068857
2001-02-13,9.74,9.70,9.83,9.69,934601
2001-02-14,9.68,9.81,9.86,9.52,1203961
2001-02-15,9.98,9.95,9.98,9.90,389218
2001-02-16,9.81,9.83,9.86,9.59,1913808
2001-02-19,9.83,9.76,9.83,9.66,322614
2001-02-20,9.66,9.58,9.66,9.55,667509
2001-02-21,9.58,9.35,9.86,9.30,4790601
2001-02-22,9.33,9.59,9.62,9.29,4865213
2001-02-23,9.52,9.50,9.58,9.35,2984231
2001-02-26,9.52,9.75,9.76,9.50,3275029
2001-02-27,9.79,9.78,9.90,9.72,7289762
2001-02-28,9.79,9.79,9.83,9.74,2352347
2001-03-01,9.77,9.99,10.02,9.71,3714755
2001-03-02,9.99,10.33,10.34,9.95,3135643
2001-03-05,10.38,10.62,10.65,10.34,2464098
2001-03-06,10.65,10.64,10.76,10.62,2776643
2001-03-07,10.63,10.81,10.82,10.58,2783345
2001-03-08,10.79,10.88,10.90,10.79,2313454
2001-03-09,10.77,10.67,10.77,10.64,1084100
2001-03-12,10.67,10.40,10.67,10.38,1415300
2001-03-13,10.68,10.37,10.68,10.22,6418636
2001-03-14,10.13,10.07,10.26,10.05,916607
2001-03-15,10.14,10.13,10.14,10.09,1169368
2001-03-16,10.09,10.36,10.46,10.08,789001
2001-03-19,10.41,10.44,10.46,10.26,2044045
2001-03-20,10.41,10.35,10.48,10.34,1338877
2001-03-22,10.22,9.89,10.22,9.81,2255202
2001-03-23,10.00,9.67,10.00,9.54,1138223
2001-03-26,9.67,9.61,9.74,9.59,1122256
2001-03-27,9.62,9.70,9.74,9.59,1374234
2001-03-28,9.62,9.61,9.65,9.59,1300771
2001-03-29,9.61,9.61,9.64,9.51,24908396
2001-03-30,9.60,9.78,9.81,9.59,2368034
2001-04-02,9.86,9.91,10.07,9.83,1354195
2001-04-03,9.96,9.54,9.96,9.50,1408131
2001-04-04,9.53,9.54,9.62,9.44,1510485
2001-04-05,9.62,9.83,9.90,9.62,1886418
2001-04-06,9.71,9.73,9.76,9.64,1032400
2001-04-09,9.74,9.57,9.74,9.57,2288200
2001-04-10,9.62,9.81,9.95,9.62,2134894
2001-04-11,9.90,9.89,9.90,9.82,385067
2001-04-16,10.04,9.92,10.14,9.89,910070
2001-04-17,9.95,9.97,10.05,9.93,1720150
2001-04-18,10.02,10.10,10.36,10.02,2621980
2001-04-19,10.26,10.17,10.34,10.17,2174682
2001-04-20,10.22,10.28,10.31,10.19,1272506
2001-04-23,10.25,9.98,10.25,9.92,2489328
2001-04-24,9.86,9.68,9.90,9.65,2675020
2001-04-25,9.66,9.84,9.86,9.66,1276443
2001-04-26,9.86,10.22,10.24,9.86,1886926
2001-04-27,10.24,10.24,10.38,10.21,1211056
2001-04-30,10.24,10.34,10.43,10.19,899675
2001-05-02,10.43,10.60,10.65,10.43,3297500
2001-05-03,10.58,10.65,10.65,10.53,1170756
2001-05-04,10.58,10.69,10.72,10.57,911534
2001-05-07,10.42,10.34,10.42,10.34,2926193
2001-05-08,10.34,10.21,10.34,10.13,1998168
2001-05-09,10.19,10.17,10.19,10.14,6852067
2001-05-10,10.17,10.31,10.34,10.17,3414070
2001-05-11,10.41,10.26,10.41,10.24,1709540
2001-05-14,10.24,10.24,10.24,10.19,1132254
2001-05-15,10.23,10.19,10.26,10.19,1578975
2001-05-16,10.19,10.19,10.20,10.10,2451875
2001-05-17,10.34,10.42,10.46,10.34,6373640
2001-05-18,10.43,10.69,10.72,10.43,6647054
2001-05-21,10.69,10.86,10.87,10.65,4460977
2001-05-22,10.88,11.26,11.30,10.88,5985900
2001-05-23,11.26,11.89,11.92,11.15,11149930
2001-05-24,11.94,11.63,12.00,11.56,13634979
2001-05-25,11.59,11.75,11.78,11.54,3311267
2001-05-28,11.75,11.75,11.80,11.63,490492
2001-05-29,11.80,11.66,11.80,11.61,5228434
2001-05-30,11.68,11.63,11.68,11.60,2206095
2001-05-31,11.63,11.63,11.71,11.61,3758965
2001-06-01,11.66,11.39,11.67,11.37,12531550
2001-06-04,11.30,11.37,11.39,11.25,1278135
2001-06-05,11.37,11.24,11.39,11.23,3550941
2001-06-06,11.25,11.44,11.48,11.15,3800725
2001-06-07,11.35,11.54,11.61,11.35,3023808
2001-06-08,11.54,11.54,11.58,11.47,2728881
2001-06-11,11.51,11.45,11.54,11.30,1297917
2001-06-12,11.45,11.49,11.49,11.36,1506893
2001-06-13,11.49,11.54,11.64,11.49,4919628
2001-06-14,11.49,11.55,11.58,11.49,3731565
2001-06-15,11.54,11.34,11.54,11.17,3453354
2001-06-18,11.32,11.03,11.32,11.01,2045539
2001-06-19,11.08,10.81,11.09,10.79,4067058
2001-06-20,10.81,11.01,11.09,10.81,3092438
2001-06-21,11.01,11.16,11.19,10.96,5272757
2001-06-22,11.20,11.15,11.25,11.15,3190200
2001-06-25,11.15,11.27,11.30,11.15,1253305
2001-06-26,11.23,11.43,11.45,11.23,2825410
2001-06-27,11.44,11.49,11.54,11.37,3283613
2001-06-28,11.54,11.47,11.60,11.43,20892464
2001-06-29,11.50,11.59,11.60,11.47,2125152
2001-07-02,11.59,11.90,11.92,11.59,2809964
2001-07-03,11.90,12.06,12.12,11.90,4950138
2001-07-04,12.07,12.14,12.16,12.07,1580979
2001-07-05,12.09,12.02,12.24,12.02,19836912
2001-07-06,12.02,11.88,12.02,11.84,2114304
2001-07-09,11.78,11.78,11.80,11.71,1258575
2001-07-10,11.83,11.98,12.02,11.83,2479374
2001-07-11,11.99,11.78,12.02,11.74,5397813
