Date,Open,Close,High,Low,Volume
2001-01-02,39.20,38.20,39.20,38.00,177000
2001-01-03,37.50,39.70,39.80,36.80,2815250
2001-01-04,40.50,43.00,43.50,40.50,3249200
2001-01-05,43.00,41.30,43.00,41.30,1377000
2001-01-08,41.30,42.50,43.30,41.30,1433000
2001-01-09,43.20,41.40,44.50,41.40,3439200
2001-01-10,41.80,42.40,42.70,41.40,845000
2001-01-11,42.00,44.60,44.70,42.00,1514800
2001-01-12,44.70,46.50,46.80,44.70,6277000
2001-01-15,46.50,45.60,46.50,45.60,104000
2001-01-16,46.30,46.40,46.50,45.50,600000
2001-01-17,46.50,46.00,46.80,45.50,1363999
2001-01-18,46.00,48.60,49.00,46.00,2579654
2001-01-19,49.00,46.50,49.50,46.50,1596500
2001-01-22,47.00,46.25,47.00,46.20,465647
2001-01-23,46.55,48.25,49.00,46.55,1075386
2001-01-24,47.75,47.40,48.50,47.15,1373714
2001-01-25,47.00,49.95,51.20,47.00,2632700
2001-01-26,49.95,51.00,51.75,49.95,2572800
2001-01-29,51.55,50.00,51.55,49.60,501999
2001-01-30,50.00,49.70,51.00,49.50,1919549
2001-01-31,49.70,50.10,50.70,49.40,2364028
2001-02-01,50.10,50.50,50.65,49.50,5247100
2001-02-02,50.30,49.35,50.30,49.35,270100
2001-02-06,49.25,48.80,49.25,48.50,306900
2001-02-07,48.25,49.00,49.30,47.60,358600
2001-02-08,49.50,47.60,49.50,47.50,270600
2001-02-09,47.60,47.20,48.00,47.00,2420379
2001-02-12,47.20,47.25,47.70,47.00,1548400
2001-02-13,47.35,47.25,48.50,47.00,1154626
2001-02-14,46.80,47.50,47.50,46.45,2093200
2001-02-15,47.75,47.45,48.80,47.05,4325025
2001-02-16,47.00,47.50,47.50,47.00,1608200
2001-02-19,48.80,47.00,48.80,47.00,77800
2001-02-20,47.00,45.80,47.50,45.50,995600
2001-02-21,45.00,42.70,45.20,42.70,1530000
2001-02-22,42.70,41.75,42.70,41.50,1848800
2001-02-23,41.70,41.95,42.30,41.50,497320
2001-02-26,41.95,44.00,44.20,41.95,728500
2001-02-27,44.20,45.35,45.50,44.00,1300800
2001-02-28,45.95,44.35,45.95,44.00,813900
2001-03-01,44.00,44.45,45.75,44.00,889000
2001-03-02,44.45,47.00,47.25,44.45,1148000
2001-03-05,48.00,47.55,48.00,46.85,168818
2001-03-06,47.75,46.20,48.25,46.00,1130400
2001-03-07,46.25,46.95,47.00,46.15,813200
2001-03-08,47.00,46.50,47.50,45.50,914500
2001-03-09,46.40,45.50,46.40,45.45,172500
2001-03-12,44.00,42.70,44.00,42.60,371400
2001-03-13,42.75,42.40,43.25,42.25,937400
2001-03-14,41.50,41.35,42.00,41.00,839000
2001-03-15,42.00,42.00,43.00,41.75,498699
2001-03-16,41.75,44.00,44.50,41.75,702301
2001-03-19,43.50,44.00,44.50,43.50,296000
2001-03-20,44.00,42.95,44.00,42.50,142100
2001-03-22,42.00,40.45,42.00,38.50,634200
2001-03-23,40.50,40.50,41.00,39.50,281300
2001-03-26,40.50,39.90,40.50,39.90,219900
2001-03-27,40.25,40.95,41.20,40.25,736000
2001-03-28,40.50,40.05,40.50,40.00,398800
2001-03-29,40.05,39.15,40.10,39.00,678300
2001-03-30,39.00,38.85,40.00,38.75,901900
2001-04-02,39.25,39.00,39.25,36.75,498400
2001-04-03,38.50,39.00,39.10,37.50,1068900
2001-04-04,38.50,40.15,40.60,38.50,1503500
2001-04-05,41.50,41.80,43.00,41.50,1783400
2001-04-06,41.30,42.55,42.65,41.30,1128600
2001-04-09,42.60,41.60,42.75,41.60,929100
2001-04-10,42.50,44.40,44.50,42.50,1446200
2001-04-11,45.00,43.00,45.00,42.25,606100
2001-04-16,43.00,43.00,43.00,42.25,162600
2001-04-17,43.75,45.00,45.00,43.75,1148900
2001-04-18,44.50,44.55,46.50,44.50,705900
2001-04-19,44.65,41.75,44.65,41.00,12011100
2001-04-20,41.75,41.00,41.75,40.25,504100
2001-04-23,39.50,39.10,40.50,39.00,573700
2001-04-24,40.50,39.25,40.50,39.00,1146693
2001-04-25,39.50,40.40,40.50,39.50,940400
2001-04-26,40.50,40.95,42.50,40.50,2020900
2001-04-27,41.75,42.25,42.50,41.60,1076300
2001-04-30,42.50,43.50,43.75,42.50,1388200
2001-05-02,43.50,42.50,43.50,42.00,408007
2001-05-03,42.00,42.00,42.35,41.60,866150
2001-05-04,42.00,41.40,42.25,41.35,1370100
2001-05-07,40.75,40.45,40.75,40.05,225700
2001-05-08,40.75,39.65,40.75,39.00,1274000
2001-05-09,39.00,39.90,39.95,39.00,1108900
2001-05-10,40.00,40.05,40.55,40.00,2279625
2001-05-11,40.00,39.90,40.00,39.50,523400
2001-05-14,39.25,39.35,39.50,39.25,552100
2001-05-15,39.00,39.00,39.75,38.75,1184200
2001-05-16,39.00,39.00,39.10,38.50,614700
2001-05-17,39.00,40.10,40.30,38.90,3468500
2001-05-18,41.00,41.85,42.00,40.50,1539700
2001-05-21,41.80,42.25,42.25,40.60,1967700
2001-05-22,42.50,43.75,44.00,42.00,2355600
2001-05-23,43.50,44.95,45.00,43.00,4397700
2001-05-24,44.95,46.00,46.50,44.95,3279400
2001-05-25,46.00,45.00,46.00,44.75,1322500
2001-05-28,45.00,45.00,45.10,44.50,294575
2001-05-29,44.25,44.75,45.00,43.50,387600
2001-05-30,43.80,43.50,44.25,43.50,1107600
2001-05-31,43.50,42.45,43.50,41.50,1515400
2001-06-01,41.50,42.55,42.60,41.50,1180550
2001-06-04,42.55,42.70,43.00,42.45,673100
2001-06-05,42.70,42.75,43.50,42.30,1429400
2001-06-06,43.00,43.25,43.40,42.00,854428
2001-06-07,43.15,43.10,44.25,42.55,1196500
2001-06-08,43.50,42.60,43.50,42.50,360700
2001-06-11,42.00,42.30,42.50,42.00,106500
2001-06-12,42.00,43.25,43.45,42.00,1098900
2001-06-13,43.50,43.80,44.10,42.90,875300
2001-06-14,43.80,43.70,44.00,42.55,670600
2001-06-15,43.20,42.80,43.45,42.75,10343300
2001-06-18,42.80,42.50,43.00,41.25,10598128
