Date,Open,Close,High,Low,Volume
2001-08-22,1.68,1.68,1.68,1.68,9600
2001-08-23,1.67,1.68,1.68,1.67,84427
2001-08-24,1.68,1.68,1.68,1.68,110928
2001-08-27,1.68,1.68,1.68,1.68,1545
2001-08-28,1.73,1.73,1.73,1.73,4999
2001-08-29,1.75,1.76,1.93,1.75,185440
2001-08-30,1.80,1.80,1.80,1.80,100
2001-08-31,1.79,1.90,1.90,1.73,145778
2001-09-05,1.75,1.75,1.75,1.75,1500
2001-09-06,1.75,1.75,1.75,1.75,10000
2001-09-07,1.75,1.75,1.75,1.75,12022
2001-09-11,1.75,1.75,1.75,1.75,45900
2001-09-17,1.56,1.56,1.56,1.56,4100
2001-09-19,1.56,1.56,1.56,1.56,15400
2001-09-20,1.56,1.56,1.56,1.56,2900
2001-09-24,1.56,1.67,1.67,1.56,395700
2001-09-26,1.56,1.56,1.56,1.56,2300
2001-10-01,1.56,1.56,1.56,1.56,1471
2001-10-05,1.56,1.56,1.56,1.56,286286
2001-10-09,1.56,1.56,1.56,1.56,6900
2001-10-10,1.56,1.56,1.56,1.56,879
2001-10-11,1.56,1.56,1.56,1.56,3500
2001-10-15,1.56,1.56,1.56,1.56,4463
2001-10-16,1.56,1.56,1.56,1.56,532650
2001-10-30,1.56,1.56,1.56,1.56,560
2001-11-26,1.50,1.50,1.50,1.50,1000
2001-12-10,1.49,1.49,1.49,1.49,20600
2001-12-13,1.44,1.44,1.44,1.44,10000
2001-12-14,1.44,1.44,1.44,1.44,29200
2001-12-21,1.44,1.44,1.44,1.44,100
2001-12-24,1.44,1.44,1.44,1.44,4700
2002-01-04,1.44,1.44,1.44,1.44,3800
2002-01-08,1.44,1.44,1.44,1.44,6400
2002-01-11,1.44,1.44,1.44,1.44,1300
2002-01-14,1.67,1.67,1.67,1.67,475648
2002-01-15,1.67,1.67,1.67,1.67,28699
2002-01-16,1.67,1.67,1.67,1.67,5439
2002-01-22,1.67,1.67,1.67,1.67,45599
2002-01-24,1.67,1.67,1.67,1.67,828200
2002-01-25,1.67,1.67,1.67,1.67,647316
2002-01-28,1.67,1.67,1.67,1.67,49900
2002-01-29,1.67,1.67,1.67,1.67,7295
2002-01-30,1.72,1.72,1.72,1.72,173
2002-02-04,1.72,1.67,1.72,1.67,20702
2002-02-06,1.67,1.72,1.72,1.67,359025
2002-02-13,1.67,1.67,1.67,1.67,5800
2002-02-18,1.78,1.78,1.78,1.78,2100
2002-02-28,1.78,1.78,1.78,1.78,5300
2002-03-01,2.26,2.26,2.26,2.26,1100
2002-03-04,2.26,2.26,2.26,2.26,14652
2002-03-05,2.26,2.26,2.26,2.26,4233
2002-03-06,2.26,2.26,2.26,2.26,20000
2002-03-08,2.26,2.26,2.26,2.26,20000
2002-03-11,2.26,2.26,2.26,2.26,30000
2002-03-19,2.22,2.26,2.26,2.22,51000
2002-03-20,2.26,2.26,2.26,2.26,20000
2002-03-26,2.26,2.26,2.26,2.26,213
2002-03-27,2.22,2.26,2.26,2.22,1201778
2002-04-02,2.25,2.26,2.26,2.25,1007483
2002-04-03,2.26,2.25,2.26,2.25,159972
2002-04-05,2.25,2.26,2.26,2.25,17244
2002-04-08,2.26,2.26,2.26,2.26,994
2002-04-11,2.25,2.26,2.26,2.25,600000
2002-04-12,2.26,2.26,2.26,2.26,62300
2002-04-18,2.25,2.26,2.26,2.25,200000
2002-04-23,2.26,2.26,2.26,2.26,49600
2002-04-24,2.22,2.22,2.22,2.22,50000
2002-04-25,2.22,2.22,2.22,2.22,4500
2002-04-29,2.22,2.22,2.22,2.22,12022
2002-05-07,2.26,2.26,2.26,2.26,21622
2002-05-15,2.26,2.26,2.26,2.26,14447
2002-05-20,2.26,2.26,2.26,2.26,1100
2002-05-22,2.26,2.26,2.26,2.26,889
2002-05-23,2.26,2.26,2.26,2.26,4920
2002-05-24,2.26,2.26,2.26,2.26,200
2002-06-07,2.26,2.26,2.26,2.26,1509
2002-06-11,2.26,2.26,2.26,2.26,2200
2002-06-12,2.26,2.26,2.26,2.26,4575
2002-06-14,2.27,2.27,2.27,2.27,2700
2002-06-17,2.27,2.27,2.27,2.27,4700
