Date,Open,Close,High,Low,Volume
2001-01-02,20.50,20.50,20.50,20.50,1000
2001-01-03,20.50,20.50,20.50,20.50,1000
2001-01-05,20.40,20.40,20.40,20.40,2000
2001-01-08,20.40,20.50,20.50,20.40,114000
2001-01-09,20.50,20.50,20.50,20.50,5000
2001-01-10,20.50,20.50,20.50,20.50,51704
2001-01-11,20.50,20.50,20.50,20.50,5000
2001-01-12,20.50,20.50,20.50,20.50,25000
2001-01-16,20.40,20.50,20.50,20.40,3000
2001-01-17,20.50,20.50,20.50,20.50,1000
2001-01-18,20.50,20.50,20.50,20.50,1000
2001-01-19,20.40,20.50,20.50,20.40,150000
2001-01-22,20.30,20.50,20.50,20.30,4000
2001-01-23,20.50,20.50,20.50,20.50,45700
2001-01-24,20.50,20.50,20.50,20.50,131300
2001-01-25,20.40,20.40,20.40,20.40,500
2001-01-26,20.40,20.40,20.40,20.40,200
2001-01-29,20.40,20.40,20.40,20.40,100
2001-01-30,20.40,20.00,20.40,20.00,300
2001-01-31,20.40,20.00,20.40,20.00,177000
2001-02-01,20.00,20.00,20.00,20.00,166000
2001-02-06,19.80,19.80,19.80,19.80,20000
2001-02-07,20.00,20.00,20.00,20.00,100
2001-02-08,20.00,20.00,20.00,20.00,100
2001-02-09,20.00,19.70,20.00,19.70,1100
2001-02-12,20.00,20.00,20.00,20.00,100
2001-02-13,19.70,19.70,19.70,19.70,3000
2001-02-14,19.70,19.80,19.80,19.70,45700
2001-02-15,19.90,19.90,19.90,19.90,100
2001-02-16,19.80,19.80,19.80,19.80,172
2001-02-21,20.00,20.00,20.00,20.00,100
2001-02-23,19.80,19.80,19.80,19.80,50000
2001-02-26,19.80,19.80,19.80,19.80,50000
2001-02-27,19.80,19.80,19.80,19.70,53800
2001-02-28,19.80,19.80,19.80,19.80,50000
2001-03-02,19.80,19.80,19.80,19.80,50000
2001-03-05,19.80,19.80,19.80,19.80,30000
2001-03-06,19.80,19.80,19.80,19.80,25100
2001-03-08,19.80,19.80,19.80,19.80,10000
2001-03-13,19.50,19.50,19.50,19.50,17000
2001-03-14,19.50,19.30,19.50,19.30,30000
2001-03-15,19.50,19.80,19.80,19.50,141000
2001-03-16,19.80,19.80,19.80,19.80,45400
2001-03-19,19.80,19.80,19.80,19.80,13600
2001-03-22,19.50,19.50,19.50,19.50,10000
2001-03-23,19.30,19.23,19.30,19.10,15000
2001-03-26,18.20,18.20,18.20,18.20,10000
2001-03-27,17.30,17.30,17.30,17.30,5000
2001-03-28,16.50,16.00,16.50,16.00,176000
2001-04-04,20.00,20.00,20.00,20.00,100
2001-04-06,20.00,20.00,20.00,20.00,100
2001-04-19,20.00,20.00,20.00,20.00,100
2001-04-20,19.80,19.80,19.80,19.80,7500
2001-04-23,19.80,19.80,19.80,19.80,12000
2001-04-25,19.80,19.80,19.80,19.80,13000
2001-04-26,19.80,19.80,19.80,19.80,102000
2001-04-27,19.50,19.50,19.50,19.50,10000
2001-04-30,19.50,19.50,19.50,19.50,6400
2001-05-03,19.50,19.50,19.50,19.50,2000
2001-05-08,19.70,19.70,19.70,19.70,100
2001-05-09,19.70,20.00,20.00,19.70,5000
2001-05-14,19.70,19.80,19.80,19.70,53000
2001-05-15,19.80,19.70,19.80,19.70,20500
2001-05-16,19.70,19.70,19.70,19.70,5000
2001-05-17,19.70,19.50,19.70,19.50,87700
2001-05-21,19.70,19.50,19.70,19.50,12900
2001-05-22,19.75,19.75,19.75,19.75,7000
