Date,Open,Close,High,Low,Volume
2001-01-02,8.50,8.50,8.50,8.50,23000
2001-01-05,7.40,7.40,7.40,7.40,2000
2001-01-09,6.56,6.56,6.56,6.56,90000
2001-01-11,7.30,7.30,7.30,7.30,5000
2001-01-16,7.50,7.50,7.50,7.50,2000
2001-01-17,7.50,7.50,7.50,7.50,1000
2001-01-22,7.30,7.30,7.30,7.30,18000
2001-01-24,7.07,7.30,7.40,7.07,33000
2001-01-25,7.50,7.80,7.80,7.50,8000
2001-01-26,8.00,8.00,8.00,8.00,63000
2001-01-31,8.00,8.00,8.00,8.00,4500
2001-02-01,8.05,8.05,8.05,8.05,9000
2001-02-06,8.10,8.12,8.12,8.00,125000
2001-02-07,8.12,8.12,8.12,8.12,20000
2001-02-12,8.12,8.12,8.12,8.12,58500
2001-02-15,8.06,8.00,8.12,8.00,27900
2001-02-16,8.14,8.20,8.20,8.13,67000
2001-02-20,8.50,8.50,8.50,8.50,1000
2001-02-21,8.48,8.48,8.48,8.48,22400
2001-03-02,8.50,8.50,8.50,8.50,60000
2001-03-05,8.55,8.55,8.55,8.55,42600
2001-03-06,9.00,9.00,9.00,9.00,86800
2001-03-08,8.29,8.29,8.29,8.29,27000
2001-03-09,8.30,8.30,8.30,8.30,5400
2001-03-12,8.30,8.30,8.30,8.30,23000
2001-03-20,8.00,8.00,8.00,8.00,800
2001-04-19,8.00,8.00,8.00,8.00,11000
2001-05-04,5.50,6.33,6.33,5.50,9900
2001-05-07,6.00,6.00,6.00,6.00,27000
2001-05-09,5.60,5.60,5.60,5.60,24000
2001-05-17,6.30,6.30,6.30,6.30,100
2001-05-30,6.30,6.50,6.50,6.30,7200
2001-06-01,7.48,7.48,7.48,7.48,3050
2001-06-07,7.47,7.47,7.47,7.47,1200
2001-06-19,7.18,7.18,7.18,7.18,36000
2001-07-02,7.18,7.18,7.18,7.18,3600
2001-07-05,7.10,7.00,7.18,7.00,83000
2001-07-12,7.15,7.32,7.32,7.05,85100
2001-07-13,7.30,7.30,7.30,7.30,9300
2001-08-01,7.31,7.31,7.31,7.31,100
2001-09-19,6.40,6.40,6.40,6.40,5000
2001-09-20,6.15,6.15,6.15,6.15,9000
2001-09-26,6.10,6.10,6.10,6.10,18000
2001-09-27,6.00,6.00,6.00,6.00,9000
2001-09-28,5.95,5.95,5.95,5.95,18000
2001-10-02,5.90,5.90,5.90,5.80,20000
2001-10-04,5.80,5.73,5.80,5.73,160000
2001-10-10,5.40,5.30,5.40,5.30,7200
2001-10-12,5.30,5.30,5.30,5.30,7200
2001-10-18,5.30,5.30,5.30,5.30,18800
2001-10-26,5.40,5.40,5.40,5.40,18000
2001-11-07,5.40,5.40,5.40,5.40,22200
2001-11-08,5.50,5.60,5.60,5.50,11000
2001-11-13,5.65,5.65,5.65,5.65,5000
2001-11-16,5.50,5.50,5.50,5.50,5000
2001-11-22,5.40,5.40,5.40,5.40,2000
2001-11-23,5.33,5.33,5.33,5.33,9000
2001-11-26,5.40,5.42,5.42,5.40,45550
2001-11-27,5.48,5.64,5.64,5.48,61200
2001-12-04,5.50,5.53,5.62,5.50,107100
2001-12-05,5.60,5.70,5.80,5.60,45100
2001-12-06,6.00,6.00,6.00,6.00,58000
2001-12-07,6.20,6.20,6.20,6.20,9000
2001-12-10,6.19,6.00,6.19,6.00,28900
2001-12-11,6.10,6.10,6.10,6.10,53600
2001-12-13,6.20,6.20,6.20,6.20,20000
2001-12-26,5.90,5.90,5.90,5.90,41500
2002-01-03,5.85,5.85,5.85,5.85,4900
2002-01-08,6.25,6.10,6.25,6.10,21700
2002-01-11,6.30,6.30,6.30,6.30,73000
2002-01-31,6.15,6.15,6.15,6.15,28000
2002-02-01,6.10,6.00,6.10,6.00,27000
2002-02-06,5.90,5.80,5.90,5.80,50000
2002-02-11,5.70,5.70,5.70,5.70,10000
2002-02-12,5.50,5.60,5.60,5.50,30000
2002-02-13,5.52,5.52,5.52,5.52,10000
2002-02-14,5.48,5.45,5.48,5.45,47000
2002-02-25,5.20,5.20,5.20,5.20,18900
2002-02-26,5.20,5.50,5.50,5.20,14100
2002-03-05,5.05,5.05,5.05,5.05,800
2002-03-07,5.60,5.60,5.60,5.60,200
2002-03-08,5.50,5.60,5.60,5.50,13500
2002-03-11,6.00,6.00,6.00,6.00,100
2002-03-22,5.50,5.50,5.50,5.50,132000
2002-03-27,5.49,5.50,5.50,5.49,46000
2002-04-02,5.50,5.50,5.50,5.50,2000
2002-04-04,5.90,5.90,5.90,5.90,3300
2002-04-12,5.95,5.95,5.95,5.95,20000
2002-04-19,5.95,5.95,5.95,5.95,18900
2002-04-25,5.93,5.93,5.93,5.93,3300
2002-04-26,5.94,5.94,5.94,5.94,5000
2002-05-17,5.10,5.10,5.10,5.10,40500
2002-05-20,5.15,5.22,5.25,5.15,98000
2002-05-24,5.25,5.25,5.25,5.25,37800
2002-05-27,5.25,5.25,5.25,5.25,15300
2002-05-29,5.18,5.18,5.18,5.18,3600
2002-06-25,3.20,3.13,3.20,3.12,928200
2002-06-26,3.13,3.10,3.13,3.10,39000
2002-06-28,3.50,3.40,3.50,3.40,134000
2002-07-05,3.88,3.85,3.90,3.85,95000
2002-07-11,3.77,3.85,3.85,3.77,86600
2002-07-16,3.86,3.86,3.86,3.86,342000
2002-07-17,3.88,3.88,3.88,3.88,1184000
2002-07-31,3.30,3.30,3.30,3.30,15800
2002-08-02,3.30,3.30,3.30,3.30,200
2002-08-06,3.35,3.35,3.35,3.35,3200
