Date,Open,Close,High,Low,Volume
2001-01-02,8.17,7.77,8.17,7.77,642230
2001-01-03,7.97,8.13,8.23,7.83,468632
2001-01-04,8.32,7.87,8.33,7.83,982104
2001-01-05,7.77,7.73,7.93,7.63,210971
2001-01-08,7.73,7.77,7.77,7.70,288100
2001-01-09,7.87,7.53,7.93,7.53,346332
2001-01-10,7.43,7.33,7.53,7.30,425073
2001-01-11,7.40,7.60,7.67,7.40,682219
2001-01-12,7.60,7.55,7.80,7.37,457042
2001-01-15,7.52,7.52,7.52,7.52,1018
2001-01-16,7.53,7.53,7.60,7.37,620146
2001-01-17,7.80,7.80,7.93,7.67,952000
2001-01-18,7.83,8.10,8.20,7.83,855254
2001-01-19,8.25,8.08,8.33,8.03,929069
2001-01-22,8.03,7.86,8.08,7.83,1262457
2001-01-23,7.87,7.80,8.17,7.73,930700
2001-01-24,7.73,7.54,7.80,7.50,702760
2001-01-25,7.54,7.73,7.80,7.54,312229
2001-01-26,7.79,7.98,8.00,7.79,467100
2001-01-29,8.13,7.85,8.17,7.83,428200
2001-01-30,7.98,8.07,8.13,7.98,578611
2001-01-31,8.02,8.36,8.53,8.02,1899800
2001-02-01,8.37,8.54,8.60,8.07,451009
2001-02-02,8.57,8.55,8.58,8.50,276800
2001-02-06,8.53,8.57,8.60,8.40,411722
2001-02-07,8.57,8.42,8.61,8.30,657600
2001-02-08,8.47,8.34,8.47,8.23,775420
2001-02-09,8.47,8.33,8.47,8.17,596700
2001-02-12,8.50,8.42,8.57,8.40,218300
2001-02-13,8.43,8.15,8.47,8.10,265100
2001-02-14,8.17,8.17,8.17,8.07,326000
2001-02-15,8.27,8.37,8.40,8.13,180600
2001-02-16,8.33,8.22,8.33,8.17,171968
2001-02-19,8.07,8.22,8.22,8.07,5000
2001-02-20,8.22,8.00,8.22,8.00,71900
2001-02-21,7.93,7.44,7.93,7.43,338900
2001-02-22,7.50,7.63,7.65,7.39,259400
2001-02-23,7.52,7.34,7.52,7.30,220500
2001-02-26,7.34,7.29,7.40,7.27,537393
2001-02-27,7.33,7.31,7.42,7.29,491100
2001-02-28,7.33,7.33,7.38,7.30,770500
2001-03-01,7.33,7.57,7.57,7.33,295100
2001-03-02,7.58,7.75,7.76,7.58,246500
2001-03-05,7.75,7.58,7.83,7.58,218900
2001-03-06,7.77,7.79,7.83,7.75,1237703
2001-03-07,7.97,7.93,7.97,7.80,160800
2001-03-08,7.90,7.94,7.98,7.80,768500
2001-03-09,7.86,7.87,7.94,7.86,149700
2001-03-12,7.80,7.40,7.80,7.40,254200
2001-03-13,7.41,7.53,7.53,7.33,253400
2001-03-14,7.43,7.48,7.50,7.30,612000
2001-03-15,7.48,7.43,7.67,7.37,389800
2001-03-16,7.40,7.50,7.50,7.33,357400
2001-03-19,7.40,7.63,7.63,7.40,146200
2001-03-20,7.73,7.50,7.73,7.50,223600
2001-03-22,7.43,7.32,7.43,7.13,181200
2001-03-23,7.27,7.23,7.28,7.13,189900
2001-03-26,7.27,7.11,7.33,7.10,115100
2001-03-27,7.17,7.17,7.33,7.10,292300
2001-03-28,7.16,6.93,7.16,6.92,283800
2001-03-29,6.93,6.73,6.93,6.72,612750
2001-03-30,6.73,6.77,7.00,6.72,380500
2001-04-02,6.77,6.84,6.89,6.77,540800
2001-04-03,6.82,6.67,6.82,6.62,362400
2001-04-04,6.57,6.62,6.67,6.57,252541
2001-04-05,6.78,6.79,6.83,6.73,199152
2001-04-06,6.67,6.87,6.87,6.53,409952
2001-04-09,6.87,6.60,6.87,6.58,296100
2001-04-10,6.75,6.87,6.93,6.75,248300
2001-04-11,6.90,6.83,6.93,6.77,183900
2001-04-16,6.83,6.73,6.83,6.73,153200
2001-04-17,6.73,6.82,6.83,6.63,417800
2001-04-18,6.87,7.12,7.17,6.87,1925600
2001-04-19,7.12,6.93,7.23,6.90,550148
2001-04-20,6.93,6.93,7.13,6.80,429200
