Date,Open,Close,High,Low,Volume
2010-10-07,15.76,15.76,16.00,15.75,5992100
2010-10-08,15.62,15.62,15.70,15.60,2228700
2010-10-11,15.68,15.68,15.70,15.40,1016300
2010-10-12,15.63,15.63,15.68,15.50,399400
2010-10-13,15.44,15.44,15.60,15.34,627200
2010-10-14,15.18,15.18,15.43,14.90,126600
2010-10-15,14.80,14.80,15.35,14.80,13100
2010-10-18,14.80,14.50,14.80,14.50,32064
2010-10-19,14.50,14.50,14.80,14.50,31900
2010-10-20,14.30,14.30,14.52,14.00,152500
2010-10-21,14.28,14.28,14.35,14.00,173900
2010-10-22,14.44,14.44,14.50,14.30,300300
2010-10-25,14.94,14.94,14.95,14.84,131400
2010-10-26,14.94,14.94,14.95,14.94,42700
2010-10-27,14.80,14.80,14.85,14.80,4400
2010-10-28,14.80,14.80,15.00,14.50,217000
2010-11-01,14.59,14.59,14.80,14.30,78400
2010-11-03,14.54,14.54,14.60,14.30,739300
2010-11-04,14.46,14.46,14.50,14.01,390300
2010-11-05,14.21,14.21,14.45,14.11,70900
2010-11-08,14.11,14.11,14.15,14.11,20300
2010-11-09,14.10,14.10,14.20,14.00,37800
2010-11-10,14.09,14.09,14.09,14.09,10300
2010-11-11,14.00,14.00,14.10,14.00,10300
2010-11-12,14.00,14.00,14.30,14.00,40700
2010-11-16,13.99,13.99,13.99,13.80,2000
2010-11-19,13.79,13.79,14.00,13.50,140800
2010-11-22,13.76,13.76,13.80,13.51,168700
2010-11-23,14.20,14.20,14.72,13.75,119600
2010-11-24,14.43,14.43,14.49,14.20,204200
2010-11-25,14.49,14.49,14.49,14.15,12300
2010-11-26,14.75,14.75,14.75,14.40,169600
2010-11-29,14.65,14.65,14.80,14.65,79700
2010-11-30,14.50,14.50,14.65,14.50,677300
2010-12-01,14.85,14.85,14.90,14.55,2158800
2010-12-02,15.20,15.20,15.25,14.80,631000
2010-12-03,15.71,15.71,15.95,15.05,163500
2010-12-06,15.92,15.92,15.98,15.55,195800
2010-12-07,15.90,15.90,16.00,15.58,539700
2010-12-08,15.60,15.60,16.00,15.47,903700
2010-12-09,15.89,15.86,15.95,15.25,193100
2010-12-10,15.92,15.92,15.95,15.79,335900
2010-12-13,16.00,15.84,16.00,15.80,172200
2010-12-14,16.00,16.00,16.00,15.81,503900
2010-12-15,15.92,15.92,16.00,15.80,152400
2010-12-16,15.90,15.90,16.00,15.80,84300
2010-12-17,15.99,15.99,16.00,15.80,334300
2010-12-20,15.87,15.87,16.00,15.75,38200
2010-12-21,15.80,15.80,15.90,15.75,210400
2010-12-22,15.94,15.94,16.05,15.75,246700
2010-12-23,15.95,15.95,15.95,15.71,80800
2010-12-24,15.98,15.98,16.20,15.91,67600
2010-12-27,15.97,15.97,16.05,15.90,71900
2010-12-28,16.01,16.01,16.10,15.97,669800
2010-12-29,16.01,16.01,16.10,15.85,195300
2010-12-30,16.10,16.10,16.11,16.00,458000
2010-12-31,16.50,16.50,16.70,16.14,398400
2011-01-03,16.16,16.16,16.50,15.90,368100
2011-01-04,16.00,16.00,16.16,15.98,125600
2011-01-05,16.07,16.07,16.10,15.85,155400
2011-01-06,16.00,16.00,16.10,15.75,4400
2011-01-07,16.02,16.02,16.08,15.80,183500
2011-01-10,15.96,15.96,16.10,15.80,108400
2011-01-11,15.99,15.99,16.17,15.75,38600
2011-01-12,15.95,15.95,16.00,15.80,28500
2011-01-13,16.03,16.03,16.09,15.90,130200
2011-01-14,16.00,16.00,16.00,15.90,43700
2011-01-17,16.00,16.00,16.00,15.80,15200
2011-01-18,15.96,15.96,16.05,15.80,322500
2011-01-19,15.90,15.90,16.05,15.83,127200
2011-01-20,15.80,15.80,15.95,15.61,49400
2011-01-21,15.65,15.65,15.80,15.50,292100
2011-01-24,15.68,15.68,15.70,15.50,18900
2011-01-25,15.89,15.89,15.89,15.65,76500
2011-01-26,15.83,15.83,16.00,15.70,124900
2011-01-27,15.80,15.80,15.85,15.80,166500
2011-01-28,15.88,15.88,15.88,15.69,75800
2011-01-31,15.85,15.85,16.00,15.66,85800
2011-02-01,15.88,15.88,16.00,15.70,164100
2011-02-02,15.96,15.96,16.00,15.70,26500
2011-02-03,15.90,15.90,16.00,15.75,73600
2011-02-04,16.00,16.00,16.00,15.85,65200
2011-02-08,15.85,15.85,16.00,15.66,95300
2011-02-09,16.10,15.90,16.10,15.50,85376
2011-02-10,15.82,15.82,15.90,15.70,58300
2011-02-11,15.85,15.85,15.90,15.70,13000
2011-02-14,15.85,15.85,16.00,15.85,73400
2011-02-15,15.56,15.56,16.00,15.56,32100
2011-02-16,15.87,15.87,15.98,15.55,29100
2011-02-17,15.98,15.98,15.98,15.75,21900
2011-02-18,15.90,15.90,15.99,15.70,144200
2011-02-21,15.97,15.97,16.00,15.77,26400
2011-02-22,15.86,15.86,16.00,15.70,43500
2011-02-23,15.94,15.94,16.00,15.52,206800
2011-02-24,15.80,15.80,16.00,15.70,12800
2011-02-25,15.96,15.96,16.00,15.80,70300
2011-02-28,15.87,15.87,15.90,15.51,16600
2011-03-01,15.60,15.79,16.00,15.56,44510
2011-03-02,15.64,15.64,15.79,15.62,44900
2011-03-03,15.79,15.79,15.80,15.74,39300
2011-03-04,16.00,16.00,16.10,15.51,1216600
2011-03-07,15.99,15.99,16.00,15.88,87200
2011-03-08,15.97,15.97,16.19,15.80,121800
2011-03-09,16.00,16.00,16.05,15.90,121500
2011-03-10,16.09,16.09,16.15,15.50,239600
2011-03-11,15.99,15.99,16.10,15.61,106200
2011-03-14,15.96,15.96,16.10,15.60,53400
2011-03-15,15.93,15.93,16.00,15.56,248000
2011-03-16,15.82,15.82,16.10,15.62,57100
2011-03-17,15.63,15.63,16.00,15.55,144200
2011-03-18,15.88,15.88,15.90,15.63,46500
2011-03-22,16.00,16.00,16.00,15.60,59900
2011-03-23,16.00,16.00,16.00,15.55,55500
2011-03-24,16.10,15.97,16.10,15.70,71000
2011-03-25,15.97,15.97,16.10,15.70,71000
2011-03-28,15.88,15.88,15.90,15.59,30400
2011-03-29,15.71,15.71,15.98,15.60,204100
2011-03-30,15.80,15.80,15.90,15.70,69300
2011-03-31,15.83,15.83,15.94,15.50,134000
2011-04-01,15.71,15.71,15.90,15.60,46300
2011-04-04,15.71,15.80,15.85,15.55,41600
2011-04-05,15.80,15.80,15.85,15.55,41600
2011-04-06,15.70,15.70,15.85,15.65,45800
2011-04-07,15.65,15.65,15.75,15.45,74200
2011-04-08,15.55,15.55,15.75,15.50,6800
2011-04-11,15.45,15.45,15.58,15.35,61100
2011-04-12,15.45,15.40,15.53,15.40,124850
2011-04-13,15.40,15.40,15.53,15.40,124800
2011-04-14,15.50,15.50,15.57,15.48,53900
2011-04-15,15.70,15.70,15.85,15.65,60600
2011-04-18,15.70,15.70,15.83,15.35,26600
2011-04-19,15.80,15.80,15.82,15.41,115300
2011-04-20,15.81,15.81,15.85,15.51,23900
2011-04-25,15.76,15.76,15.85,15.50,67500
2011-04-26,15.83,15.83,15.85,15.52,57000
2011-04-27,15.80,15.80,15.85,15.51,118900
2011-04-28,15.65,15.65,15.80,15.65,71500
2011-04-29,15.75,15.75,15.75,15.55,73000
2011-05-02,15.61,15.61,15.79,15.56,25200
2011-05-03,15.39,15.39,15.55,15.39,62000
2011-05-04,15.50,15.50,15.50,15.25,48000
2011-05-05,15.75,15.75,15.75,15.55,73000
2011-05-06,15.50,15.50,15.50,15.25,36200
2011-05-09,15.50,15.73,15.79,15.25,113100
2011-05-10,15.73,15.73,15.79,15.25,113100
2011-05-11,15.62,15.62,15.75,15.40,99000
2011-05-12,15.70,15.75,15.89,15.25,86100
2011-05-13,15.68,15.68,15.80,15.25,268800
2011-05-16,15.60,15.54,15.65,15.34,106300
2011-05-17,15.58,15.58,15.65,15.35,110200
2011-05-18,15.60,15.60,15.65,15.40,18200
2011-05-19,15.63,15.63,15.69,15.40,24600
2011-05-20,15.63,15.63,15.70,15.40,31600
2011-05-23,15.61,15.61,15.65,15.37,62300
2011-05-24,15.17,15.17,15.64,15.13,63000
2011-05-25,15.33,15.33,15.35,15.27,6800
2011-05-26,15.36,15.10,15.36,15.10,24743
2011-05-27,15.43,15.43,15.50,15.02,27900
2011-05-30,15.60,15.60,15.60,15.10,7000
2011-05-31,15.37,15.37,15.59,15.11,35200
2011-06-01,15.15,15.15,15.55,15.10,15300
2011-06-02,15.06,15.06,15.15,15.01,62400
2011-06-03,15.10,15.10,15.10,15.00,21000
2011-06-06,14.80,14.80,15.15,14.80,13100
2011-06-07,15.00,15.00,15.00,14.75,79800
2011-06-08,14.99,14.99,15.00,14.61,113400
2011-06-09,15.00,15.00,15.00,14.60,124800
2011-06-10,14.97,14.97,15.00,14.85,32800
2011-06-13,14.95,14.95,15.15,14.80,10400
2011-06-14,15.09,15.09,15.14,14.80,42000
2011-06-15,15.02,15.02,15.10,14.70,46700
2011-06-16,14.97,14.97,15.15,14.63,90800
2011-06-17,14.85,14.85,15.00,14.72,26000
2011-06-20,14.94,14.75,14.94,14.75,41200
2011-06-21,14.72,15.00,15.00,14.72,8600
2011-06-22,15.00,15.16,15.16,14.90,102700
2011-06-23,15.21,15.00,15.21,14.90,94500
2011-06-24,14.93,14.93,15.00,14.73,65200
2011-06-27,14.75,15.15,15.15,14.75,3200
2011-06-28,15.25,14.90,15.25,14.81,31000
2011-06-29,14.99,14.76,15.00,14.76,78700
2011-06-30,14.71,14.71,14.85,14.71,105000
2011-07-01,14.71,14.61,14.80,14.60,127800
2011-07-04,14.51,14.80,14.80,14.51,80000
2011-07-05,14.55,14.60,14.78,14.55,297100
2011-07-06,14.55,14.90,14.90,14.55,35500
2011-07-07,14.99,14.99,14.99,14.51,14400
2011-07-08,14.90,14.90,14.97,14.57,51821
2011-07-11,14.98,14.70,14.98,14.70,18900
