Date,Open,Close,High,Low,Volume
2001-12-14,16.51,16.90,17.02,16.50,217100
2001-12-17,16.94,17.02,17.10,16.88,410500
2001-12-18,17.55,17.63,18.00,17.55,52400
2001-12-19,17.63,17.25,17.63,17.25,426300
2001-12-20,17.25,17.07,17.63,16.88,135500
2001-12-21,17.07,17.07,17.10,17.07,43200
2001-12-24,17.40,17.63,17.85,17.40,4000
2001-12-26,17.63,17.63,17.63,17.63,4900
2001-12-27,17.55,17.10,17.55,17.10,32500
2001-12-28,17.33,17.32,17.33,17.29,15600
2002-01-02,16.88,16.73,16.88,16.73,34100
2002-01-03,16.73,16.80,16.80,16.73,13800
2002-01-04,16.73,16.54,16.73,16.50,43100
2002-01-07,16.43,16.97,17.25,16.43,2600
2002-01-08,16.98,16.80,16.98,16.50,322800
2002-01-09,16.88,16.50,16.88,16.50,691000
2002-01-10,16.58,16.80,16.80,16.58,4300
2002-01-11,16.73,16.80,16.88,16.65,366600
2002-01-14,16.80,16.65,16.80,16.65,196100
2002-01-15,16.79,16.67,16.80,16.65,102100
2002-01-16,16.65,16.67,16.73,16.65,110100
2002-01-17,16.67,16.27,16.67,16.27,256500
2002-01-18,16.88,16.43,16.88,16.27,322900
2002-01-21,16.43,16.35,16.43,16.35,12600
2002-01-22,16.88,16.35,16.88,16.35,366200
2002-01-23,16.50,16.44,16.58,16.43,243100
2002-01-24,16.88,16.43,16.88,16.43,929772
2002-01-25,16.43,16.84,16.91,16.43,73500
2002-01-28,17.18,16.73,17.25,16.65,164800
2002-01-29,16.65,16.58,16.65,16.43,293500
2002-01-30,16.58,16.50,16.58,16.50,6900
2002-01-31,16.50,16.70,16.73,16.50,28800
2002-02-01,16.50,16.50,16.50,16.40,307400
2002-02-04,16.50,16.43,16.50,16.43,39900
2002-02-06,16.43,16.43,16.50,16.43,71800
2002-02-07,16.50,16.49,16.50,16.43,159600
2002-02-08,16.43,16.43,16.43,16.43,162500
2002-02-11,16.35,16.36,16.43,16.35,6100
2002-02-12,16.71,16.36,16.71,16.36,27500
2002-02-13,16.71,16.50,16.71,16.50,26000
2002-02-14,16.80,16.50,16.80,16.50,7800
2002-02-15,16.71,16.35,16.71,16.35,159500
2002-02-18,16.73,16.35,16.73,16.35,600
2002-02-19,16.73,16.55,16.73,16.35,134500
2002-02-20,16.80,16.88,16.88,16.55,168600
2002-02-21,16.73,16.69,16.79,16.68,152400
2002-02-22,16.65,16.61,16.69,16.50,1184500
2002-02-25,16.65,16.88,16.95,16.58,658000
2002-02-26,16.88,16.90,17.00,16.88,129600
2002-02-27,17.25,17.12,17.25,16.88,140700
2002-02-28,17.18,16.76,17.24,16.75,319600
2002-03-01,17.21,16.80,17.21,16.80,14800
2002-03-04,17.23,17.15,17.25,16.88,520100
2002-03-05,17.25,17.14,17.48,17.10,189100
2002-03-06,17.48,16.98,17.48,16.80,59400
2002-03-07,16.98,16.35,17.39,16.34,17800
2002-03-08,16.88,16.95,17.02,16.36,185200
2002-03-11,17.18,16.76,17.25,16.76,78300
2002-03-12,16.60,16.64,16.65,16.60,39300
2002-03-13,16.48,16.35,16.48,16.35,90704
2002-03-14,16.43,17.20,17.25,16.35,627700
2002-03-15,17.10,17.07,17.10,16.50,12300
2002-03-18,16.51,16.86,16.88,16.51,2178
2002-03-19,16.86,16.80,16.86,16.80,26600
2002-03-20,16.80,16.43,16.80,16.43,131200
2002-03-22,16.43,16.20,16.43,16.20,112900
2002-03-25,16.35,16.43,16.50,16.35,24100
2002-03-26,16.43,16.67,17.21,16.43,49900
2002-03-27,16.73,16.95,16.95,16.73,37000
2002-04-01,16.27,16.27,16.27,16.27,2100
2002-04-02,16.27,16.35,16.43,16.27,42700
2002-04-03,16.35,16.20,16.35,16.19,69700
2002-04-04,16.35,16.20,16.35,16.20,64900
2002-04-05,16.93,16.18,16.93,16.18,292400
2002-04-08,16.18,16.18,16.18,16.18,10400
2002-04-09,16.18,16.15,16.18,16.15,61700
2002-04-10,16.15,16.04,16.16,16.01,26600
2002-04-11,15.83,15.65,16.04,15.53,25000
2002-04-12,15.65,16.70,16.95,15.65,81500
2002-04-15,16.70,16.64,16.70,16.43,63610
2002-04-16,16.58,16.49,16.58,16.49,1600
2002-04-17,16.49,16.13,16.49,16.13,34039
2002-04-18,16.13,16.07,16.13,15.75,2949
2002-04-19,15.98,16.05,16.07,15.98,10000
2002-04-22,16.04,16.04,16.05,16.04,70400
2002-04-23,16.04,16.04,16.04,16.04,30100
2002-04-24,16.04,15.84,16.04,15.83,17800
2002-04-25,16.04,15.79,16.04,15.75,47700
2002-04-26,15.75,15.74,15.79,15.60,16700
2002-04-29,15.74,15.41,15.74,15.41,101657
2002-04-30,15.29,15.33,15.34,15.15,371100
2002-05-02,15.33,15.30,15.33,15.15,82000
2002-05-03,15.30,15.29,15.30,15.00,34200
2002-05-06,15.68,15.26,15.68,15.26,12529
2002-05-07,15.29,15.15,15.29,15.08,23918
2002-05-08,15.15,15.13,15.15,15.11,13700
2002-05-09,15.13,15.03,15.13,15.00,1025200
2002-05-10,15.03,15.07,15.08,15.00,143400
2002-05-13,15.07,15.03,15.07,15.00,24900
2002-05-14,15.03,15.03,15.03,15.00,31500
2002-05-15,15.03,15.02,15.03,15.00,18900
2002-05-16,15.03,14.93,15.03,14.93,37754
2002-05-17,14.93,15.74,15.75,14.93,1009200
2002-05-20,16.13,16.49,16.50,15.75,40900
2002-05-21,16.49,16.49,16.50,16.49,108600
2002-05-22,16.49,16.31,16.49,16.31,36200
2002-05-23,16.31,16.31,16.31,16.31,49200
2002-05-24,16.27,16.25,16.27,16.13,1300
2002-05-27,16.25,16.26,16.27,16.25,1000
2002-05-28,16.31,16.19,16.31,16.04,74400
2002-05-29,16.20,16.01,16.20,15.75,54200
2002-05-30,16.05,15.92,16.05,15.83,62000
2002-05-31,15.00,15.71,15.92,15.00,570200
2002-06-03,16.05,15.55,16.05,15.38,25400
2002-06-04,15.45,15.45,15.45,15.45,26700
2002-06-05,15.45,15.45,15.45,15.44,7800
2002-06-06,15.68,15.44,15.68,15.44,24300
2002-06-07,15.45,15.38,15.45,15.38,6500
2002-06-10,15.38,15.05,15.38,15.00,34000
2002-06-11,15.05,14.90,15.05,14.89,17400
2002-06-12,14.90,14.96,15.05,14.90,256100
2002-06-13,14.96,15.07,15.08,14.96,5600
2002-06-14,15.07,15.06,15.18,14.89,9000
2002-06-17,15.29,15.05,15.29,15.00,2300
2002-06-18,15.00,15.05,15.05,15.00,29300
2002-06-19,15.05,15.05,15.05,15.05,2300
2002-06-20,15.00,15.26,15.33,15.00,118200
2002-06-21,15.23,15.08,15.23,15.04,23200
2002-06-24,15.07,15.08,15.08,15.00,11300
2002-06-25,15.11,15.14,15.15,15.00,356400
2002-06-26,15.15,15.15,15.23,15.00,18400
2002-06-27,15.22,15.22,15.23,15.00,413800
2002-06-28,15.22,15.55,15.75,15.22,20700
2002-07-01,15.55,15.75,15.75,15.55,7000
2002-07-02,15.75,15.75,15.75,15.75,20900
2002-07-03,15.86,15.83,15.86,15.83,12200
2002-07-04,15.90,15.90,16.05,15.75,24800
2002-07-05,16.10,15.75,16.10,15.75,35800
2002-07-08,15.98,15.75,15.98,15.75,43000
2002-07-09,15.75,15.75,15.75,15.26,32000
2002-07-10,15.75,15.90,15.98,15.75,19100
2002-07-11,15.98,15.90,15.98,15.90,71600
2002-07-12,15.90,15.68,15.90,15.60,1700
2002-07-15,15.83,15.67,15.83,15.67,30700
2002-07-16,15.67,15.44,15.67,15.15,91727
2002-07-17,15.68,15.62,15.68,15.46,38800
2002-07-18,15.67,15.92,16.27,15.66,267037
2002-07-19,16.27,16.13,16.27,16.13,170400
2002-07-22,16.27,16.13,16.27,15.98,493500
2002-07-23,15.90,15.89,15.90,15.89,20500
2002-07-24,15.89,15.80,15.89,15.38,16000
2002-07-25,15.68,15.38,15.68,15.38,8500
2002-07-26,15.38,15.38,15.60,15.38,27000
2002-07-29,15.75,15.71,15.75,15.71,28400
2002-07-30,15.75,15.71,15.75,15.08,57300
2002-07-31,15.71,15.25,15.71,15.08,36600
2002-08-01,15.25,15.18,15.71,15.08,14100
2002-08-02,15.08,15.12,15.18,15.08,441300
2002-08-05,15.12,15.12,15.12,15.12,10100
2002-08-06,15.12,15.11,15.12,15.11,18807
2002-08-07,15.11,15.11,15.11,15.11,1000
2002-08-08,15.11,15.20,15.34,15.11,1900
2002-08-09,15.20,15.38,15.38,15.19,31200
2002-08-12,15.37,15.41,15.53,15.37,27800
2002-08-13,15.60,15.60,15.60,15.60,9500
2002-08-14,15.74,15.74,15.75,15.74,13000
2002-08-15,15.75,15.75,15.86,15.75,142200
2002-08-16,15.97,16.25,16.34,15.97,51800
2002-08-19,16.34,16.41,16.42,16.34,88300
2002-08-20,16.27,16.49,16.50,16.27,2258322
2002-08-21,16.50,16.49,16.50,16.49,43600
2002-08-22,16.50,16.35,16.50,16.35,1026700
2002-08-23,16.43,16.34,16.43,16.34,3800
2002-08-26,16.34,16.33,16.34,16.33,13800
2002-08-27,16.35,16.20,16.39,16.20,139100
2002-08-28,16.13,15.24,16.13,15.00,132900
2002-08-29,15.75,15.23,15.75,15.00,26076
2002-08-30,15.00,15.68,15.75,15.00,24800
2002-09-02,15.83,15.00,15.83,15.00,1200
2002-09-03,15.00,15.08,15.08,15.00,59500
2002-09-04,15.06,14.98,15.08,14.98,446000
2002-09-05,15.00,14.89,15.00,14.89,3100
2002-09-06,14.85,14.62,14.89,14.62,20454
2002-09-09,14.96,14.25,14.96,14.25,1900
2002-09-10,14.54,14.09,14.54,14.06,30800
2002-09-11,14.06,14.17,14.25,14.06,18963
2002-09-12,14.16,14.12,14.55,14.06,631100
2002-09-13,14.12,14.25,14.25,14.12,2100
2002-09-17,14.25,14.18,14.25,14.18,200
2002-09-18,14.18,13.96,14.18,13.95,36500
2002-09-19,13.88,13.31,13.88,12.75,4200
2002-09-20,13.65,13.65,13.73,13.31,46900
2002-09-23,13.64,13.64,13.64,13.64,1000
2002-09-24,13.61,13.57,13.62,12.79,2100
2002-09-25,13.59,13.58,13.59,13.57,50031
2002-09-26,14.06,13.88,14.06,13.88,7200
2002-09-27,14.03,13.88,14.03,13.88,24600
2002-09-30,13.88,14.15,14.25,13.88,11400
2002-10-01,14.40,14.56,14.60,14.25,12600
2002-10-02,14.60,14.08,14.60,14.03,46100
2002-10-03,14.25,14.03,14.63,14.03,63300
2002-10-04,14.03,14.01,14.24,13.99,40000
2002-10-07,14.02,14.25,14.26,14.02,10500
2002-10-08,14.25,14.15,14.25,13.84,5500
2002-10-09,14.15,14.15,14.15,14.15,1143
2002-10-10,14.25,13.65,14.25,13.65,6100
2002-10-11,13.73,13.71,13.73,13.65,5400
2002-10-14,13.65,13.65,13.65,13.65,400
2002-10-15,13.65,14.63,14.93,13.65,68700
2002-10-16,14.89,14.63,14.93,14.63,27700
2002-10-17,14.93,14.89,14.93,14.63,8700
2002-10-18,14.89,14.85,15.15,14.85,11000
2002-10-21,14.85,15.04,15.15,14.85,1800
2002-10-22,15.04,15.15,15.15,15.00,100600
2002-10-23,15.15,15.21,15.23,15.15,32127
2002-10-24,15.23,15.02,15.31,14.99,115900
2002-10-25,15.02,15.15,15.15,15.02,45922
2002-10-28,15.37,15.00,15.37,15.00,27127
2002-10-29,15.30,14.99,15.30,14.85,4200
2002-10-30,14.63,14.66,14.70,14.63,34200
2002-10-31,15.14,14.48,15.14,14.48,44419
2002-11-01,14.48,14.48,14.48,14.48,1500
2002-11-04,14.48,13.80,14.48,13.79,13900
2002-11-05,13.80,13.09,13.80,12.93,366000
2002-11-06,13.13,13.10,13.50,13.10,66900
2002-11-07,13.10,12.83,13.50,12.83,55900
2002-11-08,12.83,12.83,13.10,12.83,8200
2002-11-11,12.75,12.60,12.83,12.60,48100
2002-11-12,12.75,12.80,13.20,12.60,43600
2002-11-13,12.80,12.60,12.80,12.60,16500
2002-11-14,12.60,13.10,13.11,12.60,22000
2002-11-15,13.11,12.90,13.13,12.90,18400
2002-11-18,12.83,12.69,12.83,12.60,38400
2002-11-19,12.60,12.00,12.60,12.00,11700
2002-11-21,12.00,11.44,12.00,11.43,265500
2002-11-22,11.44,11.90,12.00,11.06,314983
2002-11-25,11.90,12.24,12.90,11.90,104944
2002-11-26,12.24,12.59,12.60,12.15,177341
2002-11-27,12.75,13.10,13.13,12.60,106800
2002-11-28,13.20,13.25,13.34,13.13,23200
2002-11-29,13.40,14.09,14.18,13.40,38300
2002-12-02,14.25,13.85,14.36,13.80,32500
2002-12-03,13.80,13.69,13.84,13.50,6700
2002-12-04,13.69,13.50,13.88,13.49,26200
2002-12-05,13.50,13.05,13.50,13.05,5639
2002-12-06,13.35,12.67,13.35,12.60,20800
2002-12-09,12.60,12.35,12.60,12.15,27450
2002-12-10,12.23,11.93,12.23,11.85,133250
2002-12-11,12.00,11.99,12.08,11.98,196680
2002-12-13,11.78,12.02,12.08,11.78,22200
2002-12-16,12.00,11.96,12.00,11.96,21200
2002-12-17,12.20,11.26,12.20,11.25,69400
2002-12-18,11.63,12.12,12.15,11.63,138900
2002-12-19,12.38,13.33,13.50,12.38,115300
2002-12-20,12.98,13.13,13.20,12.94,109100
2002-12-23,13.88,14.25,14.33,13.88,416000
2002-12-24,14.63,14.40,14.63,14.33,31000
2002-12-26,14.40,14.57,14.78,14.40,86000
2002-12-27,14.57,14.44,14.63,14.40,15458
2002-12-30,14.33,14.48,14.48,14.33,106100
2002-12-31,14.48,15.00,15.08,14.48,519300
2003-01-02,15.00,15.00,15.00,15.00,12000
2003-01-03,15.29,14.99,15.29,14.99,2000
2003-01-06,14.74,14.37,14.74,14.25,136000
2003-01-07,14.18,14.12,14.25,14.03,212000
2003-01-08,14.10,14.08,14.10,13.88,13000
2003-01-09,14.25,14.17,14.25,14.03,24200
2003-01-10,14.21,14.03,14.21,14.03,68000
2003-01-13,14.03,13.16,14.03,13.13,63700
2003-01-14,13.16,12.86,13.16,12.83,840200
2003-01-15,12.86,12.76,12.98,12.60,42000
2003-01-16,12.85,12.74,12.85,12.60,231527
2003-01-17,12.74,12.38,12.74,12.38,136100
2003-01-20,12.38,12.35,12.53,12.15,16900
2003-01-21,12.38,12.28,12.53,12.23,659000
2003-01-22,12.27,12.28,12.30,12.26,325658
2003-01-23,12.08,12.14,12.27,12.08,27000
2003-01-24,12.14,12.07,12.19,12.00,37300
2003-01-27,11.93,11.63,11.93,11.63,192515
2003-01-28,11.63,11.25,11.63,11.25,163479
2003-01-29,11.21,11.25,11.33,11.14,807400
2003-01-30,11.33,11.25,11.40,11.18,167100
2003-01-31,11.24,11.11,11.30,10.73,1510600
2003-02-03,11.12,11.33,11.33,11.11,343436
2003-02-04,11.33,11.48,11.48,11.33,35200
2003-02-06,11.99,11.48,11.99,11.47,26000
2003-02-07,11.48,11.48,11.48,11.40,21954
2003-02-10,11.48,11.63,11.63,11.45,26200
2003-02-11,11.63,11.48,11.63,11.46,58412
2003-02-12,11.48,11.53,11.85,11.33,77712
2003-02-13,11.66,11.65,11.66,11.54,25500
2003-02-14,11.65,11.84,11.85,11.65,19000
2003-02-17,11.99,11.99,12.00,11.84,53000
2003-02-18,12.08,12.10,12.10,12.04,28700
2003-02-19,12.23,12.18,12.23,12.08,15500
2003-02-20,12.38,12.15,12.38,12.08,47900
2003-02-21,12.15,12.20,12.20,12.15,104900
2003-02-24,12.30,12.00,12.30,12.00,60000
2003-02-25,12.00,12.00,12.00,12.00,6000
2003-02-26,11.99,12.11,12.19,11.99,75000
2003-02-27,12.15,12.15,12.17,12.11,207378
2003-02-28,12.23,12.21,12.23,12.21,27000
2003-03-03,12.19,12.27,12.28,12.18,96418
2003-03-04,12.26,12.26,12.26,12.26,15000
2003-03-05,12.26,12.26,12.38,12.26,20000
2003-03-06,12.25,12.26,12.26,12.25,7200
2003-03-07,12.15,12.23,12.23,12.08,18000
2003-03-10,12.19,12.19,12.19,12.19,2000
2003-03-11,12.15,12.11,12.23,12.08,14700
2003-03-12,12.10,12.10,12.10,12.10,23400
2003-03-13,12.11,12.10,12.11,12.10,6700
2003-03-14,12.10,12.26,12.26,12.10,32100
2003-03-17,12.38,12.42,12.43,12.38,66121
2003-03-18,12.38,12.42,12.46,12.00,72000
2003-03-19,12.45,12.45,12.48,12.38,49000
2003-03-20,12.44,12.50,12.50,12.44,44831
2003-03-24,12.45,12.44,12.45,12.44,54500
2003-03-25,12.45,12.32,12.49,12.32,15100
2003-03-26,12.30,12.34,12.34,12.30,3000
2003-03-27,12.35,12.37,12.38,12.30,42000
2003-03-28,12.44,12.44,12.44,12.38,5000
2003-03-31,12.44,12.34,12.44,12.26,21000
2003-04-01,12.34,12.45,12.45,12.08,120000
2003-04-02,12.45,12.21,12.45,12.15,34200
2003-04-03,12.41,12.41,12.41,12.41,3000
2003-04-04,12.41,12.44,12.45,12.41,771000
2003-04-07,12.45,12.45,12.48,12.38,27500
2003-04-08,12.45,12.53,12.58,12.41,62800
2003-04-09,12.53,12.60,12.60,12.45,103000
2003-04-10,12.41,12.45,12.45,12.41,44100
2003-04-11,12.60,12.60,12.76,12.53,41000
2003-04-14,12.59,12.59,12.59,12.59,10000
2003-04-15,12.49,12.59,12.60,12.45,58700
2003-04-16,12.68,12.65,12.75,12.53,39600
2003-04-21,12.83,12.68,12.83,12.53,18000
2003-04-22,12.83,12.68,12.83,12.68,3400
