Date,Open,Close,High,Low,Volume
2011-04-14,31.50,30.72,31.50,30.10,7956190
2011-04-15,30.65,30.65,30.76,30.38,5675700
2011-04-18,30.51,30.51,30.60,29.95,3463900
2011-04-19,30.56,30.56,30.60,30.16,5260800
2011-04-20,30.57,30.57,30.70,30.00,1741800
2011-04-25,30.46,30.46,30.60,30.24,1088800
2011-04-26,30.42,30.42,30.50,30.25,750100
2011-04-27,30.50,30.50,30.55,30.48,1397900
2011-04-28,30.59,30.59,30.69,30.55,159200
2011-04-29,30.60,30.60,30.65,30.30,677500
2011-05-02,30.30,30.30,30.60,30.21,198000
2011-05-03,30.35,30.35,30.45,30.20,917300
2011-05-04,30.30,30.30,30.50,30.00,553700
2011-05-05,30.60,30.60,30.65,30.30,677500
2011-05-06,29.99,29.99,30.12,29.80,446700
2011-05-09,29.99,29.79,30.00,29.70,1146317
2011-05-10,29.79,29.79,30.00,29.70,1146300
2011-05-11,29.59,29.59,29.79,29.00,170500
2011-05-12,29.50,29.40,29.50,29.20,903500
2011-05-13,29.40,29.40,29.45,29.20,2019500
2011-05-16,29.40,29.40,29.50,29.26,450600
2011-05-17,28.59,28.59,29.01,28.55,39800
2011-05-18,28.36,28.36,28.50,28.01,286600
2011-05-19,28.00,28.00,28.30,27.50,718200
2011-05-20,28.00,28.00,28.39,27.80,96200
2011-05-23,27.93,27.93,30.30,27.12,516500
2011-05-24,29.15,29.15,29.15,27.11,266700
2011-05-25,28.90,28.90,29.25,28.05,55100
2011-05-26,29.00,29.17,29.20,29.00,216158
2011-05-27,29.15,29.15,29.20,29.10,98400
2011-05-30,29.18,29.18,29.18,29.15,17100
2011-05-31,28.98,28.98,29.16,28.70,172000
2011-06-01,28.98,28.75,28.99,28.50,241267
2011-06-02,28.35,28.35,28.70,28.35,164800
2011-06-03,28.20,28.20,28.24,28.20,86000
2011-06-06,27.98,27.98,28.05,27.72,246400
2011-06-07,27.50,27.50,27.99,27.42,258800
2011-06-08,27.68,27.68,27.99,27.47,63700
2011-06-09,26.97,26.97,27.51,26.95,283900
2011-06-10,25.86,25.86,26.95,25.75,394900
2011-06-13,25.52,25.52,25.90,25.44,29600
2011-06-14,25.34,25.34,25.90,25.25,4649100
2011-06-15,25.42,25.42,26.14,25.40,170100
2011-06-16,25.26,25.26,25.70,25.15,401800
2011-06-17,25.59,25.59,25.85,25.25,675900
2011-06-20,25.59,26.10,26.10,25.59,204100
2011-06-21,26.25,27.69,27.69,26.21,257000
2011-06-22,27.57,27.90,28.20,27.57,322200
2011-06-23,27.61,26.91,27.61,26.90,387810
2011-06-24,27.00,27.00,27.21,26.91,313900
2011-06-27,27.10,27.25,27.25,27.09,64312
2011-06-28,27.20,27.19,27.20,26.94,291600
2011-06-29,27.15,26.70,27.17,26.51,367632
2011-06-30,27.00,27.00,27.35,26.55,586300
2011-07-01,27.00,26.89,27.05,26.85,290800
2011-07-04,26.97,26.75,27.00,26.70,159915
2011-07-05,26.75,26.50,26.84,26.50,395300
2011-07-06,26.50,26.65,26.70,26.49,729105
2011-07-07,26.82,26.82,26.89,26.75,773400
2011-07-08,26.85,26.79,26.90,26.75,120122
2011-07-11,26.70,26.58,26.70,26.31,66724
2011-07-12,26.50,26.25,26.50,26.24,56600
2011-07-13,26.25,26.20,26.25,26.12,115206
2011-07-14,26.20,26.40,26.50,26.19,485200
2011-07-15,26.35,26.35,26.49,26.25,75000
2011-07-18,26.36,25.96,26.36,25.96,245605
2011-07-19,25.95,25.82,26.21,25.70,244700
2011-07-20,26.00,26.00,26.11,26.00,108200
2011-07-21,26.20,26.00,26.20,25.80,137827
2011-07-22,25.95,26.60,26.77,25.94,278700
2011-07-25,26.68,27.01,27.09,26.68,446400
2011-07-26,27.00,28.00,28.35,27.00,584800
2011-07-27,28.03,27.30,28.03,27.30,212200
2011-07-28,27.75,27.84,28.10,27.60,279007
2011-07-29,27.72,27.75,27.75,27.42,290000
2011-08-01,27.93,27.93,27.98,25.34,194900
2011-08-02,27.94,27.50,27.94,27.45,203600
2011-08-03,27.50,26.80,27.60,25.84,131418
2011-08-04,26.75,26.04,26.75,25.90,94587
2011-08-05,26.00,25.50,26.00,25.20,265544
2011-08-08,25.00,23.39,25.00,23.39,73900
2011-08-09,23.59,23.59,23.84,23.15,677900
2011-08-10,23.60,23.60,24.07,23.00,635500
2011-08-11,24.50,24.30,24.50,24.15,241800
2011-08-12,24.46,24.65,24.75,24.46,97200
2011-08-15,24.75,25.11,25.15,24.75,343300
2011-08-16,25.24,26.00,26.10,25.00,1112400
2011-08-17,26.20,26.98,27.02,26.20,1348300
2011-08-18,26.48,26.20,26.48,26.13,250139
2011-08-19,26.10,26.45,26.45,26.10,204516
2011-08-22,26.51,26.50,26.69,26.49,288503
2011-08-23,26.50,27.10,27.30,26.46,1206600
2011-08-24,27.10,26.99,27.21,26.83,208500
2011-08-25,27.00,27.00,27.00,26.90,103000
2011-08-26,26.99,27.00,27.25,26.99,158600
2011-08-29,27.00,27.70,27.71,27.00,129700
2011-08-30,27.64,27.55,27.70,27.55,69900
2011-08-31,27.60,27.50,27.69,27.30,208900
2011-09-01,27.00,27.00,27.50,27.00,97000
2011-09-02,26.97,26.74,27.32,26.73,167411
2011-09-05,26.50,26.00,26.50,26.00,200900
2011-09-06,26.50,26.00,26.50,25.75,118830
2011-09-07,26.15,26.15,26.33,26.10,265700
2011-09-08,26.15,25.70,26.15,25.68,147000
2011-09-09,25.15,25.15,25.69,25.15,39700
2011-09-12,25.00,25.10,25.35,25.00,34200
2011-09-13,25.10,25.55,25.55,25.10,21700
2011-09-14,25.56,26.20,26.43,25.56,54700
2011-09-15,26.46,26.26,26.60,26.26,166700
2011-09-19,26.42,26.98,27.00,26.30,253200
2011-09-20,26.80,26.24,26.85,26.24,75900
2011-09-21,26.38,25.68,26.38,25.45,210600
2011-09-22,25.10,24.50,25.67,24.45,218485
2011-09-23,24.50,24.16,24.50,24.00,48100
2011-09-26,24.17,24.00,24.34,23.81,140900
2011-09-27,24.24,24.54,24.70,24.24,91200
2011-09-28,24.50,23.84,24.50,23.80,79400
2011-09-29,23.90,23.80,24.21,23.72,117800
2011-09-30,23.44,24.10,24.10,23.44,46000
2011-10-03,23.80,22.85,23.80,22.80,63300
2011-10-04,22.77,22.30,22.77,22.30,91900
2011-10-05,22.31,22.90,22.90,22.30,138900
2011-10-06,22.87,23.10,23.10,22.73,642200
2011-10-07,23.25,23.31,23.61,23.25,88300
2011-10-10,23.35,23.02,23.37,23.02,96641
2011-10-11,23.02,22.90,23.05,22.90,45129
2011-10-12,23.13,23.62,23.68,23.10,46400
2011-10-13,23.60,23.37,23.60,23.37,25305
2011-10-14,23.59,24.00,24.10,23.50,129460
2011-10-17,24.00,23.80,24.00,23.71,368800
2011-10-18,23.71,23.68,23.82,23.66,59000
2011-10-19,23.70,23.07,23.75,23.07,112120
2011-10-20,23.09,22.85,23.09,22.77,94300
2011-10-21,22.85,23.11,23.11,22.85,237817
2011-10-24,23.08,23.07,23.33,23.07,81910
2011-10-25,23.10,23.23,23.45,22.77,49805
2011-10-26,23.26,23.12,23.30,22.77,58700
2011-10-27,23.50,23.51,24.00,23.49,211300
2011-10-28,23.50,23.36,23.74,23.36,64240
2011-10-31,23.30,23.15,23.30,23.11,45800
2011-11-01,23.15,22.99,23.35,22.75,12872700
2011-11-03,22.93,23.00,23.13,22.93,165300
2011-11-04,23.02,23.00,23.02,22.99,32900
2011-11-07,23.00,22.93,23.00,22.77,52005
2011-11-08,22.80,22.85,23.00,22.80,33544
2011-11-09,22.75,22.80,22.99,22.75,220000
2011-11-10,22.99,22.41,22.99,22.40,143600
2011-11-11,22.80,22.45,22.80,22.45,85922
2011-11-14,22.23,22.39,22.40,21.88,1289310
2011-11-15,22.32,24.78,24.80,22.32,1029973
2011-11-16,24.79,24.00,24.79,24.00,425323
2011-11-17,24.48,24.19,24.75,23.97,152700
2011-11-18,24.16,24.05,24.43,24.05,117482
2011-11-22,23.65,24.20,25.10,22.10,423473
2011-11-23,23.90,23.84,24.00,23.50,607500
2011-11-24,23.70,23.94,24.27,23.56,125900
2011-11-25,23.80,23.76,24.00,23.76,63300
2011-11-28,24.23,23.80,24.23,23.80,68000
2011-11-29,23.76,24.15,24.15,23.56,156200
2011-11-30,24.13,25.99,26.57,23.95,1092925
2011-12-01,25.65,24.98,25.65,24.74,613300
2011-12-02,25.05,24.85,25.15,24.85,43800
2011-12-05,24.85,24.80,24.85,24.60,185036
2011-12-06,24.99,24.79,24.99,24.60,56100
2011-12-07,24.85,23.80,24.85,23.80,497500
2011-12-08,23.80,23.47,23.90,22.81,416505
2011-12-09,23.63,23.53,23.63,23.38,197840
2011-12-13,23.48,23.00,23.51,22.91,147400
2011-12-14,23.17,23.15,23.22,22.34,198016
2011-12-15,23.00,23.90,24.25,22.95,138813
2011-12-16,23.89,23.90,23.99,23.55,203200
2011-12-19,23.90,23.88,23.90,23.09,137700
2011-12-20,23.88,23.27,23.88,23.27,26951
2011-12-21,23.30,23.00,23.90,22.36,153700
2011-12-22,23.00,23.70,23.84,22.90,449418
2011-12-23,23.70,23.25,23.70,23.25,132300
2011-12-26,23.25,23.25,23.30,23.10,40731
2011-12-27,23.25,23.35,23.35,22.80,168455
2011-12-28,23.10,23.38,23.50,23.00,60600
2011-12-29,23.35,23.50,23.50,23.18,451300
2011-12-30,23.49,23.67,23.80,23.30,1112400
2012-01-02,23.70,23.69,23.70,23.60,15400
2012-01-03,23.60,23.29,23.68,23.25,763945
2012-01-04,23.60,23.40,23.60,23.35,527100
2012-01-05,23.25,23.50,23.50,23.25,216605
2012-01-06,23.59,23.68,23.70,23.40,481500
2012-01-09,23.66,24.49,24.65,23.66,369888
2012-01-10,24.49,25.43,25.46,24.49,1282830
2012-01-11,25.28,25.05,25.40,24.90,338100
