Date,Open,Close,High,Low,Volume
2008-06-13,16.49,16.49,20.00,16.40,125989800
2008-06-16,16.36,16.36,16.98,16.20,15919100
2008-06-17,15.51,15.51,16.44,15.40,18128400
2008-06-18,15.54,15.54,15.70,15.10,7887700
2008-06-19,15.54,15.54,15.88,15.22,6927200
2008-06-20,15.87,15.87,15.94,15.50,5192500
2008-06-23,15.21,15.21,16.06,15.15,2581600
2008-06-24,15.01,15.01,15.20,14.55,3129700
2008-06-25,14.91,14.91,15.30,14.70,2892000
2008-06-26,14.87,14.87,14.93,14.61,3785800
2008-06-27,14.90,14.90,14.98,14.74,1824900
2008-06-30,14.55,14.55,15.00,14.50,2109300
2008-07-01,14.48,14.41,14.50,14.11,4075778
2008-07-02,13.85,13.85,14.49,13.50,3548800
2008-07-03,13.98,13.98,14.00,13.70,3177400
2008-07-04,14.02,14.02,14.14,13.70,1282000
2008-07-07,13.86,13.86,14.15,13.70,2981600
2008-07-08,13.85,13.85,13.99,13.50,2345100
2008-07-09,14.00,13.73,14.00,13.56,2716919
2008-07-10,13.68,13.68,13.90,13.56,1393200
2008-07-11,14.12,14.12,14.45,13.55,1460300
2008-07-14,13.75,13.75,14.30,13.60,315100
2008-07-15,13.60,13.54,13.70,13.47,523264
2008-07-16,13.67,13.67,13.78,13.40,415600
2008-07-17,13.50,13.50,13.80,13.40,674100
2008-07-18,13.50,13.50,13.71,13.40,1039700
2008-07-21,13.25,13.25,13.59,13.20,683900
2008-07-22,12.79,12.79,13.20,12.60,2666000
2008-07-23,12.85,12.85,12.95,12.50,1136500
2008-07-24,12.67,12.67,13.00,12.50,1185300
2008-07-25,12.76,12.76,12.99,12.50,644100
2008-07-28,12.95,12.95,13.20,12.70,717800
2008-07-29,13.41,13.41,13.48,12.50,1327000
2008-07-30,13.50,13.50,13.60,13.10,929200
2008-07-31,13.70,13.70,14.15,13.50,694500
2008-08-01,13.47,13.47,13.93,13.40,530900
2008-08-04,13.12,13.12,13.50,13.11,346700
2008-08-05,12.96,12.96,13.18,12.70,1083700
2008-08-06,12.87,12.87,12.95,12.70,327500
2008-08-07,12.70,12.70,12.78,12.60,314200
2008-08-08,12.70,12.70,12.89,12.60,75400
2008-08-11,12.70,12.70,12.77,12.70,150500
2008-08-12,12.90,12.90,13.00,12.66,2447700
2008-08-13,13.04,13.04,13.16,12.80,1473500
2008-08-14,13.30,13.30,13.48,13.10,640000
2008-08-15,13.13,13.13,13.30,13.00,262600
2008-08-18,12.90,12.90,13.15,12.81,417400
2008-08-19,12.85,12.85,12.90,12.80,253800
2008-08-20,12.82,12.82,12.90,12.70,1791300
2008-08-21,12.93,12.93,12.95,12.80,649300
2008-08-22,12.82,12.82,13.00,12.73,579500
2008-08-25,12.52,12.52,12.85,12.50,1292200
2008-08-26,12.09,12.09,12.79,12.01,1366600
2008-08-27,11.82,11.82,12.20,11.80,1202200
2008-08-28,11.94,11.94,12.21,11.82,856200
2008-08-29,11.81,11.81,11.95,11.80,570600
2008-09-01,11.76,11.76,11.82,11.70,30100
2008-09-02,11.61,11.61,11.86,11.50,1145900
2008-09-03,11.50,11.50,11.81,11.48,958900
2008-09-04,11.25,11.25,11.49,11.20,3689700
2008-09-05,11.03,11.03,11.16,10.90,1370400
2008-09-08,10.81,10.81,11.18,10.80,1188300
2008-09-09,10.45,10.45,10.80,10.45,787400
2008-09-10,10.35,10.35,10.46,10.31,177700
2008-09-11,10.26,10.26,10.40,10.20,1303700
2008-09-12,10.11,10.11,10.20,9.80,1134400
2008-09-15,9.61,9.61,9.85,9.58,490600
2008-09-17,9.36,9.36,9.70,9.22,2292600
2008-09-18,9.51,9.51,9.80,9.00,1378800
2008-09-19,9.78,9.78,10.00,9.40,2878600
2008-09-22,9.60,9.60,9.80,9.40,1199500
2008-09-23,9.59,9.59,9.80,9.50,1145000
2008-09-24,9.63,9.63,9.69,9.40,144200
2008-09-25,9.72,9.72,9.81,9.50,677800
2008-09-26,9.50,9.50,9.65,9.50,757700
