Date,Open,Close,High,Low,Volume
2010-04-30,35.95,35.95,36.30,35.00,30113200
2010-05-03,35.95,35.95,35.98,35.21,3971800
2010-05-04,35.95,35.40,35.95,35.20,2213657
2010-05-05,35.40,35.40,35.79,35.01,2181000
2010-05-06,35.03,35.03,35.50,35.00,7725700
2010-05-07,34.87,34.87,35.15,34.52,6111500
2010-05-10,34.90,34.90,35.20,34.70,4318500
2010-05-11,34.79,34.79,34.90,34.51,339000
2010-05-12,34.90,34.90,35.00,34.50,1120600
2010-05-13,34.95,34.95,35.00,34.50,372000
2010-05-14,34.45,34.45,34.56,34.45,464700
2010-05-17,34.30,34.16,34.39,33.90,239600
2010-05-18,34.18,34.30,34.95,34.00,165292
2010-05-19,34.16,34.16,34.39,33.90,239600
2010-05-20,34.15,34.15,34.29,34.00,217000
2010-05-21,34.00,34.00,34.00,33.51,317500
2010-05-24,34.26,34.26,34.50,34.02,88800
2010-05-25,34.20,34.20,34.30,34.00,861200
2010-05-26,34.74,34.74,34.89,34.00,929300
2010-05-27,34.64,34.64,35.00,34.00,568900
2010-05-28,34.77,34.77,35.00,33.90,630200
2010-05-31,35.00,35.00,35.00,34.50,113300
2010-06-01,34.15,34.15,34.80,33.80,1384800
2010-06-02,34.53,34.53,34.79,33.90,173500
2010-06-03,33.81,34.52,34.79,33.81,102250
2010-06-04,33.81,33.81,34.53,33.81,579500
2010-06-07,34.80,34.80,35.00,33.56,51800
2010-06-08,34.59,34.59,34.59,34.01,66600
2010-06-09,34.30,34.30,34.80,33.61,222500
2010-06-10,34.22,34.22,34.65,33.81,472300
2010-06-11,34.41,34.41,34.50,34.20,57800
2010-06-14,34.48,34.48,34.65,34.48,900
2010-06-15,34.20,34.20,34.20,33.95,1878000
2010-06-16,34.98,34.98,35.00,34.22,960400
2010-06-17,35.71,35.71,35.90,35.00,966100
2010-06-18,35.73,35.73,36.01,35.50,765800
2010-06-21,35.79,35.72,35.79,35.30,205931
2010-06-22,35.69,35.69,35.82,35.45,498000
2010-06-23,35.47,35.47,35.70,35.20,675500
2010-06-24,35.45,35.45,35.50,35.45,455800
2010-06-25,35.45,35.45,35.50,35.30,786000
2010-06-28,35.55,35.55,35.76,35.35,130700
2010-06-29,35.27,35.27,35.50,35.00,40500
2010-06-30,34.27,34.27,35.00,33.80,598200
2010-07-01,34.14,34.14,34.65,33.88,166200
2010-07-02,33.85,33.85,34.20,33.74,441200
2010-07-05,33.80,33.80,34.00,33.80,15900
2010-07-06,33.95,33.95,34.10,33.95,202000
2010-07-07,33.61,33.61,34.00,33.60,242800
2010-07-08,33.87,33.87,34.00,33.60,2424100
2010-07-09,33.72,33.72,33.87,33.70,46300
2010-07-12,33.80,33.80,33.90,33.78,33800
2010-07-13,34.44,34.44,34.50,33.90,303800
2010-07-14,34.26,34.26,34.45,34.20,2144500
2010-07-15,34.77,34.77,35.00,34.30,590500
2010-07-16,34.60,34.60,34.75,34.20,163100
2010-07-19,34.80,34.80,34.81,34.70,560700
2010-07-20,34.80,34.80,34.95,34.70,77400
2010-07-21,35.18,35.18,35.20,34.80,749900
2010-07-22,35.40,35.40,35.60,35.30,526400
2010-07-23,35.85,35.85,35.90,35.40,652700
2010-07-26,35.84,35.80,35.85,35.50,142860
2010-07-27,35.00,35.00,35.80,34.95,685000
2010-07-28,35.16,35.16,35.16,34.80,442400
2010-07-29,35.15,35.15,35.16,35.02,29600
2010-07-30,35.02,35.02,35.20,34.91,332400
2010-08-02,35.45,35.45,35.55,35.35,1056200
2010-08-03,35.03,35.03,35.39,35.00,175400
2010-08-04,35.45,35.45,35.50,35.00,670000
2010-08-05,35.85,35.85,35.85,35.40,2202000
2010-08-06,35.70,36.00,36.00,35.70,294600
2010-08-09,36.00,36.00,36.00,35.70,294600
2010-08-10,36.00,36.00,36.10,35.99,425300
2010-08-11,35.82,35.82,36.00,35.70,237200
2010-08-12,35.90,35.90,35.91,35.50,343100
2010-08-13,35.90,35.90,36.10,35.90,139900
2010-08-16,36.34,36.34,36.50,36.10,1081500
2010-08-17,36.25,36.25,36.40,36.10,1284300
2010-08-18,37.00,37.00,37.00,36.20,1580000
2010-08-19,37.20,37.20,37.20,36.76,767000
2010-08-20,37.15,37.15,37.20,36.90,1384800
2010-08-23,38.09,38.09,38.29,37.15,1681900
2010-08-24,37.74,37.74,38.05,37.70,1525900
2010-08-25,37.99,37.99,38.00,37.55,1359200
2010-08-26,38.08,38.08,38.20,37.86,1880400
2010-08-27,38.38,38.38,38.50,38.00,1278700
2010-08-30,38.05,38.05,38.40,37.80,1726700
2010-08-31,36.40,36.40,38.20,35.42,6540400
2010-09-01,35.53,35.53,36.45,35.27,2431200
2010-09-02,35.78,35.78,36.10,35.41,408700
2010-09-03,35.87,35.87,36.25,35.75,284200
2010-09-06,36.02,36.02,36.13,35.90,35700
2010-09-07,36.02,36.02,36.20,35.90,168300
2010-09-08,36.36,36.36,36.80,36.04,343600
2010-09-09,36.32,36.32,36.50,36.11,301100
2010-09-10,36.81,36.81,36.98,36.15,248600
2010-09-13,37.44,37.44,37.60,36.60,424400
2010-09-14,37.56,37.56,38.01,37.35,3159200
2010-09-15,37.43,37.43,37.69,37.35,191200
2010-09-20,36.75,36.75,37.35,36.51,949900
2010-09-21,36.51,36.51,36.75,36.45,309800
2010-09-22,36.50,37.05,37.15,36.05,867605
2010-09-23,36.63,36.63,37.30,36.60,273700
2010-09-24,36.95,36.95,37.00,36.52,521400
2010-09-27,36.94,36.94,37.30,36.89,962400
2010-09-28,37.15,37.15,37.19,36.94,120700
2010-09-29,36.55,36.55,37.16,36.52,544400
2010-09-30,36.33,36.33,36.86,36.25,387000
2010-10-01,36.59,36.59,36.70,36.33,651000
2010-10-04,36.86,36.86,37.20,36.50,646800
2010-10-05,36.64,36.64,36.70,36.54,239400
2010-10-06,36.81,36.81,37.05,36.66,173700
2010-10-07,36.77,36.77,37.00,36.71,106600
2010-10-08,36.61,36.61,37.00,36.50,192900
2010-10-11,36.81,36.81,36.85,36.55,354300
2010-10-12,36.80,36.80,36.85,36.65,204300
2010-10-13,37.39,37.39,37.95,36.80,1675000
2010-10-14,37.39,37.39,37.45,37.30,2339200
2010-10-15,36.91,36.91,37.35,36.60,71600
2010-10-18,36.91,37.58,37.60,36.91,1413428
2010-10-19,37.58,37.58,37.60,36.91,1413400
2010-10-20,37.50,37.50,37.59,37.20,3244800
2010-10-21,37.69,37.69,37.70,37.49,4492500
2010-10-22,37.65,37.65,37.79,37.50,268400
2010-10-25,37.71,37.71,37.94,37.45,306500
2010-10-26,37.27,37.27,37.92,37.00,795400
2010-10-27,37.40,37.40,37.42,37.20,794700
2010-10-28,38.02,38.02,38.33,37.40,667800
2010-10-29,39.95,39.95,40.11,38.35,1773800
2010-11-01,39.00,39.00,39.95,38.75,413800
2010-11-03,39.31,39.31,39.87,38.65,216700
2010-11-04,38.67,38.67,39.60,38.56,432400
2010-11-05,38.55,38.55,39.10,38.50,584100
2010-11-08,38.54,38.54,38.55,38.17,230100
2010-11-09,38.09,38.09,38.80,38.00,347000
2010-11-10,37.95,37.95,38.20,37.90,889900
2010-11-11,37.83,37.83,37.87,37.75,931000
2010-11-12,38.17,38.17,38.85,37.60,1193000
2010-11-16,37.75,37.75,38.50,37.50,251600
2010-11-17,37.66,37.66,38.50,37.50,86900
2010-11-18,37.96,37.96,38.00,37.70,723500
2010-11-19,37.88,37.88,38.00,37.60,288400
2010-11-22,37.98,37.98,38.09,37.90,153500
2010-11-23,37.18,37.18,38.00,36.95,278000
2010-11-24,37.96,37.96,38.04,37.30,1276000
2010-11-25,38.97,38.97,39.00,37.95,629000
2010-11-26,38.81,38.81,39.00,38.65,645200
2010-11-29,38.98,38.98,39.00,38.81,232900
2010-11-30,38.90,38.90,38.99,38.50,272600
2010-12-01,39.12,39.12,39.35,38.90,475700
2010-12-02,39.07,39.07,39.30,39.00,426300
2010-12-03,39.01,39.01,39.25,38.50,729400
2010-12-06,38.61,38.61,39.01,38.50,837200
2010-12-07,38.56,38.56,39.00,38.25,381500
2010-12-08,38.51,38.51,38.75,38.15,341200
2010-12-09,38.50,38.49,38.65,38.30,855650
2010-12-10,38.25,38.25,38.70,38.24,255500
2010-12-13,38.56,39.02,39.09,38.00,691740
2010-12-14,38.76,38.76,39.25,38.53,440100
2010-12-15,38.37,38.37,38.60,38.00,679900
2010-12-16,38.06,38.06,39.00,37.50,1456400
2010-12-17,38.02,38.02,38.40,37.69,1681400
2010-12-20,38.13,38.13,38.40,37.80,476300
2010-12-21,38.12,38.12,38.50,37.80,449200
2010-12-22,38.08,38.08,38.20,38.00,440800
2010-12-23,38.22,38.22,38.50,38.08,282300
2010-12-24,38.49,38.49,38.60,38.20,70900
2010-12-27,39.00,39.00,39.03,38.49,334200
2010-12-28,38.54,38.54,39.08,38.50,275300
2010-12-29,38.50,38.50,38.70,38.25,291900
2010-12-30,38.01,38.01,38.50,38.00,354900
2010-12-31,37.53,37.53,38.58,37.50,364800
2011-01-03,38.00,38.00,38.25,37.70,231400
2011-01-04,37.70,37.70,38.00,37.56,200600
2011-01-05,37.56,37.56,37.85,37.50,651700
2011-01-06,37.42,37.42,37.70,37.11,794400
2011-01-07,37.42,37.42,37.69,37.32,935400
2011-01-10,37.57,37.57,37.73,36.90,577100
2011-01-11,37.63,37.63,38.01,37.40,3625700
2011-01-12,37.82,37.82,38.51,37.70,2277800
2011-01-13,38.17,38.17,38.80,37.82,1019300
2011-01-14,37.88,37.88,38.45,37.70,367300
2011-01-17,37.93,37.93,38.00,37.70,87000
2011-01-18,37.80,37.80,38.40,37.70,1015200
2011-01-19,37.71,37.71,38.06,37.55,1031200
2011-01-20,37.49,37.49,37.55,37.28,538000
2011-01-21,37.52,37.52,37.71,37.48,509800
2011-01-24,37.60,37.60,37.63,37.20,129500
2011-01-25,37.78,37.78,37.80,37.30,145600
