Date,Open,Close,High,Low,Volume
2001-01-02,4.75,4.68,4.78,4.65,1239770
2001-01-03,4.72,5.19,5.23,4.68,5343952
2001-01-04,5.19,5.43,5.49,5.13,11190041
2001-01-05,5.43,5.24,5.43,5.18,3160402
2001-01-08,5.19,5.28,5.30,5.18,2255926
2001-01-09,5.34,5.23,5.43,5.13,4070052
2001-01-10,5.15,5.11,5.30,5.08,4848837
2001-01-11,5.11,5.34,5.38,5.11,2936827
2001-01-12,5.38,5.10,5.38,5.06,4234560
2001-01-15,5.16,5.19,5.20,5.16,318087
2001-01-16,5.19,5.25,5.30,5.14,2011680
2001-01-17,5.33,5.16,5.40,5.14,3823275
2001-01-18,5.24,5.39,5.45,5.18,6275814
2001-01-19,5.43,5.38,5.49,5.35,4961900
2001-01-22,5.38,5.50,5.50,5.37,2330866
2001-01-23,5.50,5.63,5.68,5.48,2981473
2001-01-24,5.63,5.40,5.66,5.38,2362606
2001-01-25,5.40,5.42,5.63,5.36,2532600
2001-01-26,5.42,5.57,5.58,5.42,1047308
2001-01-29,5.63,5.50,5.69,5.50,3424950
2001-01-30,5.53,5.61,5.69,5.53,3293982
2001-01-31,5.68,5.67,5.70,5.50,3162196
2001-02-01,5.66,5.68,5.71,5.63,3517269
2001-02-02,5.68,5.72,5.75,5.64,4470625
2001-02-06,5.72,5.72,5.78,5.68,2123277
2001-02-07,5.72,5.65,5.75,5.60,1457120
2001-02-08,5.69,5.60,5.70,5.60,1028700
2001-02-09,5.60,5.55,5.60,5.54,1345067
2001-02-12,5.55,5.74,5.75,5.55,3830533
2001-02-13,5.73,5.80,5.86,5.73,3432292
2001-02-14,5.78,6.00,6.05,5.73,3606500
2001-02-15,6.05,6.05,6.07,6.00,2249850
2001-02-16,5.95,6.00,6.00,5.87,3020700
2001-02-19,5.98,6.05,6.08,5.98,635154
2001-02-20,6.05,5.98,6.05,5.98,2115029
2001-02-21,5.99,5.73,5.99,5.70,3620900
2001-02-22,5.75,5.74,5.78,5.70,4655061
2001-02-23,5.70,5.80,5.93,5.70,4908105
2001-02-26,5.80,5.83,5.88,5.80,4648200
2001-02-27,5.80,5.74,5.95,5.69,6066750
2001-02-28,5.74,5.72,5.79,5.68,2814388
2001-03-01,5.68,5.71,5.75,5.60,6609640
2001-03-02,5.70,5.66,5.71,5.58,9119687
